In,Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
2300,1575671072432,2300.016,86:87:74:54:02:46,90.00B,90.00B,25.635279655456543,19.62847089767456
2300,1575671072433,2300.016,b2:6f:97:2a:80:6a,90.00B,90.00B,25.637544631958008,19.63066530227661
2300,1575671072431,2300.016,ea:57:bd:8e:5c:8a,90.00B,90.00B,25.64272689819336,19.63591957092285
2300,1575671072434,2300.016,e6:bb:48:1d:72:51,90.00B,90.00B,25.654141187667847,19.64733600616455
2300,1575671072434,2300.014,de:df:c5:04:52:94,90.00B,90.00B,25.681415557861328,19.67591094970703
2300,1575671072433,2300.014,9a:40:74:7e:68:10,90.00B,180.00B,25.698315382003784,19.69291043281555
2300,1575671072433,2300.014,66:eb:09:43:d9:ff,90.00B,90.00B,25.714815855026245,19.709347009658813
2300,1575671072433,2300.014,de:b2:02:e9:25:17,90.00B,176.00B,25.72714877128601,19.721687078475952
2300,1575671072424,2300.014,8a:4c:74:d7:98:79,90.00B,176.00B,27.645945072174072,21.63914918899536
2300,1575671072418,2300.016,4e:d9:bd:fe:0d:d2,90.00B,90.00B,27.6569881439209,21.650232791900635
2300,1575671072422,2300.014,86:bd:64:25:4c:64,90.00B,90.00B,27.66370940208435,21.65691041946411
2300,1575671072428,2300.016,22:43:50:12:49:9c,90.00B,90.00B,27.684450149536133,21.677645444869995
2300,1575671072430,2300.016,de:72:33:a5:37:f9,90.00B,90.00B,27.712134838104248,21.705233097076416
2300,1575671072428,2300.014,be:07:28:39:d1:2f,90.00B,90.00B,27.729886531829834,21.724436044692993
2300,1575671072420,2300.014,6a:5d:6a:42:1d:61,90.00B,90.00B,27.771607398986816,21.764716863632202
2300,1575671072431,2300.016,92:5a:29:96:01:1b,90.00B,90.00B,27.763633489608765,21.756835222244263
2300,1575671072420,2300.014,f2:e8:f5:08:ce:20,90.00B,90.00B,27.779740571975708,21.7729754447937
2300,1575671072426,2300.016,d6:6d:c9:f3:dc:ce,90.00B,90.00B,27.85804581642151,21.852092266082764
2300,1575671072422,2300.014,4e:ed:e4:b3:00:d2,90.00B,90.00B,27.86642289161682,21.86101222038269
