In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Exec Time
Both,1575667175885,2300.014,fa:aa:1d:73:ed:52,90.00B,90.00B,16.97504734992981
Both,1575667175875,2300.014,12:97:b6:ab:31:be,90.00B,90.00B,17.18844437599182
Both,1575667175875,2300.014,d6:e8:9e:e7:40:eb,90.00B,90.00B,17.194000959396362
Both,1575667175875,2300.014,a2:57:73:c0:51:b3,90.00B,90.00B,17.203299283981323
Both,1575667175877,2300.014,16:15:01:8f:0c:e0,90.00B,90.00B,17.19522500038147
Both,1575667175875,2300.014,06:df:ca:62:a2:1d,90.00B,90.00B,17.22262167930603
Both,1575667175874,2300.014,1a:7e:b8:ca:41:a8,90.00B,90.00B,17.240903615951538
Both,1575667175875,2300.014,76:f7:c8:5f:e9:af,90.00B,90.00B,17.249539613723755
Both,1575667175876,2300.014,1e:9b:c7:1a:59:ab,90.00B,90.00B,17.272260427474976
Both,1575667175881,2300.014,1a:d6:a7:29:cf:0e,90.00B,90.00B,17.419277667999268
Both,1575667176317,2300.014,7e:14:37:69:6b:f4,90.00B,90.00B,17.26861262321472
Both,1575667175872,2300.014,d2:a0:ee:ec:aa:ca,90.00B,90.00B,18.089714288711548
Both,1575667175874,2300.014,2e:3b:b3:fe:ee:a3,90.00B,90.00B,18.143758535385132
Both,1575667175873,2300.014,0e:9f:02:70:1e:18,180.00B,90.00B,18.15132188796997
Both,1575667175879,2300.014,7e:eb:76:c9:6d:71,90.00B,90.00B,18.272233724594116
Both,1575667175889,2300.014,fe:0e:4f:ee:5a:6b,90.00B,90.00B,18.400681734085083
Both,1575667175890,2300.014,8e:8f:dc:f2:68:4d,90.00B,90.00B,18.573731660842896
Both,1575667176269,2300.014,da:3e:89:1c:d6:0a,90.00B,90.00B,18.265199184417725
Both,1575667176297,2300.014,0a:ca:94:f3:a4:c0,90.00B,90.00B,18.580123901367188
Both,1575667175875,2300.016,92:d3:dd:97:ab:15,90.00B,90.00B,19.773036003112793
Both,1575667175900,2300.014,52:26:6d:67:3d:20,90.00B,90.00B,20.05972123146057
Both,1575667176299,2300.014,26:3d:e3:a9:51:15,90.00B,90.00B,19.992476224899292
Both,1575667176296,2300.014,92:2d:f2:da:86:50,90.00B,90.00B,20.05799102783203
Both,1575667176281,2300.014,e6:5c:c5:ed:ae:67,90.00B,90.00B,20.0736722946167
Both,1575667175900,2300.014,3a:19:3f:cb:0d:8d,90.00B,90.00B,21.8543062210083
Both,1575667175900,2300.014,d6:e0:52:3c:ee:61,180.00B,90.00B,21.876986503601074
Both,1575667175888,2500.002,da:2e:ff:aa:0b:3b,90.00B,90.00B,21.920100450515747
Both,1575667175898,2500.002,6e:c9:d6:c0:09:58,176.00B,90.00B,22.133420705795288
Both,1575667176168,2500.002,42:0e:30:8d:82:34,176.00B,90.00B,21.904273986816406
Both,1575667175897,2500.002,f2:a3:f2:cf:66:bf,90.00B,90.00B,22.11826229095459
Both,1575667175881,2500.0,de:60:4d:c4:d2:d2,90.00B,90.00B,22.217746257781982
Both,1575667175877,2500.0,86:91:a4:35:b8:a8,90.00B,90.00B,22.246723413467407
Both,1575667175880,2500.0,2e:d7:2b:ad:4a:a8,90.00B,90.00B,22.268085718154907
Both,1575667176250,2300.014,1e:fb:e1:a4:e4:50,90.00B,90.00B,21.958890914916992
Both,1575667176205,2500.002,9e:f3:a9:f1:84:a2,90.00B,90.00B,22.037809133529663
Both,1575667175896,2500.006,ca:19:95:c4:08:92,90.00B,90.00B,22.405060291290283
Both,1575667176292,2500.006,42:d4:45:2e:05:5a,90.00B,90.00B,22.01268172264099
Both,1575667175894,2500.006,fa:cf:19:c6:47:24,176.00B,90.00B,22.423545598983765
Both,1575667175888,2500.006,ea:1c:f1:cb:a2:85,90.00B,90.00B,22.439092874526978
Both,1575667175889,2500.006,aa:8b:59:c0:cc:2d,90.00B,90.00B,22.449976205825806
