In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Exec Time
Both,1575667715338,2300.014,7e:65:3d:f9:33:f3,90.00B,90.00B,16.395560264587402
Both,1575667715340,2300.014,3e:d5:2a:bd:c9:de,90.00B,90.00B,16.404181718826294
Both,1575667715340,2300.014,8e:69:83:37:0b:0b,90.00B,90.00B,16.429255723953247
Both,1575667715341,2300.014,42:3e:83:7b:0b:bb,180.00B,90.00B,16.873757123947144
Both,1575667715341,2300.014,da:65:f4:15:45:ca,90.00B,90.00B,16.895813703536987
Both,1575667715328,2300.014,26:e2:82:7f:c4:72,90.00B,90.00B,17.163675785064697
Both,1575667715325,2300.014,72:a8:7f:25:fb:d0,90.00B,90.00B,17.140794277191162
Both,1575667715325,2300.014,52:89:90:e8:01:09,180.00B,180.00B,17.271239519119263
Both,1575667715326,2300.014,ea:61:92:f4:66:a4,90.00B,90.00B,17.308064460754395
Both,1575667715343,2300.014,c6:93:b6:28:ff:9a,90.00B,90.00B,19.655564069747925
Both,1575667715342,2300.014,6e:49:66:c3:8d:21,90.00B,90.00B,19.664318799972534
Both,1575667715930,2300.014,b2:d3:27:73:70:1c,90.00B,90.00B,19.681495428085327
Both,1575667716029,2300.014,2a:fa:26:fb:89:d3,90.00B,90.00B,19.834150314331055
Both,1575667716188,2300.014,d6:54:6d:90:bf:e5,90.00B,90.00B,19.957762718200684
Both,1575667715345,2300.014,4e:27:e4:8e:e0:37,90.00B,90.00B,21.728304862976074
Both,1575667715343,2300.014,d2:05:d3:d9:78:5b,90.00B,90.00B,21.771459817886353
Both,1575667715344,2300.014,ea:70:56:9a:74:fb,90.00B,90.00B,21.830625534057617
Both,1575667715321,2500.012,4e:59:b9:3d:b5:d3,90.00B,90.00B,22.07675576210022
Both,1575667715325,2500.012,66:3a:52:cf:75:29,90.00B,90.00B,22.093268632888794
Both,1575667715343,2300.014,e2:4b:d9:fe:28:2f,90.00B,90.00B,22.116032361984253
Both,1575667715324,2500.012,fa:42:b2:b2:24:5c,90.00B,90.00B,22.21636986732483
Both,1575667715340,2500.002,36:d0:76:95:f2:4e,90.00B,90.00B,22.261337757110596
Both,1575667715954,2300.014,92:00:2a:b6:38:55,90.00B,90.00B,21.6708881855011
Both,1575667715337,2500.012,6a:91:de:17:7b:06,90.00B,90.00B,22.333948135375977
Both,1575667715634,2500.006,e6:4a:c8:e6:a6:17,90.00B,90.00B,22.041866779327393
Both,1575667715337,2500.012,76:47:15:57:61:00,90.00B,90.00B,22.356339931488037
Both,1575667715332,2500.0,7a:aa:76:65:d6:73,90.00B,90.00B,22.407466173171997
Both,1575667715329,2500.0,f6:e5:d5:3a:a5:d3,90.00B,90.00B,22.405551195144653
Both,1575667715332,2500.0,0a:47:4e:53:58:c7,90.00B,90.00B,22.408670902252197
Both,1575667715331,2500.0,5a:1a:d4:fb:ce:60,90.00B,90.00B,22.41135311126709
Both,1575667715741,2300.014,6a:4e:0c:c1:6e:0d,90.00B,90.00B,22.031355142593384
Both,1575667715337,2500.006,ae:aa:0b:16:30:84,90.00B,90.00B,22.451003551483154
Both,1575667715613,2500.01,7a:15:09:14:e9:dd,90.00B,90.00B,22.178256034851074
Both,1575667715642,2500.002,c2:36:f5:e9:7c:30,90.00B,90.00B,22.18730401992798
Both,1575667715654,2500.002,86:7e:1f:03:a4:44,90.00B,90.00B,22.17752194404602
Both,1575667715627,2500.0,0e:c8:95:4f:e9:0f,90.00B,90.00B,22.213767290115356
Both,1575667715633,2500.002,4a:0b:8d:64:7b:e7,90.00B,90.00B,22.222276210784912
Both,1575667715338,2500.01,e2:ba:a0:5d:31:c4,90.00B,90.00B,22.52725124359131
Both,1575667715613,2500.0,5a:44:cc:dc:86:2f,90.00B,90.00B,22.29111099243164
Both,1575667715336,2500.01,4e:ff:7f:76:3d:fa,90.00B,90.00B,22.59671974182129
Both,1575667715658,2500.012,42:90:ee:bb:93:36,180.00B,90.00B,22.30853009223938
Both,1575667715662,2500.012,32:e4:73:ea:5e:b3,90.00B,90.00B,22.31220507621765
Both,1575667715324,2500.002,76:d0:43:24:34:5a,90.00B,90.00B,22.6588294506073
Both,1575667715637,2500.0,66:3d:e5:13:88:67,90.00B,90.00B,22.377113580703735
Both,1575667715339,2500.0,22:51:cc:ea:9d:a0,90.00B,176.00B,22.685438871383667
Both,1575667715339,2500.0,ee:16:56:b3:33:a8,90.00B,90.00B,22.693092823028564
