In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575684675876,2500.002,e6:4c:cb:64:16:92,176.00B,90.00B,23.077039003372192,17.070367336273193
Both,1575684675881,2499.998,f6:17:9d:b0:39:ca,180.00B,90.00B,23.42408847808838,17.41737413406372
Both,1575684675864,2500.008,86:4b:1b:23:f1:9b,90.00B,90.00B,23.64014172554016,17.633267879486084
Both,1575684675702,2500.004,26:62:ea:7b:3b:3b,90.00B,90.00B,23.848974466323853,17.842286348342896
Both,1575684675834,2500.012,86:e4:5b:f4:e4:80,90.00B,176.00B,23.720989227294922,17.714150190353394
Both,1575684675833,2500.012,86:4c:be:14:0c:35,90.00B,90.00B,23.72639513015747,17.719698429107666
Both,1575684675840,2500.012,c2:80:37:27:aa:85,90.00B,90.00B,23.719064950942993,17.712336778640747
Both,1575684675727,2500.004,fa:e1:9d:2c:57:3b,90.00B,90.00B,23.839863777160645,17.833195209503174
Both,1575684675842,2500.012,b2:5b:1d:79:0e:07,90.00B,90.00B,23.72957420349121,17.72290587425232
Both,1575684675836,2500.012,26:3d:24:01:e8:03,90.00B,90.00B,23.74673867225647,17.740067958831787
Both,1575684675718,2500.004,ea:f9:b5:cd:f6:19,90.00B,90.00B,23.87393808364868,17.867201805114746
Both,1575684675772,2499.998,aa:c0:a1:7e:fa:a0,90.00B,90.00B,23.822458505630493,17.815837144851685
Both,1575684675779,2499.998,2e:85:89:36:f2:da,90.00B,90.00B,23.82390308380127,17.817237615585327
Both,1575684675787,2500.004,4a:52:90:69:68:9c,90.00B,90.00B,23.82489275932312,17.818217515945435
Both,1575684675802,2500.004,1e:84:44:06:b6:9a,90.00B,90.00B,23.824628353118896,17.817906618118286
Both,1575684675774,2499.998,6e:ea:da:66:3c:18,90.00B,90.00B,23.8549485206604,17.848207712173462
Both,1575684675779,2499.998,b6:3d:06:ab:17:81,90.00B,90.00B,23.850354194641113,17.84911346435547
Both,1575684675778,2500.002,c6:7f:52:19:19:58,90.00B,90.00B,23.862808227539062,17.85615086555481
Both,1575684675847,2500.006,62:c7:32:f9:d1:e1,90.00B,90.00B,23.79562735557556,17.788827657699585
Both,1575684675782,2500.002,42:55:59:1a:e8:b5,90.00B,90.00B,23.876035690307617,17.86936593055725
Both,1575684675839,2500.004,a2:a0:82:49:43:15,90.00B,90.00B,23.818336725234985,17.8115975856781
Both,1575684675702,2500.01,9e:13:80:5c:c8:cd,90.00B,180.00B,23.965262174606323,17.95855164527893
Both,1575684675799,2500.008,ae:fd:af:e3:b2:d6,90.00B,90.00B,23.870251893997192,17.86359977722168
Both,1575684675856,2500.006,9e:c6:af:d7:74:4c,176.00B,90.00B,23.801897287368774,17.795190811157227
Both,1575684675826,2500.002,ae:00:92:88:ec:f7,90.00B,90.00B,23.84036350250244,17.833674430847168
Both,1575684675870,2500.006,4e:2a:23:de:66:90,90.00B,90.00B,23.791541814804077,17.78483748435974
Both,1575684675859,2500.006,4a:62:a8:b6:a3:f3,90.00B,90.00B,23.80568027496338,17.798920392990112
Both,1575684675860,2500.006,12:88:ca:4a:e8:34,90.00B,90.00B,23.806002378463745,17.799338817596436
Both,1575684675724,2500.006,ea:a5:a6:83:86:ae,90.00B,90.00B,23.99086356163025,17.984145164489746
Both,1575684675832,2500.002,0a:e8:4c:d8:13:9f,90.00B,90.00B,23.88085103034973,17.87417221069336
Both,1575684675883,2500.006,de:42:72:3c:06:91,176.00B,90.00B,23.82552933692932,17.818785667419434
Both,1575684675839,2500.008,ca:71:b3:4c:19:39,90.00B,90.00B,23.876706838607788,17.870057821273804
Both,1575684675861,2500.008,16:b5:03:c6:b2:ad,90.00B,90.00B,23.85744285583496,17.85072922706604
Both,1575684675848,2500.002,9a:31:06:33:da:57,90.00B,90.00B,23.872926712036133,17.86625051498413
Both,1575684675818,2500.002,3a:e6:67:74:68:94,90.00B,90.00B,23.90475630760193,17.901447296142578
Both,1575684675842,2500.004,a2:5d:4e:89:d4:f7,90.00B,90.00B,23.88838481903076,17.881744861602783
Both,1575684675828,2500.002,7e:e2:b0:d4:44:9a,90.00B,90.00B,23.91159152984619,17.904942989349365
Both,1575684675843,2500.002,92:b4:8d:50:5e:92,90.00B,90.00B,23.908155918121338,17.901520013809204
Both,1575684675725,2500.006,d2:a7:ab:0c:49:7a,90.00B,90.00B,24.02723979949951,18.020496606826782
Both,1575684675731,2500.006,e2:5e:bb:5b:a0:2e,90.00B,90.00B,24.02586555480957,18.01919174194336
Both,1575684675791,2500.006,3a:f4:2a:37:2d:d6,90.00B,176.00B,23.973074913024902,17.966360569000244
Both,1575684675844,2500.01,aa:7b:2c:46:e6:25,90.00B,90.00B,23.933873414993286,17.927152633666992
Both,1575684675808,2500.01,da:be:d7:f5:b9:8c,180.00B,90.00B,23.9651038646698,17.95843815803528
Both,1575684675782,2500.006,92:dc:be:dd:35:e5,176.00B,90.00B,24.0035343170166,17.9967999458313
Both,1575684675769,2500.01,1e:3c:1f:9a:d6:1f,90.00B,90.00B,24.0244038105011,18.01774263381958
Both,1575684675862,2500.002,86:b8:0b:21:a2:33,90.00B,90.00B,23.944920539855957,17.93822431564331
Both,1575684675813,2500.01,9e:47:d3:23:b3:fd,90.00B,90.00B,24.010079383850098,18.003327131271362
Both,1575684675729,2499.998,0a:c3:a0:a6:8d:85,90.00B,90.00B,24.094943284988403,18.088223695755005
Both,1575684675833,2500.006,f6:10:b8:aa:dc:4d,90.00B,90.00B,23.993478775024414,17.986804962158203
Both,1575684675815,2499.998,92:9d:c3:9e:72:43,90.00B,90.00B,24.017359495162964,18.010619163513184
Both,1575684675816,2499.998,56:07:83:a1:ff:9e,90.00B,90.00B,24.018426418304443,18.011515617370605
Both,1575684675809,2500.01,6a:11:12:00:7e:29,176.00B,90.00B,24.0271315574646,18.02039623260498
Both,1575684675721,2500.01,da:35:23:30:20:13,90.00B,90.00B,24.112940311431885,18.10611867904663
Both,1575684675792,2500.006,76:6e:c8:ee:bc:28,90.00B,90.00B,24.042696952819824,18.036003351211548
Both,1575684675808,2500.01,f6:a2:ca:ca:84:26,180.00B,176.00B,24.037527799606323,18.0306875705719
Both,1575684675810,2500.01,b2:e3:9d:20:34:06,180.00B,90.00B,24.023234605789185,18.016560077667236
Both,1575684675822,2499.998,3e:5f:84:9b:81:ad,90.00B,90.00B,24.018856525421143,18.01217484474182
Both,1575684675787,2500.006,12:1b:3d:51:ea:10,90.00B,90.00B,24.067909479141235,18.061220407485962
Both,1575684675827,2500.01,4a:ab:c0:ea:ab:18,90.00B,90.00B,24.02361822128296,18.01695418357849
Both,1575684675788,2500.004,6e:be:07:e7:ed:b6,90.00B,90.00B,24.069807291030884,18.063106298446655
Both,1575684675748,2499.998,f6:2e:b7:18:ed:76,90.00B,180.00B,24.11287760734558,18.10614585876465
Both,1575684675777,2500.01,5e:0f:94:fd:5d:02,90.00B,90.00B,24.07837414741516,18.071717500686646
Both,1575684675724,2500.01,0a:7a:15:91:e4:d6,90.00B,90.00B,24.1397705078125,18.13302755355835
Both,1575684675841,2500.002,16:d0:a7:75:5a:7b,90.00B,90.00B,24.010982275009155,18.0043306350708
Both,1575684675733,2499.998,e2:04:83:78:67:b3,90.00B,90.00B,24.126576900482178,18.119881868362427
Both,1575684675759,2499.998,da:b3:17:26:f6:cb,90.00B,90.00B,24.104545831680298,18.097819805145264
Both,1575684675763,2500.008,9e:2a:30:1f:df:2d,90.00B,90.00B,24.10465717315674,18.09787082672119
Both,1575684675722,2500.01,86:0f:2d:5f:72:39,90.00B,90.00B,24.15058994293213,18.14394474029541
Both,1575684675817,2500.01,f6:24:c2:1a:d6:23,90.00B,90.00B,24.046878576278687,18.040160179138184
Both,1575684675840,2500.006,b6:1a:c0:6b:13:14,90.00B,90.00B,24.032898664474487,18.0262393951416
Both,1575684675813,2500.01,22:cc:31:e7:b0:4d,90.00B,90.00B,24.046552658081055,18.0423743724823
Both,1575684675725,2500.002,66:55:f4:11:a7:f3,90.00B,90.00B,24.15942668914795,18.152735233306885
Both,1575684675809,2500.01,b2:c1:66:41:1e:22,90.00B,90.00B,24.05123257637024,18.044464349746704
Both,1575684675724,2500.002,c6:d0:ec:61:2d:21,90.00B,176.00B,24.15570616722107,18.148971796035767
Both,1575684675755,2499.998,7e:40:63:56:42:9c,90.00B,90.00B,24.124741315841675,18.11807084083557
Both,1575684675810,2499.998,5e:fa:a0:2d:f6:23,90.00B,90.00B,24.051989316940308,18.045241594314575
