In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575687095562,2500.01,0a:04:1c:be:65:2b,90.00B,90.00B,22.934144496917725,16.927173376083374
Both,1575687095467,2500.012,66:ad:65:06:87:1c,180.00B,90.00B,23.130073308944702,17.122929573059082
Both,1575687095613,2500.012,76:96:37:1b:26:25,90.00B,90.00B,23.022147178649902,17.0154390335083
Both,1575687095508,2500.01,56:f8:38:c1:9d:ed,90.00B,90.00B,23.159681797027588,17.15286350250244
Both,1575687095513,2500.01,2a:c1:c4:77:31:43,90.00B,90.00B,23.19318914413452,17.186463594436646
Both,1575687095552,2500.012,2a:ca:67:c2:07:38,90.00B,90.00B,23.200743436813354,17.193882703781128
Both,1575687095449,2500.012,32:dc:49:dd:9c:f2,90.00B,90.00B,23.328666925430298,17.321885585784912
Both,1575687095626,2500.008,ce:19:85:ce:e8:61,90.00B,90.00B,23.162508010864258,17.155747890472412
Both,1575687095605,2500.008,62:73:3c:80:ec:27,90.00B,90.00B,23.1854989528656,17.178760766983032
Both,1575687095594,2500.01,76:2e:d6:e5:84:13,90.00B,180.00B,23.223108291625977,17.215317726135254
Both,1575687095520,2500.004,8e:f6:62:b2:ee:38,90.00B,90.00B,23.27857518196106,17.271806240081787
Both,1575687095628,2500.008,9e:f9:6b:39:7c:4a,90.00B,90.00B,23.203782081604004,17.1970796585083
Both,1575687095659,2500.002,1e:c0:1f:d9:3b:7b,180.00B,90.00B,23.19799828529358,17.19101047515869
Both,1575687095522,2500.012,0a:8b:39:5e:67:9e,176.00B,90.00B,23.335798263549805,17.329006671905518
Both,1575687095532,2500.01,2a:51:32:7f:a5:5d,90.00B,90.00B,23.330707788467407,17.323932886123657
Both,1575687095477,2500.008,76:e5:e3:34:62:48,90.00B,176.00B,23.403434991836548,17.39675498008728
Both,1575687095618,2500.012,42:a6:0b:19:3a:6b,90.00B,90.00B,23.2711980342865,17.265367031097412
Both,1575687095601,2500.008,96:44:79:eb:74:53,90.00B,90.00B,23.30298161506653,17.29624342918396
Both,1575687095614,2500.008,16:f7:1e:d0:48:02,90.00B,90.00B,23.29475712776184,17.2918438911438
Both,1575687095665,2500.008,76:c2:92:36:05:4f,90.00B,90.00B,23.262242555618286,17.255534648895264
Both,1575687095519,2500.012,4a:af:be:d4:e8:5c,90.00B,90.00B,23.419504642486572,17.41276741027832
Both,1575687095625,2500.02,ce:26:80:28:84:2e,90.00B,90.00B,23.338820934295654,17.332061767578125
Both,1575687095552,2500.012,ee:fe:8d:e5:3f:85,90.00B,90.00B,23.457944869995117,17.451290369033813
Both,1575687095645,2500.02,8a:f5:6e:b7:3f:f0,90.00B,90.00B,23.345475673675537,17.338737964630127
Both,1575687095525,2500.004,ea:ca:f3:83:76:fa,90.00B,90.00B,23.426774978637695,17.420063734054565
Both,1575687095528,2500.002,7a:65:5c:aa:94:17,90.00B,90.00B,23.43984031677246,17.433079719543457
Both,1575687095472,2500.008,d2:ec:33:f6:45:82,90.00B,90.00B,23.55093479156494,17.54421591758728
Both,1575687095471,2500.002,9a:a3:32:e5:5c:94,90.00B,90.00B,23.55445885658264,17.54776906967163
Both,1575687095602,2500.002,66:4f:0f:83:10:ce,90.00B,90.00B,23.4248628616333,17.41810417175293
Both,1575687095602,2500.008,12:de:23:0c:62:15,90.00B,90.00B,23.42681097984314,17.420056581497192
Both,1575687095500,2500.004,3e:7c:bd:3c:e8:0d,90.00B,90.00B,23.532850980758667,17.526142358779907
Both,1575687095661,2500.02,92:23:5e:33:37:9f,90.00B,90.00B,23.3698308467865,17.363091230392456
Both,1575687095503,2500.006,f2:db:42:f4:82:c9,90.00B,90.00B,23.53711748123169,17.53005862236023
Both,1575687095560,2500.012,56:3d:cd:ba:28:9d,90.00B,176.00B,23.47996187210083,17.47319531440735
Both,1575687095600,2500.008,4a:fe:06:98:43:17,90.00B,90.00B,23.451904773712158,17.445177793502808
Both,1575687095533,2500.006,ba:db:79:f4:3c:d2,90.00B,90.00B,23.548006772994995,17.540932416915894
Both,1575687095515,2500.002,9a:d6:f0:fd:ea:0f,90.00B,90.00B,23.568922758102417,17.562156677246094
Both,1575687095586,2500.01,b6:82:91:97:78:f7,90.00B,90.00B,23.50161337852478,17.49479389190674
Both,1575687095575,2500.012,9e:0a:09:32:7d:60,90.00B,90.00B,23.513071537017822,17.50631546974182
