In,Start Time,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575685933361,ee:d4:98:bb:39:65,90.00B,90.00B,22.858060598373413,16.85134196281433
Both,1575685933363,52:dc:06:3f:a2:e6,90.00B,90.00B,22.99840497970581,16.991844415664673
Both,1575685933375,0a:c7:4e:f2:a2:22,90.00B,90.00B,23.042351484298706,17.035609245300293
Both,1575685933391,1a:c2:dd:b3:8e:6c,90.00B,90.00B,23.03130793571472,17.02473545074463
Both,1575685933390,f2:76:44:6e:98:ee,176.00B,180.00B,23.035126447677612,17.028565168380737
Both,1575685933349,36:18:f1:b6:d1:1f,90.00B,90.00B,23.084698915481567,17.078126907348633
Both,1575685933371,76:ab:bf:17:c4:18,90.00B,90.00B,23.08158278465271,17.07502770423889
Both,1575685933347,a2:a2:54:ca:5d:9c,90.00B,90.00B,23.107098817825317,17.1004478931427
Both,1575685933395,c2:c0:1e:90:17:4d,90.00B,90.00B,23.0622296333313,17.055608987808228
Both,1575685933372,ae:00:4b:b9:6a:4c,90.00B,90.00B,23.10492968559265,17.09346294403076
Both,1575685933395,da:8e:a9:0c:40:4e,90.00B,90.00B,23.07827591896057,17.071734189987183
Both,1575685933360,56:6b:e4:3e:72:9d,90.00B,90.00B,23.122472524642944,17.115906238555908
Both,1575685933357,ea:0c:3d:6d:e4:cd,90.00B,90.00B,23.128915309906006,17.122366428375244
Both,1575685933387,da:f5:b2:9c:38:b6,90.00B,90.00B,23.099864721298218,17.093326330184937
Both,1575685933350,a6:22:72:25:52:4c,90.00B,90.00B,23.13714027404785,17.13057804107666
Both,1575685933350,c2:46:db:86:a3:4b,90.00B,176.00B,23.139471530914307,17.132798671722412
Both,1575685933387,72:5c:ba:03:68:e2,90.00B,90.00B,23.111054182052612,17.10430359840393
Both,1575685933375,ea:0e:4d:cf:ab:d6,90.00B,90.00B,23.133524417877197,17.126773357391357
Both,1575685933385,c2:0e:5a:f2:24:32,90.00B,90.00B,23.13426446914673,17.12769627571106
Both,1575685933394,26:c7:fa:79:b9:dc,90.00B,90.00B,23.12905216217041,17.12246823310852
Both,1575685933370,62:4a:8b:03:bd:08,90.00B,180.00B,23.159894943237305,17.15334701538086
Both,1575685933376,6e:25:99:15:7a:a6,90.00B,90.00B,23.156829833984375,17.150264024734497
Both,1575685933352,c2:af:dc:ba:f0:61,90.00B,90.00B,23.182549715042114,17.17595148086548
Both,1575685933375,22:b3:a2:65:ec:5d,90.00B,90.00B,23.16014552116394,17.153563499450684
Both,1575685933387,fa:83:32:ca:be:25,90.00B,90.00B,23.15329337120056,17.14671301841736
Both,1575685933399,42:9f:f6:5f:c7:43,90.00B,176.00B,23.141571760177612,17.135039567947388
Both,1575685933395,72:73:5a:25:2c:b9,90.00B,90.00B,23.15725564956665,17.15069007873535
Both,1575685933387,9a:99:04:e3:10:5d,90.00B,90.00B,23.16691780090332,17.162614107131958
Both,1575685933376,2e:bd:05:21:38:38,90.00B,90.00B,23.176141023635864,17.169584274291992
Both,1575685933373,e6:a9:3b:44:07:98,176.00B,90.00B,23.186983585357666,17.182990074157715
Both,1575685933359,9e:35:70:4a:02:e5,180.00B,90.00B,23.200727939605713,17.194148063659668
Both,1575685933360,36:aa:fc:53:84:02,176.00B,90.00B,23.210031509399414,17.20633554458618
Both,1575685933402,7e:b5:2e:f4:3e:b5,90.00B,90.00B,23.175063848495483,17.16836667060852
Both,1575685933341,5a:5c:e6:97:7c:73,90.00B,90.00B,23.242349863052368,17.23571014404297
Both,1575685933327,8e:1d:8e:88:c4:01,90.00B,90.00B,23.23174500465393,17.22511124610901
Both,1575685933364,c6:0a:82:fe:c3:ca,90.00B,90.00B,23.223618268966675,17.21705675125122
Both,1575685933351,66:21:21:d3:00:00,90.00B,90.00B,23.23983597755432,17.23325252532959
Both,1575685933389,26:16:45:15:20:44,90.00B,90.00B,23.21568489074707,17.2091326713562
Both,1575685933351,8e:96:f1:ce:72:30,180.00B,90.00B,23.241275548934937,17.234707593917847
Both,1575685933390,ae:7c:5a:f5:84:e2,90.00B,90.00B,23.22258996963501,17.216005563735962
Both,1575685933393,f6:80:c0:09:4b:a6,180.00B,180.00B,23.21126651763916,17.204705715179443
