In,Start Time,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575685934166,b6:b8:21:e3:95:10,90.00B,90.00B,22.876071453094482,16.869505167007446
Both,1575685934166,8e:1c:89:2a:c2:00,90.00B,90.00B,22.887428998947144,16.88085675239563
Both,1575685934164,96:52:6f:05:bb:20,90.00B,90.00B,22.893463850021362,16.886471033096313
Both,1575685934165,4e:a7:89:37:52:5f,176.00B,90.00B,22.905508518218994,16.89894986152649
Both,1575685934202,86:4a:48:81:ee:6d,90.00B,90.00B,22.874417066574097,16.867855072021484
Both,1575685934161,56:fa:79:6e:1d:50,90.00B,90.00B,23.00080180168152,16.99422788619995
Both,1575685934206,be:dd:0d:c7:3d:84,176.00B,90.00B,23.00658869743347,17.0
Both,1575685934205,66:eb:22:43:16:d7,90.00B,90.00B,23.01079297065735,17.004223346710205
Both,1575685934164,96:dd:7d:61:9d:74,90.00B,90.00B,23.064972400665283,17.058407306671143
Both,1575685934167,a2:55:d9:66:53:bb,90.00B,90.00B,23.065969944000244,17.059387922286987
Both,1575685934210,12:05:5c:c0:3b:fa,90.00B,90.00B,23.022608995437622,17.01606059074402
Both,1575685934202,d2:0f:33:bc:20:fa,90.00B,90.00B,23.041259050369263,17.034712076187134
Both,1575685934206,9a:28:8a:28:e1:85,90.00B,90.00B,23.0558123588562,17.049204349517822
Both,1575685934168,ae:00:e8:97:7f:72,90.00B,90.00B,23.10107398033142,17.0945086479187
Both,1575685934204,66:49:fe:fe:3e:35,90.00B,90.00B,23.068690299987793,17.06212854385376
Both,1575685934092,ba:ca:a4:25:ca:30,90.00B,90.00B,23.18826174736023,17.181694746017456
Both,1575685934165,d6:d4:df:9f:4a:a8,90.00B,90.00B,23.11520743370056,17.108654975891113
Both,1575685934206,06:d9:f8:25:f9:dc,90.00B,90.00B,23.07561182975769,17.069044828414917
Both,1575685934160,86:48:d5:a5:73:32,90.00B,90.00B,23.12709355354309,17.12051272392273
Both,1575685934166,f2:ef:c4:6a:11:7c,90.00B,90.00B,23.12275767326355,17.116188049316406
Both,1575685934164,d2:bb:99:c2:20:64,176.00B,90.00B,23.141786098480225,17.13516879081726
Both,1575685934203,2a:f3:d9:c4:4c:08,180.00B,90.00B,23.101354122161865,17.094806671142578
Both,1575685934211,ca:b1:e5:5a:69:d3,90.00B,90.00B,23.09507131576538,17.088521480560303
Both,1575685934169,4a:bd:76:ac:9b:cb,90.00B,90.00B,23.14828062057495,17.141724586486816
Both,1575685934168,6e:a9:2d:b5:2c:85,90.00B,90.00B,23.151808261871338,17.145219802856445
Both,1575685934210,1a:ac:25:ae:72:21,90.00B,90.00B,23.111565351486206,17.1049702167511
Both,1575685934160,96:0c:51:47:cc:01,90.00B,90.00B,23.167681217193604,17.161113739013672
