In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575686059409,2500.004,96:42:5e:56:7d:4c,90.00B,90.00B,22.896334171295166,16.889559030532837
Both,1575686059394,2500.012,f6:05:38:25:09:5d,90.00B,180.00B,22.98638105392456,16.979666233062744
Both,1575686059376,2500.01,a6:89:00:f4:71:21,90.00B,90.00B,23.0287184715271,17.021461963653564
Both,1575686059340,2500.012,aa:39:31:cb:89:c0,90.00B,90.00B,23.068787097930908,17.061989068984985
Both,1575686059420,2500.01,2a:47:17:da:7a:96,90.00B,90.00B,23.00215220451355,16.995281457901
Both,1575686059408,2500.01,ee:57:ce:e4:f6:00,90.00B,90.00B,23.01734161376953,17.010613441467285
Both,1575686059370,2500.012,66:45:dd:e0:09:91,90.00B,90.00B,23.06091547012329,17.054142475128174
Both,1575686059414,2500.002,26:59:94:15:e5:6f,90.00B,90.00B,23.0183002948761,17.011544704437256
Both,1575686059343,2500.01,42:bd:a2:0e:79:7b,90.00B,90.00B,23.09844994544983,17.091697454452515
Both,1575686059350,2500.0,96:a3:0d:4f:1e:b7,90.00B,90.00B,23.096798419952393,17.090043544769287
Both,1575686059355,2500.012,8a:bb:33:10:4b:bb,90.00B,90.00B,23.10554337501526,17.09878706932068
Both,1575686059388,2500.012,72:df:d4:74:0b:c8,90.00B,90.00B,23.082911014556885,17.07617163658142
Both,1575686059372,2500.004,3e:08:33:4e:34:33,90.00B,90.00B,23.107107639312744,17.100350856781006
Both,1575686059410,2500.01,b6:96:9e:5d:13:98,90.00B,90.00B,23.071157455444336,17.064411878585815
Both,1575686059386,2500.004,2e:43:58:33:51:6a,90.00B,90.00B,23.096964359283447,17.090165853500366
Both,1575686059347,2500.008,46:b8:f6:13:f2:fe,90.00B,90.00B,23.138340950012207,17.13145899772644
Both,1575686059424,2500.012,56:c2:ed:3c:ae:0e,90.00B,90.00B,23.06300115585327,17.056256771087646
Both,1575686059388,2500.01,c6:90:81:ad:35:fc,90.00B,90.00B,23.110959768295288,17.10422706604004
Both,1575686059394,2500.008,3e:5f:e6:3f:df:99,90.00B,90.00B,23.101835012435913,17.09509253501892
Both,1575686059430,2500.01,a2:ae:95:01:4c:2e,90.00B,90.00B,23.06981587409973,17.0658118724823
Both,1575686059387,2500.01,2a:c2:50:ff:bb:fe,90.00B,90.00B,23.12074589729309,17.11401867866516
