In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575688819840,2500.002,ae:aa:c4:7b:fa:74,90.00B,90.00B,23.063387870788574,17.05647921562195
Both,1575688819862,2500.012,0e:b2:dc:be:10:da,90.00B,90.00B,23.049510955810547,17.04278826713562
Both,1575688819761,2500.0,ee:80:40:47:fe:d5,90.00B,90.00B,23.154126167297363,17.14733624458313
Both,1575688819739,2500.006,3a:bc:6c:e5:f9:cc,90.00B,90.00B,23.166866064071655,17.16003131866455
Both,1575688819913,2500.0,02:bf:00:08:1b:78,90.00B,90.00B,23.17259192466736,17.16582465171814
Both,1575688819855,2500.004,8a:a6:b8:b1:ee:95,90.00B,90.00B,23.201902866363525,17.195186376571655
Both,1575688819932,2500.01,ce:f1:b2:29:7f:76,90.00B,180.00B,23.191059350967407,17.184247493743896
Both,1575688819808,2500.008,6a:3a:5e:c2:e9:9a,90.00B,90.00B,23.33457112312317,17.327709913253784
Both,1575688819924,2499.998,b2:30:c0:66:5e:33,90.00B,90.00B,23.20043420791626,17.193679332733154
Both,1575688819801,2500.008,2a:04:dd:a9:ad:0f,90.00B,90.00B,23.35793900489807,17.351013660430908
Both,1575688819869,2500.0,c2:c8:de:9f:9e:20,90.00B,90.00B,23.296990394592285,17.290104866027832
Both,1575688819898,2500.014,12:c5:a8:53:c4:b8,90.00B,90.00B,23.27271008491516,17.265324115753174
Both,1575688819798,2500.006,06:e2:97:30:d6:54,90.00B,90.00B,23.37575364112854,17.36889338493347
Both,1575688819906,2500.004,f6:96:1e:b0:93:f4,90.00B,90.00B,23.284554719924927,17.277600049972534
Both,1575688819819,2500.012,5e:39:ea:f2:0a:3f,90.00B,90.00B,23.405157804489136,17.398428201675415
Both,1575688819843,2500.008,be:c9:f6:8c:bc:2d,90.00B,90.00B,23.447351455688477,17.440637588500977
Both,1575688819860,2500.012,be:b7:c8:f5:63:8f,90.00B,90.00B,23.43975329399109,17.432997465133667
Both,1575688819871,2500.01,ee:0f:5b:9c:5f:30,90.00B,90.00B,23.457540273666382,17.450847387313843
Both,1575688819856,2500.008,82:b4:1c:fd:60:43,90.00B,90.00B,23.48152446746826,17.474788188934326
Both,1575688819938,2500.012,22:94:cd:1e:e3:b1,90.00B,176.00B,23.411975383758545,17.404918909072876
Both,1575688819790,2500.002,7a:ee:1b:d8:2c:92,90.00B,90.00B,23.605085849761963,17.598356008529663
Both,1575688819806,2500.01,06:19:50:91:88:bd,90.00B,90.00B,23.604348182678223,17.5972797870636
Both,1575688819767,2500.004,02:ea:18:a6:9c:26,180.00B,90.00B,23.67147660255432,17.664756536483765
