Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575684584382,2500.006,7e:bf:35:ab:2e:a1,90.00B,90.00B,4.569339752197265e-06,4.638242721557617e-06,6.890296936035191e-08
1575684584373,2500.01,8a:5d:9c:d6:7f:33,90.00B,90.00B,4.733037948608399e-06,5.193042755126953e-06,4.600048065185541e-07
1575684584392,2500.006,ee:92:f5:05:be:da,90.00B,90.00B,4.925584793090821e-06,4.95295524597168e-06,2.7370452880859113e-08
1575684584372,2500.004,42:1f:cf:fe:5d:21,90.00B,90.00B,5.141401290893554e-06,5.101871490478516e-06,-3.9529800415038415e-08
1575684584358,2500.006,2a:9d:01:b5:bb:c9,90.00B,90.00B,4.976081848144532e-06,5.601882934570312e-06,6.258010864257805e-07
1575684584443,2499.998,1e:d8:d7:3e:f0:68,176.00B,90.00B,4.870223999023437e-06,4.055070877075195e-06,-8.151531219482423e-07
1575684584370,2500.006,0a:e0:27:aa:97:cc,90.00B,180.00B,4.627132415771484e-06,4.865264892578125e-06,2.381324768066413e-07
1575684584410,2500.004,da:13:f6:ec:10:5d,180.00B,90.00B,4.60972785949707e-06,5.049896240234375e-06,4.4016838073730544e-07
1575684584371,2500.0,52:f0:62:f4:3f:7d,90.00B,90.00B,5.261945724487305e-06,5.303525924682617e-06,4.1580200195312156e-08
1575684584414,2500.006,2a:ec:e7:96:f6:0f,90.00B,90.00B,4.76069450378418e-06,4.781198501586914e-06,2.0503997802734023e-08
1575684584382,2500.01,fe:5e:03:7a:1a:2a,90.00B,90.00B,4.714012145996093e-06,5.011749267578125e-06,2.977371215820319e-07
1575684584387,2500.006,fa:a9:97:83:6a:d9,180.00B,90.00B,4.479598999023437e-06,4.685211181640625e-06,2.0561218261718772e-07
1575684584380,2500.01,b6:82:09:e2:ca:9f,90.00B,90.00B,4.6883106231689456e-06,5.1012039184570314e-06,4.128932952880859e-07
1575684584390,2500.008,1e:fd:1d:66:cc:b3,90.00B,90.00B,4.814910888671875e-06,5.1814079284667965e-06,3.6649703979492153e-07
1575684584401,2500.006,fe:9b:47:47:0f:97,90.00B,90.00B,4.829072952270508e-06,4.936504364013672e-06,1.0743141174316441e-07
1575684584367,2500.012,26:e3:be:73:2e:35,90.00B,176.00B,4.759883880615235e-06,6.548595428466797e-06,1.788711547851562e-06
1575684584393,2500.006,a2:c9:0d:62:d3:78,90.00B,90.00B,4.549312591552734e-06,4.43887710571289e-06,-1.1043548583984387e-07
1575684584377,2500.004,7e:0f:a4:6f:41:d2,176.00B,90.00B,5.084943771362305e-06,4.948568344116211e-06,-1.3637542724609355e-07
1575684584352,2500.012,86:a8:bd:78:a4:68,90.00B,90.00B,4.954767227172852e-06,5.949687957763672e-06,9.9492073059082e-07
1575684584446,2499.998,de:2c:3e:be:20:4c,90.00B,90.00B,4.888486862182617e-06,4.087495803833008e-06,-8.009910583496086e-07
1575684584367,2499.998,02:5e:a8:7a:3c:7a,90.00B,90.00B,5.101776123046875e-06,5.926895141601563e-06,8.251190185546881e-07
1575684584378,2500.004,e6:95:e6:7d:a9:9c,90.00B,90.00B,4.760503768920898e-06,5.112409591674805e-06,3.519058227539069e-07
1575684584367,2500.004,6a:19:90:ec:07:e2,90.00B,90.00B,4.631757736206055e-06,5.1974773406982425e-06,5.657196044921879e-07
1575684584368,2500.004,ca:a0:a2:78:fb:af,90.00B,90.00B,4.8284530639648435e-06,5.228042602539063e-06,3.995895385742192e-07
1575684584361,2500.012,1a:4a:49:81:fe:c5,90.00B,90.00B,4.7322273254394535e-06,6.623077392578125e-06,1.8908500671386714e-06
1575684584389,2500.008,b6:80:59:8c:59:a3,180.00B,90.00B,4.71649169921875e-06,5.148935317993164e-06,4.324436187744142e-07
1575684584385,2500.006,ce:36:10:77:06:38,90.00B,90.00B,5.0585746765136715e-06,5.403900146484375e-06,3.4532546997070384e-07
1575684584376,2500.0,8a:bb:7e:8a:48:26,90.00B,90.00B,5.178117752075195e-06,5.258798599243164e-06,8.068084716796876e-08
1575684584399,2500.006,6a:3b:17:21:34:5f,90.00B,90.00B,4.9642086029052736e-06,5.562591552734375e-06,5.983829498291012e-07
1575684584374,2500.012,02:33:dc:d8:ad:04,90.00B,90.00B,5.04617691040039e-06,5.232763290405274e-06,1.8658638000488333e-07
1575684584378,2500.006,2e:27:5b:a4:16:c7,90.00B,90.00B,5.078887939453125e-06,5.559206008911133e-06,4.803180694580082e-07
1575684584429,2499.998,5a:bb:bb:ed:78:d0,176.00B,90.00B,5.76944351196289e-06,4.1933059692382815e-06,-1.5761375427246088e-06
1575684584388,2500.01,b6:e0:31:e1:d7:f3,90.00B,90.00B,4.744195938110351e-06,5.067157745361328e-06,3.229618072509769e-07
1575684584372,2500.012,d2:8e:90:e4:70:f0,176.00B,90.00B,5.1280498504638675e-06,5.260515213012695e-06,1.3246536254882772e-07
1575684584408,2500.006,42:bc:03:66:95:54,90.00B,90.00B,5.079364776611328e-06,5.452823638916015e-06,3.7345886230468703e-07
1575684584375,2500.0,36:06:d5:1b:fd:e9,90.00B,90.00B,5.197572708129883e-06,5.303382873535156e-06,1.0581016540527333e-07
1575684584438,2499.998,2a:d5:c7:9e:89:d3,90.00B,90.00B,4.850339889526368e-06,4.61273193359375e-06,-2.3760795593261738e-07
1575684584413,2500.008,1a:ed:2d:c1:ee:08,90.00B,90.00B,4.786348342895507e-06,4.906225204467773e-06,1.1987686157226576e-07
1575684584454,2499.998,06:56:1e:78:74:91,90.00B,90.00B,4.66766357421875e-06,4.632472991943359e-06,-3.519058227539077e-08
1575684584361,2500.012,9a:86:25:1f:92:82,90.00B,90.00B,4.880952835083008e-06,6.711769104003906e-06,1.830816268920898e-06
1575684584424,2499.998,d6:9a:46:85:d3:a3,90.00B,90.00B,4.622077941894531e-06,5.024480819702149e-06,4.0240287780761787e-07
1575684584421,2500.004,4a:6a:90:f1:9e:44,90.00B,90.00B,5.194664001464844e-06,5.127429962158203e-06,-6.723403930664063e-08
1575684584427,2500.006,76:19:fa:95:f1:b4,90.00B,90.00B,4.817342758178711e-06,5.563211441040039e-06,7.458686828613279e-07
