Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575670172470,2500.012,aa:9a:62:a7:36:09,90.00B,90.00B,4.751300811767578e-06,4.415607452392578e-06,-3.356933593750003e-07
1575670172465,2500.012,da:28:a2:9b:43:bc,90.00B,90.00B,4.727888107299805e-06,4.501771926879882e-06,-2.261161804199226e-07
1575670172465,2500.004,4a:25:a1:27:b8:2a,90.00B,90.00B,4.5943737030029295e-06,4.642438888549805e-06,4.8065185546875636e-08
1575670172428,2500.008,26:f4:ab:a7:73:17,90.00B,90.00B,4.901742935180664e-06,5.5549144744873046e-06,6.531715393066405e-07
1575670172421,2500.002,16:ba:a5:a1:3c:79,90.00B,90.00B,4.698991775512695e-06,6.3649654388427735e-06,1.6659736633300782e-06
1575670172431,2500.0,2a:23:ef:64:4c:c2,90.00B,180.00B,5.02166748046875e-06,5.891084671020508e-06,8.694171905517577e-07
1575670172423,2500.008,9a:10:71:7d:65:0a,180.00B,90.00B,5.0480842590332034e-06,5.717563629150391e-06,6.694793701171875e-07
1575670172463,2500.002,1e:bb:e5:ae:ec:72,90.00B,90.00B,4.809665679931641e-06,4.887819290161133e-06,7.815361022949216e-08
1575670172467,2500.002,ce:6a:61:d8:81:67,90.00B,176.00B,4.939413070678711e-06,4.606962203979492e-06,-3.32450866699219e-07
1575670172433,2500.008,a6:a2:fe:9f:f8:3e,90.00B,90.00B,4.786968231201172e-06,5.784130096435547e-06,9.971618652343753e-07
1575670172427,2500.0,a6:78:e9:a8:e1:c9,90.00B,90.00B,5.085611343383789e-06,5.814599990844727e-06,7.289886474609377e-07
1575670172477,2500.006,36:3e:24:5c:a9:c5,90.00B,90.00B,4.1909217834472655e-06,4.6156883239746095e-06,4.24766540527344e-07
1575670172461,2500.012,aa:98:cf:cd:5c:0f,90.00B,90.00B,4.786252975463867e-06,4.699516296386719e-06,-8.673667907714788e-08
1575670172459,2500.002,d6:e4:4a:b7:81:b1,90.00B,90.00B,4.462957382202149e-06,5.190324783325195e-06,7.273674011230466e-07
