Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575664089621,2500.006,16:5e:90:6d:ec:cd,90.00B,90.00B,4.648017883300781e-06,3.9886474609375e-06,-6.59370422363281e-07
1575664089628,2500.002,3e:02:45:c9:16:79,90.00B,90.00B,4.903650283813476e-06,5.0044536590576176e-06,1.0080337524414117e-07
1575664089628,2500.002,22:6d:eb:7b:67:af,90.00B,90.00B,4.696130752563476e-06,4.426193237304688e-06,-2.6993751525878845e-07
1575664089628,2500.012,06:7c:a1:d5:98:93,90.00B,90.00B,5.308055877685547e-06,5.3279399871826175e-06,1.9884109497070558e-08
1575664089628,2500.008,4a:8e:69:27:1a:f0,90.00B,90.00B,7.498741149902344e-06,6.895399093627929e-06,-6.033420562744148e-07
1575664089628,2500.002,b2:e7:23:6f:7e:c4,176.00B,180.00B,5.044698715209961e-06,4.944181442260742e-06,-1.0051727294921827e-07
1575664089633,2500.0,16:7f:4c:e5:aa:d1,90.00B,90.00B,5.046987533569336e-06,4.883432388305664e-06,-1.6355514526367186e-07
1575664089627,2500.012,66:eb:1a:66:68:97,90.00B,90.00B,5.194616317749024e-06,5.195474624633789e-06,8.583068847653187e-10
1575664089635,2500.002,b6:80:34:92:d0:58,90.00B,90.00B,4.90565299987793e-06,5.427742004394531e-06,5.220890045166011e-07
1575664089629,2500.002,b2:cc:22:29:e2:93,90.00B,90.00B,4.772281646728516e-06,4.53791618347168e-06,-2.3436546325683607e-07
1575664089635,2500.002,12:48:cd:7c:63:76,90.00B,90.00B,4.636955261230468e-06,4.7285079956054685e-06,9.155273437500008e-08
1575664089628,2500.002,9e:e7:2b:69:d8:33,90.00B,90.00B,4.6730518341064455e-06,4.521703720092773e-06,-1.5134811401367236e-07
1575664089621,2500.006,2a:93:3e:79:8e:eb,90.00B,90.00B,4.626893997192383e-06,4.019832611083984e-06,-6.07061386108399e-07
1575664089634,2500.002,ba:b7:82:24:19:cb,90.00B,90.00B,4.683113098144531e-06,4.491138458251953e-06,-1.9197463989257795e-07
1575664089628,2500.006,ea:eb:49:10:15:82,90.00B,90.00B,4.661273956298828e-06,4.9331188201904294e-06,2.718448638916016e-07
1575664089636,2500.012,92:41:a5:2a:fa:9c,90.00B,90.00B,4.616832733154297e-06,5.123376846313477e-06,5.065441131591799e-07
1575664089635,2500.01,92:5f:90:0f:20:99,90.00B,90.00B,4.866933822631836e-06,4.73933219909668e-06,-1.2760162353515617e-07
1575664089635,2500.01,96:48:36:7c:a9:56,90.00B,90.00B,4.702806472778321e-06,4.651594161987305e-06,-5.12123107910157e-08
1575664089634,2500.002,32:43:6f:84:04:74,90.00B,90.00B,4.590368270874023e-06,4.718017578125e-06,1.2764930725097637e-07
1575664089628,2500.002,ae:5f:b5:37:50:38,90.00B,90.00B,4.604434967041016e-06,4.404211044311523e-06,-2.0022392272949226e-07
1575664089629,2500.002,62:33:d8:93:c1:f5,90.00B,90.00B,4.671239852905274e-06,5.041885375976563e-06,3.706455230712892e-07
1575664089629,2500.01,8e:ff:b6:8d:eb:8a,90.00B,90.00B,4.776811599731445e-06,4.863929748535156e-06,8.711814880371119e-08
1575664089634,2500.004,36:02:8c:a7:10:3e,90.00B,90.00B,5.1017284393310545e-06,3.690958023071289e-06,-1.4107704162597655e-06
1575664089628,2500.002,8e:06:06:ae:6a:66,90.00B,90.00B,4.6746253967285156e-06,5.021238327026367e-06,3.466129302978518e-07
1575664089628,2500.008,a2:1e:9e:1d:37:e1,90.00B,90.00B,4.987716674804688e-06,6.868743896484375e-06,1.881027221679687e-06
1575664089628,2500.012,86:ec:f0:f3:67:f9,90.00B,90.00B,4.621028900146485e-06,4.762601852416992e-06,1.4157295227050736e-07
1575664089629,2500.008,e6:0f:35:c6:28:8b,90.00B,90.00B,4.952478408813477e-06,6.805992126464843e-06,1.8535137176513664e-06
1575664089627,2500.012,da:ac:48:71:4c:da,90.00B,90.00B,4.879808425903321e-06,7.712459564208984e-06,2.8326511383056633e-06
1575664089628,2500.008,26:52:a8:8c:2b:db,90.00B,90.00B,5.152177810668945e-06,7.354640960693359e-06,2.202463150024414e-06
1575664089633,2500.008,86:ec:4e:12:d5:7c,90.00B,90.00B,4.900312423706055e-06,6.946516036987305e-06,2.04620361328125e-06
1575664089635,2500.008,9a:08:dd:f7:e0:f0,90.00B,90.00B,5.291557312011719e-06,7.275247573852539e-06,1.9836902618408203e-06
1575664089634,2500.008,c2:9d:20:c1:c3:72,90.00B,176.00B,4.949283599853516e-06,7.373666763305664e-06,2.424383163452148e-06
1575664089627,2500.002,fa:e5:d9:d7:f9:9f,180.00B,90.00B,4.70738410949707e-06,7.203149795532226e-06,2.4957656860351562e-06
1575664089629,2500.006,ea:7f:30:77:c5:cc,90.00B,90.00B,5.1090717315673825e-06,7.841777801513672e-06,2.732706069946289e-06
1575664089628,2500.006,7a:9a:0a:90:2e:a6,90.00B,90.00B,4.944372177124023e-06,7.691574096679688e-06,2.747201919555665e-06
1575664089639,2500.006,5a:56:a0:45:cd:22,90.00B,90.00B,6.455612182617187e-06,7.6084613800048825e-06,1.1528491973876953e-06
1575664089628,2500.008,16:fe:4d:78:64:86,90.00B,90.00B,5.290079116821289e-06,7.305335998535156e-06,2.0152568817138673e-06
1575664089934,2500.012,66:d6:5f:ef:8c:b5,90.00B,90.00B,4.641056060791016e-06,4.844188690185547e-06,2.0313262939453132e-07
1575664089932,2500.01,92:da:1c:39:50:8f,90.00B,90.00B,4.734134674072266e-06,4.629755020141602e-06,-1.043796539306639e-07
1575664089927,2500.01,82:a8:5d:9b:fe:4d,90.00B,180.00B,4.901981353759766e-06,4.744482040405273e-06,-1.5749931335449274e-07
1575664089935,2500.012,da:0b:4c:9f:5b:2b,90.00B,90.00B,4.719018936157226e-06,5.2371978759765625e-06,5.181789398193361e-07
1575664089932,2500.006,22:ff:a1:05:17:0a,90.00B,90.00B,4.731988906860352e-06,4.7185420989990235e-06,-1.3446807861328126e-08
1575664089958,2500.0,86:eb:96:c5:4c:b7,90.00B,90.00B,4.5623779296875e-06,4.548549652099609e-06,-1.3828277587890584e-08
1575664089955,2500.0,06:d2:69:f8:21:ff,90.00B,90.00B,5.108213424682617e-06,4.947566986083984e-06,-1.606464385986328e-07
1575664089988,2500.01,de:63:a7:b0:99:92,90.00B,90.00B,4.709148406982422e-06,4.561758041381836e-06,-1.4739036560058548e-07
1575664089919,2500.012,de:32:ee:15:d9:db,90.00B,90.00B,5.185413360595703e-06,5.3676605224609376e-06,1.8224716186523484e-07
1575664089950,2500.0,aa:86:db:51:73:27,90.00B,90.00B,5.0138950347900394e-06,6.502103805541992e-06,1.4882087707519525e-06
1575664089996,2500.0,ea:9b:06:8b:4b:eb,90.00B,90.00B,4.583454132080078e-06,4.517745971679687e-06,-6.57081604003908e-08
1575664089994,2500.002,a6:84:d5:6c:ec:18,90.00B,90.00B,4.545879364013672e-06,5.057954788208008e-06,5.12075424194336e-07
1575664090001,2500.012,7a:01:a6:23:ab:2c,90.00B,90.00B,4.6485424041748044e-06,5.2358627319335935e-06,5.873203277587891e-07
1575664089999,2500.012,32:aa:de:50:e2:b8,90.00B,90.00B,4.851055145263672e-06,5.234766006469726e-06,3.8371086120605404e-07
1575664089939,2500.012,c6:d0:b0:8c:64:7f,90.00B,90.00B,5.141592025756836e-06,5.2027225494384765e-06,6.113052368164046e-08
1575664090008,2500.01,9e:bc:75:17:df:da,90.00B,90.00B,4.748201370239258e-06,4.76999282836914e-06,2.1791458129882e-08
