Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,First Iteration Latency,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575671014269,2300.014,4a:18:2d:7b:f6:9d,176.00B,90.00B,5.625049591064453,6.038618087768555e-06,6.183767318725586e-06,1.4514923095703093e-07
1575671014269,2300.014,66:2f:b1:8b:d7:c4,90.00B,90.00B,5.5880420207977295,5.970335006713867e-06,6.073760986328125e-06,1.0342597961425817e-07
1575671014270,2300.014,ae:40:18:a3:82:7a,90.00B,90.00B,5.600849628448486,6.011819839477539e-06,6.059789657592773e-06,4.7969818115234386e-08
1575671014295,2300.014,56:74:bf:ea:85:25,176.00B,90.00B,5.6198508739471436,6.055831909179687e-06,6.0930252075195315e-06,3.719329833984431e-08
1575671014269,2300.014,0a:03:a0:65:81:5b,90.00B,90.00B,5.597431182861328,5.9736251831054686e-06,6.054544448852539e-06,8.091926574707061e-08
1575671014267,2300.014,fe:0f:fa:a2:4d:2f,90.00B,90.00B,5.634467840194702,6.3244342803955074e-06,6.189393997192383e-06,-1.3504028320312453e-07
1575671014294,2300.014,ce:96:65:b7:9b:4b,90.00B,176.00B,5.64958381652832,5.865287780761719e-06,6.058645248413086e-06,1.9335746765136717e-07
1575671014265,2300.016,be:03:b6:1d:2a:40,90.00B,90.00B,5.609416246414185,7.659626007080079e-06,5.9996604919433595e-06,-1.6599655151367193e-06
1575671014269,2300.014,4e:8a:5b:39:4b:f9,90.00B,90.00B,5.604066610336304,5.801200866699219e-06,5.919313430786133e-06,1.1811256408691408e-07
1575671014269,2300.014,62:a8:34:b4:de:2f,90.00B,90.00B,5.606059312820435,6.091737747192383e-06,6.075811386108398e-06,-1.5926361083984527e-08
1575671014268,2300.016,7e:7d:bc:4e:57:94,90.00B,90.00B,5.624536514282227,5.950307846069336e-06,6.050539016723633e-06,1.0023117065429706e-07
1575671014267,2300.016,46:e1:fc:bd:4a:0f,90.00B,90.00B,5.618480443954468,5.9823036193847655e-06,6.083250045776367e-06,1.0094642639160177e-07
1575671014267,2300.016,be:64:bf:f7:f7:27,90.00B,90.00B,5.613818168640137,6.029319763183593e-06,6.069803237915039e-06,4.048347473144583e-08
1575671014293,2300.014,ee:e2:f9:97:47:85,90.00B,90.00B,5.599238872528076,6.096315383911133e-06,6.038093566894532e-06,-5.82218170166014e-08
1575671014277,2300.014,ce:ac:cd:4e:d0:7e,90.00B,90.00B,5.623989820480347,6.074190139770508e-06,6.284189224243164e-06,2.0999908447265642e-07
