Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575669815690,2500.0,32:10:34:2f:6e:b6,90.00B,90.00B,4.623222351074219e-06,4.38542366027832e-06,-2.3779869079589904e-07
1575669815687,2500.008,72:e5:e5:9f:12:3c,90.00B,90.00B,4.920339584350586e-06,4.5286178588867185e-06,-3.9172172546386735e-07
1575669815689,2500.008,5e:9a:44:b5:87:a1,90.00B,90.00B,5.193042755126953e-06,4.549455642700196e-06,-6.435871124267571e-07
1575669815687,2500.008,82:bb:41:14:96:3c,90.00B,90.00B,5.073356628417969e-06,4.589080810546875e-06,-4.842758178710934e-07
1575669815688,2500.008,a6:a2:fe:9f:f8:3e,90.00B,90.00B,5.0396442413330075e-06,4.473876953125e-06,-5.657672882080072e-07
1575669815687,2500.008,32:93:4e:b8:a6:6e,90.00B,90.00B,5.05366325378418e-06,6.139898300170899e-06,1.086235046386719e-06
1575669815687,2500.008,86:c7:f1:25:e4:5d,90.00B,90.00B,5.130815505981445e-06,5.093622207641602e-06,-3.7193298339843465e-08
1575669815900,2500.0,ae:84:2b:cf:f9:18,90.00B,90.00B,4.746198654174805e-06,4.224920272827149e-06,-5.21278381347656e-07
1575669815900,2500.008,86:67:fd:24:f3:d7,90.00B,90.00B,4.9591064453125e-06,4.739904403686524e-06,-2.1920204162597646e-07
1575669815897,2500.012,12:89:5f:5a:bd:ce,90.00B,90.00B,4.869794845581055e-06,4.819679260253906e-06,-5.011558532714853e-08
1575669815891,2500.008,aa:a8:b1:a5:82:75,90.00B,90.00B,5.690574645996093e-06,4.59909439086914e-06,-1.091480255126953e-06
1575669815899,2500.008,06:2a:69:38:91:67,180.00B,90.00B,5.170202255249024e-06,4.665613174438476e-06,-5.045890808105474e-07
1575669815892,2500.012,4e:c1:c6:5f:8e:21,90.00B,90.00B,4.888772964477539e-06,4.894733428955078e-06,5.960464477539571e-09
1575669815892,2500.012,ba:a3:5f:9e:c9:09,90.00B,90.00B,5.40771484375e-06,5.067682266235352e-06,-3.4003257751464794e-07
1575669816009,2500.0,82:6e:58:91:bf:0f,90.00B,90.00B,4.58536148071289e-06,4.0402412414550785e-06,-5.451202392578118e-07
1575669815892,2500.012,76:4c:92:d6:27:23,90.00B,90.00B,4.974460601806641e-06,4.922962188720703e-06,-5.149841308593776e-08
1575669815908,2500.008,06:51:9f:7c:6f:e0,90.00B,90.00B,4.92854118347168e-06,4.774665832519531e-06,-1.5387535095214896e-07
1575669815909,2500.008,7a:74:9f:88:95:e1,90.00B,90.00B,4.755544662475586e-06,4.710197448730469e-06,-4.534721374511738e-08
