Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,First Iteration,Rdrand Latency,Rdrand Stdev,Contention Rdrand Latency,Contention Rdrand Stdev,Total Latency,Boot ID,Elapsed Time
1575937477277,2499.994,72:61:14:1a:c4:35,90.00B,90.00B,5.5444560050964355,2.5087261199951173e-05,7.126292178405627e-06,2.4605751037597655e-05,4.113269246729301e-06,-4.815101623535183e-07,0dd02833-d956-45e5-a1f9-884746e0f311,1558757650
1575937477395,2500.012,26:27:84:70:56:a9,90.00B,90.00B,5.514909744262695,2.4713706970214845e-05,5.377029537353098e-06,2.4414777755737306e-05,4.1189615210440105e-06,-2.9892921447753865e-07,de31cbad-ca7c-4851-8d2a-163931a5cadc,1558757662
1575937477402,2500.012,06:6e:f6:2e:ed:aa,90.00B,90.00B,5.511136293411255,2.4748420715332033e-05,5.137693166274163e-06,2.5670242309570314e-05,5.747103056574659e-06,9.218215942382809e-07,47445afe-0015-4b2c-8e2e-a3a45cf8ecfe,1558757651
1575937477396,2500.01,72:fe:d5:7f:57:50,90.00B,90.00B,5.515985727310181,2.534589767456055e-05,7.568218482021472e-06,2.5387287139892578e-05,6.533220075297127e-06,4.1389465332029656e-08,2bc1e1fd-75b0-4746-b175-3c2fc26a5906,1558757641
1575937477393,2500.012,6a:0a:ae:af:c4:a6,90.00B,176.00B,5.516292572021484,2.4093055725097657e-05,2.92990855064033e-06,2.420182228088379e-05,4.74976533995751e-06,1.0876655578613174e-07,f7aff462-7829-49cc-b7be-d8a29cb0b416,1558757655
1575937477395,2499.996,a2:a4:80:8d:5c:16,90.00B,90.00B,5.521229982376099,2.4656391143798827e-05,8.704707740090707e-06,2.4434900283813475e-05,6.0328489363979045e-06,-2.2149085998535205e-07,67b197d1-51b2-40ca-8ba9-48d292917d8c,1558757651
1575937477282,2500.01,da:05:55:c0:f9:76,90.00B,90.00B,5.567447900772095,2.583446502685547e-05,6.276265366213144e-06,2.748570442199707e-05,0.00013413730320256778,1.6512393951416004e-06,cdf5d5f8-5794-41fa-ad94-d0dd6d3c449c,1558757249
1575937477395,2500.01,aa:58:c2:26:33:d0,90.00B,90.00B,5.514134407043457,2.5221633911132812e-05,5.297301623436116e-06,2.5672626495361327e-05,6.395906057932901e-06,4.5099258422851487e-07,7e1e0e9e-52cc-4829-85e6-c870095c79c5,1558757651
1575937477395,2500.012,ba:3e:1c:01:b9:66,90.00B,90.00B,5.519962549209595,2.4848175048828124e-05,5.823834299312965e-06,2.4335432052612305e-05,4.155520449897309e-06,-5.127429962158196e-07,a1d259d2-0707-4f8a-8301-658b754295ce,1558757663
1575937477288,2500.002,76:37:99:06:dc:e1,90.00B,90.00B,5.584100008010864,2.5530195236206055e-05,7.178628172258953e-06,2.5282716751098634e-05,4.83900390813005e-06,-2.474784851074211e-07,34ca0c17-5afc-4d48-90f6-11ed907cb035,1558757591
1575937477396,2499.996,2a:ba:a7:87:2e:63,90.00B,90.00B,5.515884637832642,2.487778663635254e-05,7.743891853775524e-06,2.4716854095458985e-05,7.4077023579292445e-06,-1.60932540893554e-07,a5c1113c-b3c4-46b4-af14-37fe78ebf3ef,1558757636
1575937477395,2499.996,96:bf:86:8b:0c:5f,90.00B,90.00B,5.519101858139038,2.48044490814209e-05,8.840591095996048e-06,2.448263168334961e-05,6.597884168508921e-06,-3.218173980712895e-07,3c90fc6e-dc87-479a-99fc-4d378910a273,1558757651
1575937477397,2500.008,b2:65:42:41:76:ee,90.00B,90.00B,5.554073333740234,2.5439453125e-05,5.465107025118165e-06,2.486152648925781e-05,4.760575599537795e-06,-5.779266357421891e-07,0bc700dc-8920-45e6-b7b8-e8566fa86007,1558757566
1575937477392,2500.012,7e:6d:c2:8d:c6:ea,90.00B,90.00B,5.515679359436035,2.4274969100952147e-05,5.3804371393005395e-06,2.4307918548583986e-05,1.4946373736460729e-05,3.294944763183877e-08,d51b0d5a-2d3e-415e-a397-db5cf938bef9,1558757656
1575937477281,2500.004,a2:3d:d9:77:75:40,90.00B,90.00B,5.591487407684326,2.570176124572754e-05,8.588470392966535e-06,2.5565433502197267e-05,6.760504485487376e-06,-1.363277435302725e-07,796d9e6a-f793-4e99-9f20-bac4b210a387,1558757335
1575937477281,2500.01,e6:2e:ab:89:be:ed,176.00B,90.00B,5.573127508163452,2.5288963317871092e-05,6.971258741444177e-06,2.5063180923461915e-05,6.488962386161066e-06,-2.2578239440917695e-07,e36ba8b3-60c9-42e1-828b-7942a05d7298,1558757218
1575937477396,2500.012,5a:6b:85:2e:56:9b,90.00B,90.00B,5.511243104934692,2.464485168457031e-05,3.897055134446701e-06,2.46549129486084e-05,4.7863177860894155e-06,1.00612640380879e-08,60bf6321-fa3a-4ef7-8dd1-cb95dec1d7b4,1558757659
1575937477290,2499.998,16:6f:c5:92:ef:88,180.00B,90.00B,5.576775312423706,2.5811910629272462e-05,8.648902761002435e-06,2.5705909729003906e-05,5.625930751791283e-06,-1.0600090026855667e-07,d4160d76-8e5f-4897-8a8a-11ac72676cf6,1558757311
1575937477279,2500.002,ca:8f:19:3b:88:16,90.00B,90.00B,5.605726003646851,2.5829744338989258e-05,6.457355843335987e-06,2.567477226257324e-05,6.727741345750977e-06,-1.5497207641601698e-07,0ef708a6-166b-4be5-ad1c-7beb385c2a2b,1558757455
1575937477320,2500.012,a2:45:e6:48:45:64,90.00B,90.00B,5.578383922576904,2.554478645324707e-05,7.1005170040638615e-06,2.5650930404663086e-05,7.960442004074468e-06,1.0614395141601558e-07,fbd779b7-67fd-41b7-9fe9-4a976754fac8,1558757268
1575937477332,2500.004,66:d9:44:38:1d:37,90.00B,176.00B,5.546223402023315,2.576413154602051e-05,7.439912157217598e-06,2.5630950927734376e-05,7.035092446014253e-06,-1.3318061828613244e-07,170da65d-be79-4a14-a67c-0466d4da65da,1558757244
1575937477310,2500.008,e6:11:41:96:c8:66,90.00B,90.00B,5.5802342891693115,2.5475597381591798e-05,6.832649177061158e-06,2.677159309387207e-05,6.600553063830604e-05,1.2959957122802735e-06,5fa5ae1e-4a4d-48f9-8c16-218cae4e4572,1558757155
1575937477285,2499.998,ae:9d:56:1e:1b:ee,90.00B,90.00B,5.581207513809204,2.585482597351074e-05,7.923312072402278e-06,2.5798606872558594e-05,5.614811654033377e-06,-5.621910095214786e-08,66e1b4cd-c0b6-4485-922b-c20c6ead584d,1558757311
1575937477396,2500.01,9e:40:77:35:ae:d6,90.00B,90.00B,5.522444486618042,2.4303770065307616e-05,4.4248430945319505e-06,2.5606441497802735e-05,5.754122303036904e-06,1.3026714324951187e-06,120b94b7-68e3-486c-9182-07341cf51262,1558757650
