Start Time,Frequency,Node Name,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575690060762,2500.0,169.254.202.5,0a:1b:a3:2b:8c:46,90.00B,90.00B,4.349184036254883e-06,3.949689865112304e-06,-3.994941711425788e-07
1575690061036,2499.994,169.254.21.197,3e:c3:13:42:31:86,90.00B,90.00B,3.984785079956055e-06,3.991556167602539e-06,6.771087646484688e-09
1575690061052,2499.994,169.254.21.213,36:c3:8d:f2:34:fb,90.00B,90.00B,4.000473022460937e-06,3.967714309692383e-06,-3.2758712768554574e-08
1575690061041,2500.006,169.254.221.141,ce:c0:65:e8:a6:2d,90.00B,90.00B,4.274177551269531e-06,4.20079231262207e-06,-7.338523864746101e-08
1575690061048,2500.002,169.254.21.213,96:4d:87:73:03:27,90.00B,90.00B,4.247903823852539e-06,4.0567874908447265e-06,-1.9111633300781263e-07
1575690061042,2500.002,169.254.21.221,0e:6f:b9:f1:3d:29,90.00B,90.00B,4.173803329467773e-06,3.978919982910156e-06,-1.94883346557617e-07
1575690061046,2500.004,169.254.122.125,8e:4c:9a:41:7b:f3,90.00B,176.00B,4.306221008300781e-06,4.265260696411133e-06,-4.0960311889647844e-08
1575690061048,2500.012,169.254.176.197,b2:2f:90:0a:e2:4f,90.00B,90.00B,4.227018356323242e-06,3.93671989440918e-06,-2.9029846191406187e-07
1575690061045,2500.01,169.254.155.205,ce:d1:6b:63:17:45,90.00B,90.00B,4.279184341430664e-06,4.128646850585938e-06,-1.505374908447264e-07
1575690061049,2500.014,169.254.250.69,6e:42:ff:28:1a:b0,176.00B,90.00B,4.027748107910156e-06,3.903484344482422e-06,-1.2426376342773445e-07
1575690061040,2500.002,169.254.249.141,06:b9:cc:b2:0e:8e,90.00B,90.00B,4.343414306640625e-06,4.1627883911132815e-06,-1.8062591552734376e-07
1575690061039,2500.012,169.254.236.253,72:f3:02:79:d7:ad,90.00B,90.00B,4.322624206542969e-06,4.59742546081543e-06,2.7480125427246085e-07
1575690061030,2500.002,169.254.224.29,26:55:41:4d:ad:ab,90.00B,90.00B,4.269695281982422e-06,4.514551162719727e-06,2.4485588073730493e-07
1575690061041,2500.008,169.254.130.205,da:8f:dd:f0:41:b6,90.00B,90.00B,4.620647430419922e-06,4.2866706848144534e-06,-3.339767456054688e-07
1575690061061,2500.008,169.254.73.205,82:1e:57:11:0d:d9,90.00B,176.00B,4.126453399658203e-06,3.987264633178711e-06,-1.391887664794922e-07
1575690061045,2500.004,169.254.86.45,22:95:da:83:29:6b,176.00B,90.00B,3.983116149902343e-06,3.839921951293945e-06,-1.4319419860839844e-07
1575690061041,2500.01,169.254.69.157,ee:7f:4b:bd:df:7f,90.00B,90.00B,4.107236862182617e-06,4.252052307128906e-06,1.4481544494628868e-07
1575690061065,2500.01,169.254.165.61,0e:68:71:b2:a3:fd,90.00B,90.00B,4.181289672851563e-06,4.28314208984375e-06,1.018524169921873e-07
