Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Exec Time
1575607838506,0.74,2019-12-06 04:50:37,2000.118,eth1,169.254.8.130,77:0f:8d:ca:7f:5c,15.221171140670776
1575607838494,0.81,2019-12-06 04:50:37,2000.163,lo,127.0.0.1,cd:87:e4:8a:58:cc,32.51018190383911
1575607838638,0.78,2019-12-06 04:50:37,2000.163,lo,127.0.0.1,99:2e:7e:b6:2b:2f,32.493159532547
1575607827233,1616.19,2019-12-06 04:23:30,2000.169,eth0,192.168.1.1,0f:bf:b7:f7:b8:76,48.31165957450867
1575607827178,1667.66,2019-12-06 04:22:39,2000.162,eth2,169.254.8.1,13:d0:6c:68:27:ca,48.8521044254303
1575607828309,0.67,2019-12-06 04:50:27,2000.169,eth1,169.254.8.130,2f:94:da:e7:66:1d,48.20038294792175
1575607828256,0.67,2019-12-06 04:50:27,2000.169,eth1,169.254.8.130,9f:cf:67:db:c2:61,48.71304178237915
1575607828152,0.73,2019-12-06 04:50:27,2000.162,eth2,169.254.8.1,17:a3:3d:11:ef:2e,48.88473415374756
1575607827178,1667.78,2019-12-06 04:22:39,2000.162,eth1,169.254.8.130,2b:79:a1:f9:50:57,50.010390281677246
1575607827402,0.66,2019-12-06 04:50:26,2000.174,eth2,169.254.8.1,c3:7c:b5:a9:30:00,50.17563581466675
1575607826239,1666.48,2019-12-06 04:22:39,2000.174,lo,127.0.0.1,df:3c:f6:29:36:3c,52.60175895690918
1575607826240,1667.05,2019-12-06 04:22:39,2000.174,lo,127.0.0.1,d9:c8:61:fc:d1:c3,53.80481171607971
1575607838251,0.68,2019-12-06 04:50:37,2000.173,eth0,192.168.1.1,99:06:3a:ed:f5:5b,45.54532265663147
1575607838407,0.87,2019-12-06 04:50:37,2000.168,eth2,169.254.8.1,8b:e8:cc:18:5c:79,45.9901819229126
1575607838258,0.74,2019-12-06 04:50:37,2000.174,eth1,169.254.8.130,39:5b:76:42:e1:06,46.368414878845215
1575607838434,0.63,2019-12-06 04:50:37,2000.173,eth0,192.168.1.1,c3:65:8b:88:1b:24,46.28450632095337
1575607838606,0.72,2019-12-06 04:50:37,2000.163,eth2,169.254.8.1,e5:45:e1:da:09:09,47.68096590042114
