Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Exec Time
1575609791872,1.50,2019-12-06 05:23:09,2000.177,eth2,169.254.8.1,bf:a1:1a:87:b4:78,23.693292379379272
1575609792687,1.35,2019-12-06 05:23:10,2000.19,lo,127.0.0.1,b7:34:20:4c:9b:f3,23.12997555732727
1575609791026,1.27,2019-12-06 05:23:09,2000.178,eth2,169.254.8.1,b3:87:aa:23:5d:37,25.86707067489624
1575609789518,89.11,2019-12-06 05:21:40,2000.171,eth2,169.254.8.1,e5:b8:95:d0:af:3b,33.61243987083435
1575609791116,1.38,2019-12-06 05:23:09,2000.183,eth2,169.254.8.1,95:8e:4e:34:27:17,32.49766182899475
1575609791122,1.37,2019-12-06 05:23:09,2000.183,lo,127.0.0.1,97:b7:56:28:b2:03,32.50291848182678
1575609791605,2.16,2019-12-06 05:23:09,2000.125,eth1,169.254.8.130,c9:2b:8d:8e:3b:8e,32.642709255218506
1575609791147,1.27,2019-12-06 05:23:09,2000.171,eth2,169.254.8.1,43:49:81:f0:ef:5c,33.28371214866638
1575609792270,1.15,2019-12-06 05:23:10,2000.125,eth2,169.254.8.1,29:0e:58:62:9f:c9,32.649916648864746
1575609789467,88.19,2019-12-06 05:21:41,2000.179,lo,127.0.0.1,f9:03:35:71:fb:9f,35.54483699798584
1575609789560,88.33,2019-12-06 05:21:41,2000.179,eth1,169.254.8.130,6b:be:10:26:42:69,36.008418560028076
1575609790939,1.11,2019-12-06 05:23:09,2000.18,lo,127.0.0.1,3d:06:48:cb:b6:c8,44.352216720581055
1575609792933,2.03,2019-12-06 05:23:10,2000.193,eth2,169.254.8.1,a3:f0:2e:de:74:76,43.233346700668335
1575609794113,1.71,2019-12-06 05:23:11,2000.193,eth0,192.168.1.1,75:05:b1:0c:f8:5a,44.179529905319214
1575609788865,86.80,2019-12-06 05:21:41,2000.133,eth2,169.254.8.1,43:45:b8:5e:21:61,50.23160004615784
1575609788859,86.79,2019-12-06 05:21:40,2000.133,eth0,192.168.1.1,d1:8e:c4:a8:52:7a,50.24722075462341
1575609788875,87.54,2019-12-06 05:21:41,2000.133,lo,127.0.0.1,5d:7e:31:ac:b6:89,50.6102511882782
1575609791564,1.88,2019-12-06 05:23:09,2000.171,lo,127.0.0.1,87:f0:9c:c0:bf:cc,49.2420928478241
1575609791621,1.62,2019-12-06 05:23:09,2000.171,eth0,192.168.1.1,ef:10:fc:25:49:46,49.25628042221069
1575609791989,1.32,2019-12-06 05:23:10,2000.171,eth2,169.254.8.1,4f:81:e6:48:71:9e,49.04810905456543
1575609792143,2.19,2019-12-06 05:23:09,2000.158,eth2,169.254.8.1,c9:fa:b6:27:ac:4a,48.992478132247925
1575609792348,2.12,2019-12-06 05:23:10,2000.158,eth2,169.254.8.1,2d:23:52:73:7b:ee,48.87967896461487
1575609792983,2.83,2019-12-06 05:23:09,2000.182,eth1,169.254.8.130,2f:f3:68:f1:78:e5,48.40756344795227
1575609792853,1.68,2019-12-06 05:23:10,2000.158,eth2,169.254.8.1,ff:40:24:00:4f:b5,48.69230270385742
1575609791673,1.77,2019-12-06 05:23:09,2000.151,lo,127.0.0.1,5f:a6:1a:d8:33:c0,50.085914850234985
1575609791824,2.13,2019-12-06 05:23:09,2000.075,eth2,169.254.8.1,83:b1:12:41:12:b2,50.25173282623291
1575609791772,1.74,2019-12-06 05:23:09,2000.144,eth1,169.254.8.130,7b:88:d5:2f:4a:b3,50.54801869392395
1575609791637,1.87,2019-12-06 05:23:09,2000.151,eth0,192.168.1.1,2d:c2:2c:eb:00:b8,50.834834575653076
1575609793430,2.81,2019-12-06 05:23:10,2000.182,lo,127.0.0.1,9d:07:13:2c:a8:fe,49.058452129364014
1575609792126,1.50,2019-12-06 05:23:10,2000.144,eth0,192.168.1.1,eb:ed:95:9d:6a:73,50.512629985809326
1575609791857,1.47,2019-12-06 05:23:09,2000.144,eth2,169.254.8.1,31:55:cb:60:6f:46,50.80168175697327
1575609794199,2.37,2019-12-06 05:23:10,2000.182,eth0,192.168.1.1,f9:12:27:33:d1:f9,48.48788857460022
1575609792294,1.40,2019-12-06 05:23:10,2000.151,eth1,169.254.8.130,a1:a6:c6:09:e7:aa,50.44441890716553
1575609792552,2.22,2019-12-06 05:23:10,2000.173,eth0,192.168.1.1,f7:23:09:71:b3:56,50.238117694854736
1575609791712,2.02,2019-12-06 05:23:09,2000.075,eth0,192.168.1.1,8b:7c:4c:77:a0:e4,51.41727685928345
1575609792153,1.24,2019-12-06 05:23:10,2000.075,eth0,192.168.1.1,53:e7:7c:a5:8b:b9,51.00647473335266
1575609791537,1.61,2019-12-06 05:23:09,2000.18,lo,127.0.0.1,f9:91:89:45:ca:67,51.768848180770874
1575609792498,1.93,2019-12-06 05:23:10,2000.133,eth0,192.168.1.1,c3:fa:e2:7f:30:40,50.99620509147644
1575609791801,1.82,2019-12-06 05:23:09,2000.185,eth1,169.254.8.130,21:48:6c:4c:7d:bb,51.70744180679321
1575609791607,1.82,2019-12-06 05:23:09,2000.158,eth2,169.254.8.1,33:d3:c6:75:26:0e,51.91327214241028
1575609791994,1.44,2019-12-06 05:23:10,2000.185,eth2,169.254.8.1,e5:e9:4f:64:be:2a,51.534958362579346
1575609792190,1.11,2019-12-06 05:23:10,2000.18,eth0,192.168.1.1,01:7d:ee:bc:00:49,51.432666540145874
1575609793434,1.68,2019-12-06 05:23:11,2000.173,lo,127.0.0.1,4d:16:ad:a0:85:b8,50.22304844856262
1575609792533,2.47,2019-12-06 05:23:09,2000.185,eth0,192.168.1.1,9d:f7:6c:3f:a6:8e,51.136189699172974
1575609793017,2.13,2019-12-06 05:23:10,2000.173,lo,127.0.0.1,c7:60:74:d9:bb:67,50.67467975616455
1575609792357,1.11,2019-12-06 05:23:10,2000.185,lo,127.0.0.1,09:c2:5a:6a:4c:d1,51.358433961868286
1575609793134,1.99,2019-12-06 05:23:10,2000.185,eth1,169.254.8.130,e1:25:8d:20:59:07,50.80379128456116
1575609791598,1.94,2019-12-06 05:23:09,2000.078,lo,127.0.0.1,0f:a3:e2:61:29:81,52.378116846084595
1575609793076,1.79,2019-12-06 05:23:10,2000.165,eth2,169.254.8.1,df:78:c2:0e:8e:b7,50.94664144515991
1575609791559,1.87,2019-12-06 05:23:09,2000.078,eth0,192.168.1.1,83:44:1e:55:c9:a2,52.54599142074585
1575609792893,1.46,2019-12-06 05:23:09,2000.133,eth2,169.254.8.1,f7:9f:a1:f7:56:50,51.21895432472229
1575609792812,1.76,2019-12-06 05:23:10,2000.178,eth1,169.254.8.130,19:f6:43:2a:03:f8,51.315996408462524
1575609792774,2.18,2019-12-06 05:23:10,2000.178,eth0,192.168.1.1,2b:49:08:3e:72:e8,51.353742361068726
1575609792943,1.65,2019-12-06 05:23:10,2000.133,eth2,169.254.8.1,ad:a2:84:12:cd:5e,51.21472501754761
1575609791929,1.45,2019-12-06 05:23:09,2000.158,eth2,169.254.8.1,a3:3d:0e:9d:68:3c,52.23323631286621
1575609791632,2.06,2019-12-06 05:23:09,2000.175,eth1,169.254.8.130,8f:f6:58:44:5d:c9,52.624882221221924
1575609792719,2.20,2019-12-06 05:23:10,2000.178,lo,127.0.0.1,17:3f:91:f3:69:1b,51.5829758644104
1575609792578,2.42,2019-12-06 05:23:09,2000.178,eth2,169.254.8.1,0b:1e:20:31:74:ea,51.721540689468384
1575609792856,2.26,2019-12-06 05:23:09,2000.185,lo,127.0.0.1,81:5c:72:87:d0:f7,51.552907943725586
1575609792449,1.76,2019-12-06 05:23:10,2000.139,eth2,169.254.8.1,6d:9c:86:f9:2a:45,52.009669065475464
1575609792030,1.40,2019-12-06 05:23:10,2000.078,eth0,192.168.1.1,69:13:f5:ce:3e:cc,52.5855598449707
1575609792867,1.81,2019-12-06 05:23:10,2000.178,eth0,192.168.1.1,4d:1b:8f:41:3c:47,51.8745539188385
1575609792236,1.91,2019-12-06 05:23:10,2000.128,eth2,169.254.8.1,8b:b6:96:a0:a9:04,52.56324100494385
1575609792789,1.31,2019-12-06 05:23:10,2000.139,eth1,169.254.8.130,e1:64:3f:6d:49:6f,52.03529214859009
1575609793286,1.83,2019-12-06 05:23:11,2000.165,eth0,192.168.1.1,43:0f:67:25:d2:28,51.62076711654663
1575609792433,1.19,2019-12-06 05:23:10,2000.158,eth1,169.254.8.130,d1:7e:33:e4:73:35,52.52707076072693
1575609792778,1.66,2019-12-06 05:23:10,2000.178,eth2,169.254.8.1,41:77:d7:a2:91:44,52.23936653137207
1575609792588,2.38,2019-12-06 05:23:10,2000.173,eth0,192.168.1.1,f7:66:fd:76:ef:ae,52.448580265045166
1575609792431,2.58,2019-12-06 05:23:09,2000.173,eth2,169.254.8.1,db:94:00:06:fb:30,52.6205620765686
1575609792311,1.90,2019-12-06 05:23:09,2000.139,eth1,169.254.8.130,fb:21:59:7f:72:71,52.880895137786865
1575609793192,1.60,2019-12-06 05:23:10,2000.165,eth0,192.168.1.1,b1:26:f2:ba:fe:75,52.056429862976074
1575609792071,1.38,2019-12-06 05:23:10,2000.082,eth2,169.254.8.1,89:15:5c:e9:cf:05,53.1951687335968
1575609791852,1.95,2019-12-06 05:23:09,2000.082,eth1,169.254.8.130,1b:d8:6f:d6:4f:34,53.43912601470947
1575609792305,1.70,2019-12-06 05:23:10,2000.128,eth1,169.254.8.130,0b:8c:21:51:3a:f0,53.02759385108948
1575609793232,1.82,2019-12-06 05:23:10,2000.173,eth1,169.254.8.130,bd:56:5b:9f:b0:46,52.121219635009766
1575609791777,2.03,2019-12-06 05:23:09,2000.175,lo,127.0.0.1,c9:7c:0a:59:29:7e,53.58746290206909
1575609792332,1.51,2019-12-06 05:23:10,2000.175,eth2,169.254.8.1,75:5a:76:bf:74:a5,52.99724888801575
1575609791797,1.83,2019-12-06 05:23:09,2000.082,eth2,169.254.8.1,11:f1:11:b1:59:27,53.57107353210449
1575609792344,1.45,2019-12-06 05:23:10,2000.161,lo,127.0.0.1,61:a6:11:16:ca:da,53.07077693939209
1575609791943,2.29,2019-12-06 05:23:09,2000.171,eth0,192.168.1.1,c5:b1:a7:b4:a8:65,53.50076675415039
1575609792277,1.66,2019-12-06 05:23:10,2000.161,eth2,169.254.8.1,57:ab:f5:1c:ff:ed,53.20378065109253
1575609792464,2.20,2019-12-06 05:23:10,2000.16,eth2,169.254.8.1,ef:38:cb:93:a2:b8,53.13780903816223
1575609792592,1.21,2019-12-06 05:23:11,2000.161,lo,127.0.0.1,e3:ec:8f:18:84:07,53.10200119018555
1575609792543,2.43,2019-12-06 05:23:09,2000.154,eth0,192.168.1.1,77:75:65:09:e7:60,53.220049142837524
1575609792235,1.94,2019-12-06 05:23:10,2000.159,lo,127.0.0.1,47:30:4c:a1:68:3f,53.65511608123779
1575609792793,1.31,2019-12-06 05:23:10,2000.128,eth1,169.254.8.130,6b:3b:90:48:e2:33,53.17311143875122
1575609792133,2.24,2019-12-06 05:23:09,2000.08,eth1,169.254.8.130,19:5d:62:95:98:4d,54.04915380477905
1575609792538,1.48,2019-12-06 05:23:10,2000.159,eth2,169.254.8.1,a1:03:28:0b:61:34,53.69642925262451
1575609791820,1.82,2019-12-06 05:23:09,2000.183,lo,127.0.0.1,f7:34:46:97:22:33,54.456886768341064
1575609792460,1.59,2019-12-06 05:23:10,2000.159,eth0,192.168.1.1,0d:ee:89:fa:a0:21,53.885335206985474
1575609792621,1.85,2019-12-06 05:23:10,2000.16,eth2,169.254.8.1,cd:ee:dc:4f:ca:13,53.81211256980896
1575609792192,2.30,2019-12-06 05:23:09,2000.08,eth2,169.254.8.1,c1:37:0a:cd:a8:3d,54.292086601257324
