In,Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Total Time,Exec Time
Both,1575695276652,6.76,2019-12-07 05:07:55,2000.167,eth1,169.254.8.130,b7:46:fc:1b:64:ec,1,22.014156103134155,16.012069702148438
Both,1575695276707,6.73,2019-12-07 05:07:55,2000.167,lo,127.0.0.1,19:58:e4:93:eb:65,1,22.302316427230835,16.29880952835083
Both,1575695276602,6.67,2019-12-07 05:07:55,2000.167,eth0,192.168.1.1,4b:54:ca:68:16:3f,1,23.624654054641724,17.622729539871216
Both,1575695265933,82.27,2019-12-07 05:06:29,2000.176,eth0,192.168.1.1,c3:cf:21:a1:4b:2c,1,36.62113881111145,30.620208740234375
Both,1575695267254,6.72,2019-12-07 05:07:46,2000.163,eth2,169.254.8.1,a7:e7:53:34:6f:91,1,37.441088914871216,31.43952512741089
Both,1575695267140,6.81,2019-12-07 05:07:46,2000.176,eth1,169.254.8.130,2b:69:28:fe:07:34,1,38.05521607398987,32.0536892414093
Both,1575695267140,6.80,2019-12-07 05:07:46,2000.176,eth1,169.254.8.130,cd:bc:cd:cf:2e:c5,1,38.07717275619507,32.07556200027466
Both,1575695266980,6.69,2019-12-07 05:07:46,2000.163,eth1,169.254.8.130,43:85:8d:fa:b0:09,1,38.697824239730835,32.696290493011475
Both,1575695267460,6.65,2019-12-07 05:07:46,2000.163,eth2,169.254.8.1,57:30:05:6a:19:cb,1,38.84525275230408,32.84382390975952
Both,1575695266183,6.75,2019-12-07 05:07:45,2000.151,lo,127.0.0.1,af:c2:4a:9d:9d:40,1,40.085166692733765,34.083595275878906
Both,1575695266137,6.77,2019-12-07 05:07:45,2000.151,lo,127.0.0.1,05:ad:b4:ef:d8:31,1,40.46852111816406,34.4668505191803
Both,1575695266658,6.72,2019-12-07 05:07:45,2000.151,eth2,169.254.8.1,89:24:76:5e:ba:39,1,40.18243455886841,34.180880069732666
Both,1575695276480,6.79,2019-12-07 05:07:55,2000.169,eth1,169.254.8.130,63:ea:63:74:d8:48,1,34.377662658691406,28.37612295150757
Both,1575695276400,6.70,2019-12-07 05:07:55,2000.169,eth2,169.254.8.1,61:65:ec:26:96:b6,1,34.95643877983093,28.954992532730103
Both,1575695276441,6.77,2019-12-07 05:07:55,2000.173,eth1,169.254.8.130,ad:36:d2:c4:7c:40,1,36.939579486846924,30.938005924224854
Both,1575695277203,6.77,2019-12-07 05:07:56,2000.16,lo,127.0.0.1,5f:03:66:0d:a7:ad,1,36.27152466773987,30.27002215385437
Both,1575695277853,6.68,2019-12-07 05:07:56,2000.166,eth2,169.254.8.1,f3:55:a2:0a:46:92,1,36.068538665771484,30.066784620285034
Both,1575695276509,6.82,2019-12-07 05:07:55,2000.159,eth2,169.254.8.1,ad:0f:b9:59:3f:38,1,37.41731357574463,31.415826559066772
Both,1575695276219,6.68,2019-12-07 05:07:55,2000.163,eth2,169.254.8.1,fb:0a:c3:cb:11:f9,1,37.87828063964844,31.87658381462097
Both,1575695276370,6.71,2019-12-07 05:07:55,2000.156,eth1,169.254.8.130,b7:7a:f9:f5:4c:60,1,37.739795446395874,31.73836064338684
Both,1575695276374,6.75,2019-12-07 05:07:55,2000.144,eth2,169.254.8.1,e7:3a:4f:d0:44:06,1,37.79206299781799,31.790557384490967
Both,1575695276229,6.74,2019-12-07 05:07:55,2000.179,eth2,169.254.8.1,05:8c:d4:66:f0:36,1,38.10994863510132,32.10852575302124
Both,1575695277091,6.77,2019-12-07 05:07:56,2000.168,lo,127.0.0.1,5d:96:c6:a5:ac:ea,1,37.48690128326416,31.48523497581482
Both,1575695277338,6.69,2019-12-07 05:07:56,2000.151,eth0,192.168.1.1,e1:0b:0e:40:7f:01,1,37.247976303100586,31.24641227722168
Both,1575695277284,6.76,2019-12-07 05:07:56,2000.159,eth1,169.254.8.130,31:6a:a5:8e:f7:78,1,37.33221435546875,31.33077311515808
Both,1575695277096,6.78,2019-12-07 05:07:56,2000.159,lo,127.0.0.1,9f:35:1c:56:35:68,1,37.51720213890076,31.51540446281433
Both,1575695276293,6.74,2019-12-07 05:07:55,2000.174,lo,127.0.0.1,a1:b2:69:f3:5f:a2,1,38.38836312294006,32.38685846328735
Both,1575695276809,6.81,2019-12-07 05:07:55,2000.144,eth2,169.254.8.1,df:24:57:07:c7:01,1,37.87461733818054,31.873209714889526
Both,1575695276183,6.68,2019-12-07 05:07:55,2000.159,eth1,169.254.8.130,af:34:da:49:76:6f,1,38.52713656425476,32.52552270889282
Both,1575695277056,6.67,2019-12-07 05:07:56,2000.169,eth1,169.254.8.130,d5:80:d8:82:c3:f2,1,37.70257496833801,31.701040506362915
Both,1575695276589,7.09,2019-12-07 05:07:55,2000.178,eth1,169.254.8.130,91:20:4b:7b:d0:4b,1,38.170056104660034,32.16832756996155
Both,1575695277513,6.67,2019-12-07 05:07:56,2000.151,lo,127.0.0.1,fd:01:5e:c7:03:82,1,37.287243127822876,31.2857506275177
