In,Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Total Time,Exec Time
Both,1575692141963,7.03,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,9b:10:63:fc:57:97,0,23.503251314163208,17.501235485076904
Both,1575692141980,7.52,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,65:47:cf:10:8e:1c,0,23.6974093914032,17.6955304145813
Both,1575692142053,6.93,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,cf:4e:f3:a7:74:bf,0,23.628944396972656,17.62701439857483
Both,1575692142669,6.99,2019-12-07 04:15:40,2299.999,lo,127.0.0.1,a1:5a:f8:36:8b:1e,0,23.061327934265137,17.059296369552612
Both,1575692142140,6.93,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,4d:eb:d4:64:c1:81,0,24.10743761062622,18.105106115341187
Both,1575692142980,7.18,2019-12-07 04:15:41,2300.0,eth2,169.254.8.1,eb:bc:65:72:2f:13,0,23.676072597503662,17.673898220062256
Both,1575692141803,7.34,2019-12-07 04:15:40,2300.0,lo,127.0.0.1,1b:4a:fc:c8:a6:91,0,25.188732385635376,19.18659806251526
Both,1575692141846,7.71,2019-12-07 04:15:40,2499.999,eth0,192.168.1.1,33:2d:05:e7:d1:95,0,25.212557077407837,19.210530519485474
Both,1575692141798,7.41,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,3d:0d:37:9b:13:48,0,25.36066484451294,19.358248949050903
Both,1575692142293,7.09,2019-12-07 04:15:40,2300.0,eth1,169.254.8.130,43:95:9b:0a:b8:39,0,25.59381127357483,19.591604948043823
Both,1575692143526,7.13,2019-12-07 04:15:41,2300.0,eth1,169.254.8.130,35:29:0e:1b:f9:f9,0,24.714425086975098,18.712027072906494
Both,1575692141938,7.35,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,b3:b1:6a:6c:81:94,0,26.324821949005127,20.322964429855347
Both,1575692142052,7.39,2019-12-07 04:15:40,2300.0,eth0,192.168.1.1,31:93:d2:89:19:e3,0,26.345038652420044,20.342900276184082
Both,1575692142026,7.33,2019-12-07 04:15:40,2499.999,eth0,192.168.1.1,2f:d0:ab:7f:ad:ea,0,26.40377950668335,20.401611328125
Both,1575692143485,7.40,2019-12-07 04:15:41,2300.0,lo,127.0.0.1,7f:fe:77:db:46:5d,0,25.542322635650635,19.540433406829834
Both,1575692142557,7.42,2019-12-07 04:15:40,2300.0,lo,127.0.0.1,d7:c4:18:e8:3c:81,0,26.79230499267578,20.790364503860474
Both,1575692142497,7.86,2019-12-07 04:15:40,2300.0,eth0,192.168.1.1,db:ed:0c:bb:58:a5,0,26.96128821372986,20.95937752723694
Both,1575692142981,7.38,2019-12-07 04:15:41,2300.0,lo,127.0.0.1,ab:10:0a:a8:ed:3d,0,26.893890619277954,20.891928911209106
Both,1575692142510,7.28,2019-12-07 04:15:41,2300.0,eth2,169.254.8.1,85:7d:4c:62:34:e2,0,27.37421703338623,21.372051000595093
Both,1575692142790,7.58,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,9d:bd:62:07:8c:6a,0,27.10476279258728,21.102837562561035
Both,1575692142491,7.04,2019-12-07 04:15:40,2300.0,eth1,169.254.8.130,8d:e1:9a:5a:5c:e9,0,27.557514905929565,21.554921865463257
Both,1575692142929,7.72,2019-12-07 04:15:41,2300.0,eth1,169.254.8.130,df:4a:36:fe:db:d0,0,27.215836763381958,21.214134693145752
Both,1575692142555,7.69,2019-12-07 04:15:40,2300.0,eth1,169.254.8.130,9b:d8:05:78:b8:ab,0,27.86270785331726,21.860604286193848
Both,1575692142626,7.65,2019-12-07 04:15:40,2300.0,lo,127.0.0.1,0d:60:73:c0:6d:cf,0,28.087164402008057,22.085026025772095
Both,1575692142878,7.18,2019-12-07 04:15:41,2300.0,eth2,169.254.8.1,d7:7e:c4:48:98:db,0,27.886048555374146,21.882312774658203
Both,1575692142794,7.69,2019-12-07 04:15:40,2300.0,lo,127.0.0.1,cf:29:c3:fd:b1:af,0,28.33305263519287,22.33082890510559
Both,1575692142684,7.80,2019-12-07 04:15:40,2299.999,eth0,192.168.1.1,1d:04:63:f9:8b:d9,0,28.459965705871582,22.457532167434692
Both,1575692142502,7.12,2019-12-07 04:15:41,2299.999,eth0,192.168.1.1,69:65:6b:da:a6:93,0,28.792689561843872,22.79068899154663
Both,1575692142741,7.84,2019-12-07 04:15:40,2299.999,eth2,169.254.8.1,a3:4c:fe:36:43:e5,0,28.837114572525024,22.835251092910767
Both,1575692142454,7.26,2019-12-07 04:15:41,2300.0,eth1,169.254.8.130,1f:0f:22:69:96:d5,0,29.132503032684326,23.130728483200073
Both,1575692142463,7.49,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,f3:12:6a:ef:c6:10,0,29.581650495529175,23.578794240951538
Both,1575692143127,7.22,2019-12-07 04:15:41,2299.999,eth2,169.254.8.1,fb:85:c9:0c:5e:13,0,28.964282035827637,22.960855960845947
Both,1575692142318,7.64,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,4d:7e:2f:af:25:c9,0,29.857250928878784,23.855344772338867
Both,1575692143334,7.37,2019-12-07 04:15:41,2300.0,eth0,192.168.1.1,e9:36:98:2e:14:77,0,29.128715991973877,23.12274193763733
Both,1575692142834,7.38,2019-12-07 04:15:41,2300.0,eth0,192.168.1.1,4b:ec:0f:1b:84:47,0,30.179402828216553,24.1772723197937
Both,1575692142832,8.07,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,3b:7f:be:40:eb:22,0,30.226585149765015,24.21947193145752
Both,1575692143111,7.58,2019-12-07 04:15:41,2300.0,eth0,192.168.1.1,09:20:0d:17:a9:f4,0,30.06533122062683,24.0625958442688
