In,Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Total Time,Exec Time
Both,1575694365862,6.99,2019-12-07 04:52:44,2300.0,eth1,169.254.8.130,f1:2d:18:d0:51:83,0,7.853699207305908,1.8518266677856445
Both,1575694366015,7.14,2019-12-07 04:52:44,2300.0,eth2,169.254.8.1,c9:c7:da:6a:13:de,0,7.939736604690552,1.9376835823059082
Both,1575694365961,7.40,2019-12-07 04:52:44,2300.0,eth1,169.254.8.130,b7:64:5b:00:2f:9c,0,8.050740718841553,2.048907995223999
Both,1575694366129,7.32,2019-12-07 04:52:44,2300.0,lo,127.0.0.1,d5:7b:a3:e8:af:e6,0,7.986205816268921,1.9822514057159424
Both,1575694366157,7.33,2019-12-07 04:52:44,2299.999,eth2,169.254.8.1,43:d6:c8:97:08:49,0,8.088396310806274,2.0866804122924805
Both,1575694366341,6.94,2019-12-07 04:52:45,2300.0,eth2,169.254.8.1,4d:ad:54:1e:92:a4,0,7.9465651512146,1.944854497909546
Both,1575694366150,7.29,2019-12-07 04:52:44,2299.999,eth2,169.254.8.1,e1:da:7c:9a:5c:7d,0,8.20294737815857,2.200732946395874
Both,1575694366406,7.01,2019-12-07 04:52:45,2299.999,eth0,192.168.1.1,37:18:fb:7b:f4:a3,0,8.086841821670532,2.085007429122925
Both,1575694366259,7.46,2019-12-07 04:52:44,2299.999,eth0,192.168.1.1,19:93:ef:17:1d:9f,0,8.25989556312561,2.257957696914673
Both,1575694366502,7.99,2019-12-07 04:52:44,2299.999,lo,127.0.0.1,eb:c4:0e:b3:f5:da,0,8.086632490158081,2.0840208530426025
Both,1575694366567,7.07,2019-12-07 04:52:45,2299.999,eth2,169.254.8.1,fd:a5:b3:47:ea:bf,0,8.054039716720581,2.051586627960205
Both,1575694366801,7.18,2019-12-07 04:52:45,2300.0,eth2,169.254.8.1,3b:fc:a3:c7:1f:7c,0,7.846416234970093,1.844397783279419
Both,1575694366418,7.39,2019-12-07 04:52:44,2299.999,eth0,192.168.1.1,f3:bd:1e:c4:c9:0b,0,8.24699354171753,2.2450881004333496
Both,1575694366534,7.82,2019-12-07 04:52:44,2299.999,eth2,169.254.8.1,a9:21:af:33:1c:bd,0,8.156603336334229,2.154053211212158
Both,1575694366492,7.65,2019-12-07 04:52:44,2499.999,eth2,169.254.8.1,57:50:29:e0:e9:7d,0,8.314306497573853,2.3117971420288086
Both,1575694366838,7.57,2019-12-07 04:52:45,2299.999,eth1,169.254.8.130,7d:6d:c9:22:a7:88,0,8.018167495727539,2.016355276107788
Both,1575694366884,7.14,2019-12-07 04:52:45,2299.999,eth2,169.254.8.1,89:3b:a6:03:ea:fe,0,8.006966590881348,2.003037214279175
Both,1575694366531,7.61,2019-12-07 04:52:44,2499.999,eth2,169.254.8.1,e7:de:50:5b:e1:67,0,8.430628299713135,2.4277358055114746
Both,1575694366680,7.68,2019-12-07 04:52:44,2300.0,eth0,192.168.1.1,53:8f:0e:73:2e:c7,0,8.367994546890259,2.3660311698913574
