In,Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Total Time,Exec Time
Both,1575695910596,92.45,2019-12-07 05:17:03,2299.999,eth2,169.254.8.1,3d:b6:5f:d0:11:38,0,23.402892589569092,17.40174412727356
Both,1575695912196,7.08,2019-12-07 05:18:31,2300.0,lo,127.0.0.1,f9:17:c2:d8:44:6b,0,22.989903926849365,16.9877986907959
Both,1575695911809,6.84,2019-12-07 05:18:30,2299.999,eth0,192.168.1.1,6b:59:4c:56:0e:b7,0,23.4557044506073,17.45392107963562
Both,1575695912142,6.80,2019-12-07 05:18:30,2299.999,lo,127.0.0.1,77:80:31:af:b6:b1,0,23.323881149291992,17.32218909263611
Both,1575695912267,7.16,2019-12-07 05:18:31,2300.0,eth2,169.254.8.1,33:2a:cf:35:c5:e0,0,23.322482585906982,17.320335149765015
Both,1575695912584,7.03,2019-12-07 05:18:31,2300.0,eth2,169.254.8.1,9d:76:e4:88:f8:d6,0,23.230778694152832,17.22879981994629
Both,1575695921332,6.76,2019-12-07 05:18:40,2300.0,eth0,192.168.1.1,0d:f3:27:76:67:a7,0,22.554179906845093,16.552478551864624
Both,1575695921412,6.79,2019-12-07 05:18:40,2300.0,eth2,169.254.8.1,45:e4:9a:13:84:aa,0,22.724873542785645,16.723132133483887
Both,1575695921798,6.76,2019-12-07 05:18:41,2300.0,lo,127.0.0.1,6b:f3:d2:af:46:c9,0,22.620421171188354,16.613975048065186
Both,1575695921529,6.96,2019-12-07 05:18:40,2299.999,eth2,169.254.8.1,7f:af:19:eb:8f:73,0,23.02077603340149,17.0188627243042
Both,1575695921810,6.79,2019-12-07 05:18:40,2300.0,eth2,169.254.8.1,fb:e0:e0:77:fb:04,0,22.87339210510254,16.87127923965454
Both,1575695921628,7.06,2019-12-07 05:18:40,2299.999,eth2,169.254.8.1,97:6f:f5:9e:20:cd,0,23.126633882522583,17.124808073043823
Both,1575695921835,6.86,2019-12-07 05:18:40,2299.999,eth0,192.168.1.1,81:b9:11:42:87:68,0,22.97404718399048,16.972208976745605
Both,1575695921902,6.73,2019-12-07 05:18:40,2300.0,eth2,169.254.8.1,17:b6:ff:1d:70:66,0,22.955825805664062,16.954183340072632
Both,1575695922305,7.11,2019-12-07 05:18:41,2300.0,lo,127.0.0.1,35:e5:58:20:30:dc,0,22.585641145706177,16.583678007125854
Both,1575695922257,7.06,2019-12-07 05:18:41,2300.0,lo,127.0.0.1,a9:7d:e7:de:7c:95,0,22.64143133163452,16.638986110687256
Both,1575695922075,6.66,2019-12-07 05:18:41,2300.0,lo,127.0.0.1,27:71:63:a9:91:c8,0,22.926565647125244,16.924901008605957
Both,1575695922785,6.98,2019-12-07 05:18:41,2300.0,eth2,169.254.8.1,4d:b8:27:7e:a0:a1,0,22.553675174713135,16.551846027374268
Both,1575695921622,7.05,2019-12-07 05:18:40,2299.999,eth0,192.168.1.1,ef:af:83:8b:88:2d,0,23.70166778564453,17.69989776611328
Both,1575695921706,7.07,2019-12-07 05:18:40,2299.999,eth1,169.254.8.130,b5:db:e8:ef:58:05,0,23.796145915985107,17.794008255004883
Both,1575695922310,6.90,2019-12-07 05:18:41,2299.999,lo,127.0.0.1,cf:98:b5:a3:43:33,0,23.95687222480774,17.95512294769287
Both,1575695922147,7.50,2019-12-07 05:18:40,2300.0,lo,127.0.0.1,2f:9b:65:42:97:c0,0,28.851820468902588,22.848785400390625
Both,1575695922638,7.14,2019-12-07 05:18:41,2300.0,lo,127.0.0.1,a5:ea:8c:84:4a:54,0,29.169321298599243,23.166245222091675
Both,1575695922752,7.01,2019-12-07 05:18:41,2300.0,eth1,169.254.8.130,d3:37:da:21:fe:09,0,29.555124044418335,23.553297996520996
Both,1575695934006,115.86,2019-12-07 05:17:03,2299.999,lo,127.0.0.1,3d:b6:5f:d0:11:38,0,23.85709834098816,17.856075048446655
Both,1575695935197,30.08,2019-12-07 05:18:31,2300.0,eth2,169.254.8.1,f9:17:c2:d8:44:6b,0,22.976823568344116,16.97491216659546
Both,1575695935275,30.31,2019-12-07 05:18:30,2299.999,eth0,192.168.1.1,6b:59:4c:56:0e:b7,0,23.261310815811157,17.260265111923218
Both,1575695935598,30.49,2019-12-07 05:18:31,2300.0,lo,127.0.0.1,33:2a:cf:35:c5:e0,0,23.3798246383667,17.378812313079834
Both,1575695935475,30.13,2019-12-07 05:18:30,2299.999,eth1,169.254.8.130,77:80:31:af:b6:b1,0,23.567934274673462,17.566225051879883
Both,1575695941281,35.72,2019-12-07 05:18:31,2300.0,lo,127.0.0.1,9d:76:e4:88:f8:d6,0,23.409095525741577,17.40789771080017
Both,1575695943897,29.33,2019-12-07 05:18:40,2300.0,eth2,169.254.8.1,0d:f3:27:76:67:a7,0,22.61015009880066,16.609265089035034
Both,1575695944145,29.52,2019-12-07 05:18:40,2300.0,eth2,169.254.8.1,45:e4:9a:13:84:aa,0,22.673065662384033,16.672171592712402
Both,1575695944426,29.38,2019-12-07 05:18:41,2300.0,eth0,192.168.1.1,6b:f3:d2:af:46:c9,0,22.63613510131836,16.635260581970215
Both,1575695944691,29.67,2019-12-07 05:18:40,2300.0,lo,127.0.0.1,fb:e0:e0:77:fb:04,0,22.747161149978638,16.746279001235962
