Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Rdseed Latency,Rdrand Latency,Contention Rdseed Latency,Contention Rdrand Latency,Total Latency
1575696046688,1.36,2019-12-07 05:20:45,2300.0,eth0,192.168.1.1,1d:92:61:95:15:1c,0,0,5.349445343017578e-06,0,7.811355590820312e-06,2.4619102478027336e-06
1575696046669,1.23,2019-12-07 05:20:45,2300.0,eth1,169.254.8.130,d7:a2:c9:53:5d:79,0,0,4.941463470458984e-06,0,8.717823028564452e-06,3.7763595581054683e-06
1575696047004,1.14,2019-12-07 05:20:45,2300.0,lo,127.0.0.1,11:64:38:64:6c:ca,0,0,5.265569686889648e-06,0,7.744693756103516e-06,2.479124069213868e-06
1575696044925,391.82,2019-12-07 05:14:12,2000.176,eth1,169.254.8.130,59:9e:18:1c:a3:b8,1,3.129749298095703e-05,0,1.4275884628295899e-05,0,-1.7021608352661133e-05
1575696046430,0.99,2019-12-07 05:20:45,2000.176,eth0,192.168.1.1,87:6f:93:21:db:bb,1,1.0902595520019531e-05,0,1.1449861526489258e-05,0,5.472660064697267e-07
1575696046445,1.00,2019-12-07 05:20:45,2000.176,lo,127.0.0.1,0d:ae:f4:78:6b:62,1,1.0754919052124024e-05,0,1.1621856689453126e-05,0,8.669376373291021e-07
1575696044928,133.62,2019-12-07 05:18:30,2000.191,eth2,169.254.8.1,09:ca:fa:1f:64:2e,1,1.1776208877563477e-05,0,1.0953330993652344e-05,0,-8.228778839111327e-07
1575696044940,123.85,2019-12-07 05:18:40,2000.176,eth0,192.168.1.1,c9:a0:b1:db:11:fc,1,1.690020561218262e-05,0,1.1604595184326172e-05,0,-5.2956104278564464e-06
1575696045029,391.86,2019-12-07 05:14:13,2000.191,eth0,192.168.1.1,df:6c:33:5f:ac:b8,1,1.898832321166992e-05,0,1.1064815521240234e-05,0,-7.923507690429686e-06
1575696044929,392.63,2019-12-07 05:14:12,2000.191,eth2,169.254.8.1,3f:fe:08:6e:98:a5,1,1.287846565246582e-05,0,1.1309576034545899e-05,0,-1.5688896179199212e-06
1575696046630,0.76,2019-12-07 05:20:45,2000.162,eth1,169.254.8.130,cf:27:fb:f5:ce:12,1,1.1416149139404298e-05,0,1.1963081359863281e-05,0,5.469322204589836e-07
1575696046620,0.94,2019-12-07 05:20:45,2000.191,eth2,169.254.8.1,a7:6e:af:c7:a5:0a,1,1.10992431640625e-05,0,1.139998435974121e-05,0,3.007411956787097e-07
1575696046670,0.82,2019-12-07 05:20:45,2000.191,lo,127.0.0.1,cd:e9:ff:90:57:58,1,1.1271810531616211e-05,0,1.0993766784667968e-05,0,-2.78043746948243e-07
1575696046563,1.00,2019-12-07 05:20:45,2000.162,eth2,169.254.8.1,45:73:9b:bf:1c:63,1,1.1746501922607422e-05,0,1.2854814529418946e-05,0,1.1083126068115239e-06
1575696044925,391.59,2019-12-07 05:14:13,2000.176,eth1,169.254.8.130,fd:07:49:3c:27:e4,1,4.363832473754883e-05,0,1.9216585159301758e-05,0,-2.442173957824707e-05
1575696046916,0.92,2019-12-07 05:20:45,2000.191,eth1,169.254.8.130,25:2f:a6:de:f7:20,1,1.1152172088623046e-05,0,1.1276054382324219e-05,0,1.2388229370117284e-07
1575696047004,0.90,2019-12-07 05:20:45,2000.176,eth2,169.254.8.1,69:f1:6a:2a:03:22,1,1.0785818099975585e-05,0,1.1414194107055664e-05,0,6.28376007080079e-07
1575696047068,0.94,2019-12-07 05:20:45,2000.162,eth1,169.254.8.130,15:52:46:9e:f6:97,1,1.1508989334106445e-05,0,1.2281847000122071e-05,0,7.728576660156263e-07
1575696044960,123.79,2019-12-07 05:18:41,2000.162,eth2,169.254.8.1,db:4d:06:41:55:48,1,1.2346076965332031e-05,0,1.2650728225708008e-05,0,3.0465126037597636e-07
1575696044962,402.70,2019-12-07 05:14:02,2000.162,eth2,169.254.8.1,5b:9c:4b:e3:ea:59,1,1.6412162780761718e-05,0,3.1202030181884766e-05,0,1.4789867401123049e-05
1575696044961,463.02,2019-12-07 05:13:01,2000.162,eth0,192.168.1.1,33:05:12:88:d0:30,1,1.835808753967285e-05,0,2.4772071838378907e-05,0,6.4139842987060565e-06
