Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Rdseed Latency,Rdrand Latency,Contention Rdseed Latency,Contention Rdrand Latency,Total Latency
1575694734108,1.58,2019-12-07 04:58:52,2300.0,lo,127.0.0.1,27:92:b5:0b:c3:f1,0,0,9.395647048950195e-06,0,5.337333679199218e-06,-4.058313369750977e-06
1575694734137,1.49,2019-12-07 04:58:52,2300.0,eth2,169.254.8.1,bf:95:c5:6f:c4:a7,0,0,1.0035228729248047e-05,0,5.20939826965332e-06,-4.825830459594727e-06
1575694734237,1.64,2019-12-07 04:58:52,2300.0,eth0,192.168.1.1,c7:cb:93:7f:65:0a,0,0,5.166101455688476e-06,0,6.499433517456055e-06,1.3333320617675785e-06
1575694734376,1.28,2019-12-07 04:58:53,2300.0,eth0,192.168.1.1,43:a9:bf:8d:c4:71,0,0,7.522869110107422e-06,0,5.297374725341797e-06,-2.2254943847656247e-06
1575694734138,1.26,2019-12-07 04:58:52,2300.0,eth2,169.254.8.1,e3:69:04:5b:bf:37,0,0,4.91633415222168e-06,0,6.184530258178711e-06,1.2681961059570318e-06
1575694734300,1.62,2019-12-07 04:58:52,2300.0,eth0,192.168.1.1,19:91:bb:10:d0:c6,0,0,5.3886890411376955e-06,0,6.748342514038086e-06,1.3596534729003906e-06
1575694734679,1.66,2019-12-07 04:58:52,2300.0,eth1,169.254.8.130,f5:22:09:16:67:25,0,0,5.167531967163086e-06,0,5.780172348022461e-06,6.126403808593753e-07
1575694734602,1.70,2019-12-07 04:58:52,2299.999,lo,127.0.0.1,b9:86:6b:16:f5:e3,0,0,6.058597564697266e-06,0,5.54962158203125e-06,-5.089759826660153e-07
1575694734982,1.12,2019-12-07 04:58:53,2300.0,eth2,169.254.8.1,2f:b9:80:99:e9:3b,0,0,6.277227401733399e-06,0,9.954118728637695e-06,3.676891326904296e-06
1575694734811,1.36,2019-12-07 04:58:53,2300.0,eth2,169.254.8.1,77:b4:34:8f:5b:b5,0,0,5.217647552490234e-06,0,6.6608428955078124e-06,1.4431953430175782e-06
1575694734703,1.93,2019-12-07 04:58:52,2299.999,lo,127.0.0.1,11:78:81:65:cf:61,0,0,6.466436386108398e-06,0,9.92741584777832e-06,3.4609794616699212e-06
1575694734927,1.72,2019-12-07 04:58:52,2299.999,eth1,169.254.8.130,e3:d7:1b:42:47:e8,0,0,5.772352218627929e-06,0,7.292509078979492e-06,1.5201568603515628e-06
1575694734694,1.85,2019-12-07 04:58:52,2299.999,eth1,169.254.8.130,a1:01:bf:80:15:37,0,0,5.878257751464844e-06,0,1.0215282440185546e-05,4.337024688720702e-06
1575694734975,1.19,2019-12-07 04:58:52,2300.0,eth0,192.168.1.1,cd:18:dc:cd:26:9b,0,0,5.456876754760742e-06,0,6.350946426391601e-06,8.940696716308594e-07
1575694735225,2.07,2019-12-07 04:58:52,2300.0,eth1,169.254.8.130,b9:93:74:a0:72:69,0,0,5.710983276367188e-06,0,1.0130834579467773e-05,4.419851303100585e-06
1575694735493,1.76,2019-12-07 04:58:53,2299.999,eth2,169.254.8.1,e3:a4:72:95:ae:2a,0,0,5.68385124206543e-06,0,7.2426319122314455e-06,1.5587806701660157e-06
1575694735079,1.26,2019-12-07 04:58:53,2299.999,lo,127.0.0.1,bf:f5:29:24:e5:78,0,0,6.721019744873047e-06,0,8.501291275024413e-06,1.780271530151366e-06
1575694735459,1.72,2019-12-07 04:58:53,2300.0,eth0,192.168.1.1,eb:a4:48:92:1b:59,0,0,5.640888214111328e-06,0,8.535003662109375e-06,2.894115447998047e-06
1575694735426,1.68,2019-12-07 04:58:53,2300.0,eth1,169.254.8.130,3b:83:ff:f0:e0:f0,0,0,5.481958389282226e-06,0,1.20513916015625e-05,6.569433212280273e-06
1575694735358,1.53,2019-12-07 04:58:53,2299.999,eth2,169.254.8.1,7b:84:63:66:29:fc,0,0,5.855560302734375e-06,0,6.230974197387695e-06,3.7541389465332037e-07
1575694735679,1.63,2019-12-07 04:58:53,2299.999,eth1,169.254.8.130,b5:bc:d0:6a:77:d8,0,0,5.638360977172852e-06,0,8.559799194335938e-06,2.9214382171630857e-06
1575694734168,1.63,2019-12-07 04:58:52,2000.149,eth2,169.254.8.1,1b:54:46:1a:d1:fd,1,1.3013410568237305e-05,0,1.1504364013671875e-05,0,-1.5090465545654296e-06
1575694735969,1.16,2019-12-07 04:58:53,2299.999,eth2,169.254.8.1,9f:d8:97:18:b1:65,0,0,5.858373641967773e-06,0,8.259105682373046e-06,2.400732040405273e-06
1575694734323,1.37,2019-12-07 04:58:52,2000.171,eth1,169.254.8.130,4b:f7:22:69:45:66,1,1.2095022201538087e-05,0,1.4169597625732423e-05,0,2.074575424194336e-06
1575694734586,1.52,2019-12-07 04:58:52,2300.0,eth0,192.168.1.1,7d:af:e2:69:6a:04,0,0,1.804699897766113e-05,0,8.440256118774415e-06,-9.606742858886717e-06
