Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-10 02:50:18,2019-12-10 02:50:33,4072,53334,4065,106764,7,1198,9d45253b-901f-4470-9c53-8fa11defdca4,DA:BB:98:2C:96:CD,a3505cee-dbaa-4457-9e76-c1eb55c61c3d
sampler,2019-12-10 02:50:18,2019-12-10 02:50:33,4145,66272,4057,43232,88,1198,88d29290-b22c-4478-8f83-ef34895a603a,F2:61:FD:D9:43:BB,c13a5cda-a235-4003-b3a3-59d0b61ebae2
sampler,2019-12-10 02:50:18,2019-12-10 02:50:33,4449,111164,4408,53396,41,1198,8e1f7a5a-6935-44b5-ba52-76e4e2023d7b,16:66:A6:E1:27:BA,54c755a2-cc19-4397-be2e-741961d6e201
sampler,2019-12-10 02:50:18,2019-12-10 02:50:33,4092,44848,5533,72996,1441,1198,ca972e37-1dc5-40b1-8601-8867785aa96c,5E:48:00:73:1F:D0,b8d3561f-3dee-4464-b8db-705632f592df
sampler,2019-12-10 02:50:18,2019-12-10 02:50:33,4346,86036,5974,74660,1628,1198,6d3cfe9a-495f-4228-84e0-a85d5c2f07d6,5A:48:D7:72:49:E4,50dd149b-8a20-4ed6-b8d4-52c88cdd87f3
sampler,2019-12-10 02:50:18,2019-12-10 02:50:33,4094,85010,5784,182580,1690,1198,49412991-bdee-4bda-a23a-755ad4e83ec5,1E:43:C2:DB:CB:EA,1a11f25f-6187-4311-ac96-7977d6be3630
sampler,2019-12-10 02:50:18,2019-12-10 02:50:33,3924,38632,4051,41394,127,1198,8bbf1edc-72c0-43c1-a44d-e20d6d1b5644,1E:22:EA:B3:2B:E7,b260d8eb-f795-4341-8269-704bb99545c6
sampler,2019-12-10 02:50:18,2019-12-10 02:50:33,4059,83764,5927,662986,1868,1198,7b0fafbc-ded2-4ad1-aef2-6834be95f1e4,8E:36:09:D2:31:BE,afdca96d-74df-4ad8-9835-5e503758c1ac
sampler,2019-12-10 02:50:18,2019-12-10 02:50:33,4274,72576,4059,38824,215,1198,c803312b-eb3c-4db5-8de9-7873659f056f,82:98:29:2B:62:B2,2dbbf0a8-25c0-4c6b-be59-e10d14eb4e53
sampler,2019-12-10 02:50:18,2019-12-10 02:50:33,4213,38968,6648,177822,2435,1198,d442f7d4-4d37-451c-a70d-0b3003428a73,5E:35:1F:C0:9E:90,34484da5-c336-40ef-8291-63f518c25f43
