Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,4403,145056,4173,81794,230,1198,ef90a521-2932-44b8-acfb-66642c2fb2b8,0E:4A:C4:00:28:31,60581ee8-dcea-46be-9f10-6a23355e4a08
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,4115,68930,4156,54158,41,1198,93bfd64a-745a-40fe-9cf8-678e64952034,36:36:FE:35:57:DB,4dd05fad-65c2-4198-b638-58878d1fc073
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,3863,72514,3993,82190,130,1198,548ef08c-d30c-4390-947f-8ac0a4b6c720,5A:AA:82:C8:77:DE,ebf5c4e1-ffab-4d26-9d72-4e44f8375a91
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,4086,41050,4355,39290,269,1198,fc460269-8a4d-4af0-8bde-0c708f38e3fc,EA:50:AA:25:F9:06,59a589d6-a12a-47be-933e-f817cde834fc
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,4048,65152,4459,52762,411,1198,c3fa0213-0062-49d6-87d4-f9a036cc8100,FA:C9:20:44:FB:75,043b60d9-c1ba-4ac2-b81a-f4fd7cbea1bf
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,4099,40138,4057,72152,42,1198,011b91c7-bdf1-4a4a-ae6f-2c2192be6c50,5E:A9:9B:5B:CB:3C,5f5c6d18-2ca0-4100-bf8a-07da0cc697b2
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,3850,53504,4076,88448,226,1198,e9b90dd6-7370-47a8-b4a0-8a8e6da0e648,66:D2:C2:B1:0E:4A,903f3432-7b99-44bd-b0b3-47ea4b93c4da
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,4072,69086,4496,95700,424,1198,662946ea-63e2-4fd5-a806-c06e4324f640,46:58:A5:DF:1F:BE,dd5b7b6e-2d8c-4e32-a30d-7ab1146a384c
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,4369,403194,4192,90542,177,1198,a535ccb7-3a3a-4775-8e67-5bc8c629ecfe,3A:0E:6D:E0:F4:8E,3f23c3f3-ec7b-44c9-bb9c-0c489cc3281a
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,3733,39614,4234,85834,501,1198,55b212c9-a0d4-47a0-9f7d-305a28e25038,5A:32:ED:4A:75:35,4e170b38-df4c-4936-8228-9461ea146370
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,3996,52938,4150,54682,154,1198,59ea6811-cece-4a81-ba78-928e50be9fc2,FA:3E:F7:DD:DE:7E,e52ccd7c-cfdf-40cb-8b2f-5b94615c6830
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,4434,68030,4066,41098,368,1198,d5674c7f-e2f9-4248-a8a6-7e5532f18dbb,46:47:99:9C:0E:75,1caac629-6b01-44ed-ba4e-5c2df1f21c1f
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,4113,41484,4283,65242,170,1198,d1f9d366-e97c-4d95-9960-0f1740770602,96:A5:E9:47:0F:22,89359dab-a589-4bfd-afb2-6224fa10d63f
sampler,2019-12-09 04:37:22,2019-12-09 04:37:37,4037,63856,4234,299798,197,1198,561a32fc-8d86-4ec3-9f40-b780236d2eb9,62:74:33:DF:37:85,40e90d14-6d28-467c-9063-9607ed30861a
