Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3938,63166,4530,194770,592,1198,d2582517-068b-4d2c-bfcc-e0f4d81f051e,16:85:FF:6F:FC:BB,c9655b0c-f4df-4abf-a1c2-d0c30065c5d4
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,12924,10786818,4185,128334,8739,1198,fb639ea1-bb20-4bb1-aa40-8ebaf0b4bf8f,62:B2:55:43:AC:FE,adb9793c-e3b5-4f84-bc2e-8baa25cd04a9
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4221,108978,4618,316176,397,1198,8d56a206-b23a-45bf-a10d-eaf5da597fb4,0E:45:4E:28:52:E6,2f974d8b-48b6-4b7c-86e5-762840dd88f7
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3963,119896,4052,52672,89,1198,d8e0a7e0-fb02-42f1-858f-6b34ee07d966,FE:37:BF:BC:01:A4,77e0fcf1-e840-4e77-b53e-092ae4278ece
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3962,51854,4678,292734,716,1198,6148d6f5-4325-4fed-9164-8668607aee11,6A:35:4E:39:48:93,7c17664a-e2ea-4b14-9c19-c42e650ee33a
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4245,108668,4345,81536,100,1198,25776b25-3bb3-4f4a-a360-c0a02bf388a3,FA:90:FE:C6:FE:BA,de01974b-3780-4666-b210-beed31de81ca
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4046,61126,3984,82210,62,1198,b983ba7e-4e17-4ffc-9751-3fc173eb7095,6E:10:F9:0F:AD:1C,56fa804b-6ab8-4c4a-924f-d6b971fb9286
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4254,88746,5147,207038,893,1198,033e459f-51a3-4e0b-9515-85947686ba3f,E6:F2:23:B6:27:69,0efa2d9c-2000-443f-887d-ebd4b0524c1c
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3921,97032,5242,223852,1321,1198,fc6c98a7-544d-493e-8c02-46e7218fe9fc,56:7C:16:12:44:0C,b40375cb-a0eb-4d4e-8c48-69d363c2a0ae
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4188,67640,4339,54068,151,1198,4f733b03-187e-4839-8da2-242c52a36f71,F6:2D:80:24:93:A5,53f33f51-422e-48d4-ac02-851874289657
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4562,482516,4617,364790,55,1198,a317ae2f-8a8e-44f7-813b-0ce9c457daf6,06:9F:2E:A9:1F:21,ec97338b-0d92-49e4-b93a-32b9b3d6f4d7
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3860,102058,4473,349160,613,1198,7751f929-ef1f-4107-bbc6-676e1b6f908e,FE:AD:4C:34:C8:A0,5be9a3f7-f1d3-4105-8689-cf004f70301e
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4368,172064,4604,56238,236,1198,f1b0c075-48a8-4a8a-84f1-8e29792c4f1b,02:79:7A:7C:8E:11,bde864d7-0f71-44cc-8831-ec621b7f578e
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3745,111136,4881,283792,1136,1198,cce06818-0e08-42e6-98bc-3ad98cd372db,56:B1:39:B4:8B:05,71424c91-e9df-4057-8c93-431157860f72
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4495,441840,4353,263650,142,1198,2e5e1b45-8f90-41f9-b834-b11064e015aa,4A:43:51:B1:A0:E3,1d429567-9be8-49f7-9081-c680cfa83891
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4024,56226,4622,324424,598,1198,e0f9d2c6-8b3e-4a88-9347-0121860eb7d6,2A:EE:0C:7E:0A:62,29be7807-b250-4254-82f5-56f333f7660a
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3788,63866,4724,84360,936,1198,3fa3520e-67a6-413a-8a00-d78c38685df3,7E:29:B3:96:43:CD,4dc9518f-5c31-4d38-8782-7781933607f6
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3989,62232,4384,398748,395,1198,b9944756-5df7-42b1-8453-dc206ebf9c7e,E2:5F:21:48:FD:EF,0882a0fb-ef7d-4963-b4d4-006a6ecbcc0f
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4079,100916,5214,227160,1135,1198,3914fe43-9f0e-4bd1-bfd1-10e741503b12,6E:FD:9F:DB:72:90,f07a1d53-ebd7-4142-b120-46e2a65a7e61
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3861,156092,3800,51328,61,1198,8a5b70c3-7000-42a0-a568-9e3eb9959314,1A:D0:A9:A4:DF:98,15e23c2e-e44c-486b-bdb7-f448668e43fe
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3978,89354,4505,66552,527,1198,c870a908-7b62-41cc-85ed-efbb1944e5f8,EE:DB:FC:CF:C9:77,3918eec5-5746-4489-bb71-682bc2de6991
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4132,125282,6518,406432,2386,1198,7c3f4cee-c053-486a-b6a9-1f3b4cb028b5,82:4A:71:52:CF:56,db5e98b3-f929-40fd-afad-7621644450b0
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3783,65146,4587,167726,804,1198,902ad48f-0722-41e6-ba1c-98a930a4ed9a,3E:F3:A8:B8:C6:9C,5f0c8f6a-e2b4-40b3-a113-dd02973d07f0
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4101,58018,4145,85770,44,1198,4827ab0b-4b4b-4337-8576-22201919edab,52:3F:77:25:00:46,1a3c7d34-d3c6-4c94-b1a2-b5e57c341466
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4182,206244,5233,499344,1051,1198,a58f98b0-59c4-4b83-9730-c187f745947b,C2:76:CF:F4:D5:B0,46901869-8ed3-480e-8adb-cdcc30ecc944
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3766,86508,4802,43218,1036,1198,d7a358e1-2b80-436b-b102-eb8db5c161cd,DA:43:60:82:CE:2E,503c98e2-4279-4e2e-8ef0-83c396a2dfb4
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4216,54976,6842,372474,2626,1198,f4f735b3-422e-4128-baea-776ff79e8ef6,D6:41:12:03:4F:3A,dea2803c-5bd3-402a-afff-e5b7f4da9fe4
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4177,157920,4310,68922,133,1198,dcac32c8-6fe7-4c01-b4cb-8c5cc9a9fb86,5A:E2:E2:1B:A0:A1,5cbbfe55-0516-45f9-a6ac-80e7a563b952
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3821,37124,49070,53867882,45249,1198,5de2b0d8-94f1-41e6-bcd2-f195565cca90,FE:D1:F1:F3:61:3C,e5b5c58f-c219-4cb5-8c53-2349a54a770e
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4286,54990,6498,264822,2212,1198,124f3ae5-f29c-400f-b67b-6e8d29908e86,EE:7A:1D:CE:78:D0,24ee3240-6ae9-4cb2-ae1a-7ca6e5321e9d
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4039,52774,5128,350006,1089,1198,d29403a5-ec52-48f7-a991-28c05b298b14,12:36:C1:8C:37:74,2a0ff73a-6094-48b5-91c4-b8fc9fe39dcc
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4470,572820,5116,55622,646,1198,c80d1a37-ce90-43db-a981-97711a929286,BE:5E:BE:CD:5B:B4,fb248bb9-36da-4c23-b7a1-d183190d979f
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3954,44328,5420,238294,1466,1198,6ea8fda7-5c24-4a9b-b8b9-78cc13022180,B2:77:E0:94:23:93,86dc35d4-436b-46c4-8632-13f84e4ca8df
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4002,53772,4152,74620,150,1198,6e986514-a3ee-42d9-aa91-abcc56bc8c98,0E:FE:9E:59:03:E4,27e0b9f5-4549-4c7f-8bf1-2c242128400d
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3775,97070,4896,220598,1121,1198,6d784d32-0c5e-432f-b5e0-85eda3d59f42,3A:1C:02:AD:2A:82,4142f699-0b99-4b7f-8564-2dd9fd94b781
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3774,78418,6860,2305984,3086,1198,2784652a-284d-45bb-b738-f17541e516ed,D2:81:DD:C9:33:D5,0ceab7cd-7f04-4cd5-8b37-a26b7560d280
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3960,43302,9612,3528356,5652,1198,f1f0b634-9672-4050-97fd-747b9646a765,B2:47:0E:98:CA:B7,630fa897-ca40-48f4-b9a2-09306dd0317c
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3834,54240,4469,76098,635,1198,c002c42f-a3c6-4a06-8c17-5187a130cecb,3E:9E:3E:4E:B5:57,f5a8b7f7-cedd-4873-9103-310035c32abe
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3705,34674,4937,59710,1232,1198,1733d853-33b8-492e-aa9c-f7925fa4080e,46:D3:89:D2:25:A6,471942ed-c30a-486f-8810-3298191a3638
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3829,57930,4189,105960,360,1198,53664ace-d660-4a7a-91a0-34b287c02234,BE:F7:CB:4D:06:19,ecae9aa3-bd7c-4aef-8e7b-88910f5dee44
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3937,59220,3623,83780,314,1198,b480fd06-57cc-4770-bb0c-c5490fabad2b,0E:82:25:38:A4:C1,10249c1c-69ed-4e03-8c31-7aad471d4fe4
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3956,52484,5615,150198,1659,1198,2e547c80-8344-4670-8984-6da05a7801d2,BE:25:9B:35:28:5C,0b483651-06da-4192-83e6-01163cd711e0
sampler,2019-12-09 04:37:39,2019-12-09 04:37:54,4009,39868,3957,44216,52,1198,70c19f88-472e-4186-9b0b-ce4a20188c6c,B2:FA:E6:66:3D:15,6990e986-ae1b-42fc-800c-a77fa4bd6907
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3857,37006,4807,125516,950,1198,ec5b5528-a001-4998-b9ad-781ab1cba0df,BA:4A:C6:9C:05:F9,cfb3a6a6-2ae7-4242-be76-c7ffb27bdf1b
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4009,145012,4350,153782,341,1198,a1e44253-0ab7-4119-a595-c0ef15b92c61,DA:02:00:4C:C0:B0,b7bf21df-66a5-4c50-8f46-195143012a53
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,3930,55952,5249,84480,1319,1198,face7438-2fbe-4df9-ab2f-2750ae964647,9A:BC:00:BE:A0:A4,d0b8fe59-7155-4870-b29e-0a61380b43b4
sampler,2019-12-09 04:37:38,2019-12-09 04:37:54,4071,83184,4316,73740,245,1198,8174208d-2442-4f19-81f4-aa3a0a8fd60f,B2:84:F1:26:79:D3,2dfaa0a1-7029-4dfc-b2c0-15f08a948cb5
