Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4133,92614,4168,56428,35,1198,2e3827c6-934b-461b-af25-4f8254f754d6,C2:5C:C5:7A:35:A5,e11f1a32-a4a0-4668-82a0-e42e59c2b337
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4545,87376,4297,50376,248,1198,21e403e3-d541-49a9-8e77-892526accceb,8E:59:CE:44:3E:12,e0eb5ae9-2372-414a-8444-86abc1275e78
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4054,53846,4014,37130,40,1198,af125214-2839-42cd-b90f-7e772ca913d0,CA:96:A0:44:AB:37,11dcb734-3a0a-4ba7-bcb8-e73b35fdf173
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4149,370158,4155,106336,6,1198,85471eea-a62e-4f28-b625-4a50986dafb6,4E:0E:2A:A0:0B:1D,b5883662-ae72-482c-b99a-4d43bf7f7d52
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4130,54994,4673,72430,543,1198,e6c79f7f-cbb1-43b5-83f6-719cf1983d62,EE:28:62:86:B8:5A,3b216f30-a630-4d97-93fd-efd77b8f3d4c
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,3997,44478,5323,55270,1326,1198,866adb11-cd86-46e5-870a-0da51458bf95,E2:45:BF:85:21:FB,1a28ddc6-09d9-4d60-a9c9-c94a61af8561
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4189,78714,4140,79720,49,1198,75766190-a899-424d-a11a-b32a2cd90fda,EE:25:70:61:31:FA,cc037f0e-3806-4d7e-bdf4-fc1e24552301
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4094,63552,4481,55052,387,1198,3a431833-8b88-4a2c-9327-40493a78439f,7A:71:C2:B0:20:BD,54ced380-ed3a-43e0-a321-a960fd19a5e5
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4001,39222,4327,63298,326,1198,25361bd0-55fe-47e1-8a45-ce1234c92e30,7E:2B:D3:CF:9E:03,d7416f74-a5dc-40de-b19a-423f79770438
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4177,102264,3952,86800,225,1198,756af5c2-5e05-4f4d-928f-e5ad553ea54d,C6:92:A0:B1:83:94,e4efaf38-5d79-417a-9dcd-a2ea9d74fff3
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4065,80998,3877,37732,188,1198,fcafdd2a-4c45-4464-a079-90ddc4396a82,22:47:1B:8A:21:BF,5336b74c-0dea-4bed-b198-6f8d8bd7bc3e
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4155,80666,4200,407338,45,1198,34c64263-dbb4-4b33-adf7-84cfa8fdda59,2A:DA:3D:71:D9:AF,5dcc236d-981b-4bdb-af7e-798087b356de
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4186,56636,4998,305414,812,1198,1c5a1423-dcbb-47df-b122-21254d7d2a1f,FA:87:8C:DB:9F:FC,5aebdce7-fdc3-439a-9881-0dfbe53f467c
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4162,87716,4013,288282,149,1198,0e8b9551-4ec2-4cef-a8a5-22edfb8e8574,8A:A5:9B:71:5A:5B,ef47bc9f-93c9-4b26-99c2-14965543004f
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4104,81092,4615,55322,511,1198,ecf91f92-d197-4ebf-878f-5633aed89a69,12:BF:5A:49:89:CA,84afac43-ab83-4ee5-903e-c8007838d47c
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4059,54614,5138,92016,1079,1198,ea9a8887-38fd-4181-b979-a55a96100766,EE:4D:1F:AC:CC:DC,de98b4f5-4279-4c31-b5a9-b115b660c388
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,3984,54020,5368,369282,1384,1198,5e647c35-62c6-47f4-8592-6f0b3cdaf3ac,26:DE:9E:FD:08:81,55fe3b51-2822-476f-a096-9c2796ae66dd
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4048,64396,5270,237730,1222,1198,17cf6e1b-f534-46fa-813a-69f2d2684e96,76:92:67:80:0F:45,37de96d5-6321-4a3c-97df-baed93e0aaf9
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4381,353068,5575,777342,1194,1198,50259bd3-0bf4-488b-9e3e-de8104d27c28,FA:BE:C8:92:9B:9C,4fd76352-35de-4804-b7ef-83827e7908f9
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4267,87882,4403,86138,136,1198,c070c097-2f15-48b0-ad5d-1cf8095a0fa4,26:08:90:A1:60:0A,e38f6059-86c3-4502-a57f-641b403d96eb
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4022,38528,4593,71344,571,1198,d50769ca-4693-4626-b8ef-3a522d4a36a0,82:83:62:5F:41:96,479e3a5b-17d9-488e-9140-0e5bc0b61068
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4290,258106,4885,55778,595,1198,29d9ab37-a6c5-4217-b7a8-a3d227fcecbf,D2:89:E1:AD:5D:B7,11e9da9d-a718-4bc6-aec1-226a528457a9
sampler,2019-12-10 02:45:50,2019-12-10 02:46:06,4162,55678,4224,106954,62,1198,c82dfe8e-ba28-4fdf-8edb-d217cdbc9b74,B2:36:D0:E2:A0:B2,c7e9f9e2-393c-48cf-b885-76fef9266484
sampler,2019-12-10 02:45:51,2019-12-10 02:46:06,4031,58098,4615,55912,584,1198,70cf85e1-421d-4c0b-ad99-cd7052683548,CE:79:A3:14:E9:59,40b1bdf9-d91b-45f7-b914-f45dd93fed87
