Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-10 02:47:46,2019-12-10 02:48:01,4446,121750,4257,75800,189,1198,da655ddb-4262-4cbb-be57-fe0b6b500809,FA:EA:36:DC:01:D6,71ecedd2-c154-4cff-b051-25fd54317934
sampler,2019-12-10 02:47:46,2019-12-10 02:48:02,4196,42828,4097,45224,99,1198,3a180b57-9c7c-4432-913f-5dc077bcdff6,4E:69:81:74:57:29,536bbf98-06a6-40bc-85b0-5f413f18d193
sampler,2019-12-10 02:47:46,2019-12-10 02:48:02,4341,528798,4137,63382,204,1198,51593c9e-593a-49cb-afcd-eadf4acdf275,22:B9:5B:EB:9C:28,464e922b-c3cc-4fa2-903f-721d32eb5454
sampler,2019-12-10 02:47:46,2019-12-10 02:48:02,4168,53224,4271,130218,103,1198,0fd1c99c-0576-4aa1-b87d-45b799ab7cf4,66:E1:27:75:AF:E3,6ca6f3fa-79dd-4bdb-b855-aa5025ea8c7f
sampler,2019-12-10 02:47:46,2019-12-10 02:48:02,4203,79058,4284,53010,81,1198,1bc5bf94-12a7-4963-b852-d6d2d47d95b8,2A:F9:A0:BB:12:E9,9af5a290-c55e-4b70-9f7f-ebe732d504a0
sampler,2019-12-10 02:47:46,2019-12-10 02:48:02,4393,89122,4088,55026,305,1198,224f101a-e8b5-437c-a763-96d2bd1d0907,AA:0D:20:CE:10:BE,1d5ed1b4-08a9-4118-8bbb-394545897492
sampler,2019-12-10 02:47:46,2019-12-10 02:48:02,4190,56984,4098,58022,92,1198,97dee63b-5ad1-4453-8673-e882cb79521a,B2:A4:83:29:46:B3,f5241dc5-c79f-4c98-a985-54713092cbc0
sampler,2019-12-10 02:47:46,2019-12-10 02:48:02,4064,58028,4327,48560,263,1198,a52d2391-de95-44a5-906b-585a7b582054,DE:EA:A3:12:BA:D1,384771e2-bc7d-479f-9278-c881df76da53
sampler,2019-12-10 02:47:46,2019-12-10 02:48:02,4308,85830,4226,36830,82,1198,3006e0a8-fbb3-4e2e-9065-b7bed10b4ef0,2E:D1:E4:5F:A4:5C,c022c0b2-3475-47af-af58-b880b4c8d3ab
sampler,2019-12-10 02:47:46,2019-12-10 02:48:02,4223,42180,4307,99116,84,1198,9125bd4b-b912-45e9-8937-8e52646dd55c,7E:34:51:05:FC:1F,df565408-1b79-4af9-92e2-d9d684b49ce1
