Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-09 04:27:23,2019-12-09 04:27:38,4175,76950,4255,51608,80,1198,857e2012-b8ce-4d5a-9c5c-e39bbd95d63b,B2:8E:40:29:BB:31,60f8171b-3f38-40ed-829a-50f277961864
sampler,2019-12-09 04:27:23,2019-12-09 04:27:38,4802,209400,4170,53130,632,1198,7ea4a383-2791-4698-95d6-a116c1179f2d,36:1D:A9:01:E4:0C,0230de38-2766-45df-be34-6d4750aa4a6a
sampler,2019-12-09 04:27:23,2019-12-09 04:27:38,4145,44460,4350,74844,205,1198,55af1267-2f5d-41d8-8ae4-738f4c3058d7,32:BF:B0:B4:71:0C,b50b7688-9eef-4ba2-803d-54fdbf72adeb
sampler,2019-12-09 04:27:23,2019-12-09 04:27:38,4466,237230,4166,90726,300,1198,6b4b97b6-bdb0-49c9-8f25-9e0d99c5eee1,16:93:7F:92:6F:22,95784619-22cd-4343-8c20-fcd35d25ae08
sampler,2019-12-09 04:27:23,2019-12-09 04:27:38,4309,52956,3997,96598,312,1198,2863c733-8a39-492c-975c-92e24be9d4f4,C6:A8:F7:75:BB:F2,22f5d41f-bd0c-45ae-a66e-f641e64980e8
sampler,2019-12-09 04:27:23,2019-12-09 04:27:38,4787,341304,4853,339372,66,1198,95e86f56-b1b5-4c49-b47a-1e7e19123e73,76:1E:DA:C4:34:9D,348fe001-9c72-4f39-812b-157753563fb0
sampler,2019-12-09 04:27:23,2019-12-09 04:27:38,4483,342272,4364,91810,119,1198,5340a0e7-99d5-4d09-b9b7-b7d569c0265f,E6:35:66:6F:9B:CB,5a666dcd-b908-4757-b729-7924e7e54211
sampler,2019-12-09 04:27:23,2019-12-09 04:27:38,4321,41238,4408,84826,87,1198,742b5d1c-0cbe-450e-8155-b7e406b0b43d,A6:F6:34:C4:91:A8,bfc7b012-2c2e-4766-9f10-04115a153640
sampler,2019-12-09 04:27:23,2019-12-09 04:27:38,4272,66258,4179,38194,93,1198,7993a9a8-0162-4561-88ab-ceca27bc67a8,56:E0:1E:C8:27:C5,8ea4911e-346b-4d95-90cc-323683410191
sampler,2019-12-09 04:27:23,2019-12-09 04:27:38,3858,42486,3818,60324,40,1198,e87c0a51-fbd8-4c13-95c3-155f18605cf2,CA:29:1A:8C:3C:5D,a4961206-17df-4aec-8f2b-a7fde9f0a778
sampler,2019-12-09 04:27:23,2019-12-09 04:27:38,4063,54366,4258,40594,195,1198,f9e46a85-fdc3-4b1b-9836-afc8f97408e0,7A:C6:E9:3B:64:B3,375ab2ae-8d7c-4fe2-9e40-f10fddd5e046
