Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,3802,78112,3533,48320,269,1198,d5ac16bc-92d9-469e-8584-a3a76d2ebd99,36:DB:61:1B:D9:A0,96eb6b1c-f007-4a9a-9d43-f14e0fd1d71f
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,3962,87064,3839,61226,123,1198,c87cd13d-acee-43e8-ae16-c1cdfe205d74,4E:B4:E5:34:66:4B,8edfaa6f-ebf3-4de8-8540-333ae3b601b2
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,3983,104280,4217,88622,234,1198,0abf9960-4000-4440-97fa-750ddcfce90d,1E:D5:27:2A:90:2C,c336e101-b901-4979-930a-90334eb4ab23
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,3833,55198,3875,46770,42,1198,45cee0ac-dce3-4d2a-8931-7d6456521902,6A:82:12:D2:DD:44,baa8f042-5a41-463f-b31c-2fbb6de6a86c
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,4208,118730,3982,71684,226,1198,e52d8a2e-60ad-4cdc-870a-00a022f6b042,FE:77:09:2E:6E:6F,81107ace-90db-4740-8141-4afd42945a93
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,3960,147098,4302,259288,342,1198,dfe30e23-90c8-428d-b2bd-9a06592985ad,A6:1F:B2:7F:64:E7,e16674e9-5225-41fa-af7c-9983d7f2b35e
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,4321,438288,3883,56364,438,1198,53ee23e7-529f-431d-8974-6e8611a5a946,96:F1:EA:A6:51:3E,69993acf-1235-4710-8f7a-3117cb8c3cd1
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,3724,53516,3826,84944,102,1198,5a914b33-e036-4d53-8af3-bc4cc07a85ba,62:E9:4C:A6:83:BE,2bc47c7b-1103-4764-86d0-fddbe65096e3
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,4044,52034,4180,83254,136,1198,0c638877-b161-4d41-90f8-ba36c5d20ea0,CA:84:D8:60:95:A3,ddf5afbb-d5b5-43ae-b426-39f633a652dd
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,4239,444610,3944,91634,295,1198,910866f9-3440-4cca-a258-2110e42cb0d7,3A:6D:2C:32:45:ED,ca3d377f-f162-4659-8d59-f382194eab7c
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,4105,53562,4022,186520,83,1198,a56d6fa1-5632-4b4b-b680-82ad92d27520,66:D0:52:71:C5:74,dbdb9367-05ff-4a55-b51b-3fbe6c37c63c
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,4314,61288,4260,52438,54,1198,40e55144-887d-43c1-b35b-d6b26b3ab0a0,56:6E:5A:08:57:42,9e5f1406-a3c8-4c72-a099-2aed8ab7f3cb
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,6693,3554148,3686,34210,3007,1198,f94b2b6b-2965-473e-9b61-5e0b6ffced0f,9A:18:88:5B:CD:5A,752389bf-68bb-4df3-b9d3-e08fbd2feca4
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,3851,79154,3842,68502,9,1198,6bcb2494-06cd-43f9-bc23-79c9fe48f5a2,BA:73:59:B0:01:F9,ee174039-6249-4e4b-b903-344aed24999b
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,3904,69950,4116,371524,212,1198,0a550297-8969-415e-b07d-26e7214ad32d,96:73:E3:E0:B4:EF,4c81453d-d340-4f20-917b-1597f1e76ac8
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,3774,32296,3795,40164,21,1198,6a55dc91-71e3-496e-8f67-7bb731b3196b,3E:49:72:EF:85:B7,44e91edd-5509-48ca-a0f0-23e0cd0011db
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,3763,55328,4061,101506,298,1198,74ce9746-c83a-44d1-844b-9741c411e606,42:F1:22:AC:E6:C4,bc3f800e-1f84-463a-91da-f9207e0f83fa
sampler,2019-12-08 23:16:09,2019-12-08 23:16:24,3920,42636,3994,51324,74,1198,d6b17a7a-0c50-4a50-9b79-3e256320e8cc,CA:B1:4E:EE:B9:64,becb57a4-0298-411a-98d8-19ce41a992dc
