start_time,MAC Addr,IP,rdseed
1575511209549,d7:1e:b6:03:ea:83,localhost,0
1575511209582,d7:1e:b6:03:ea:83,localhost,0
1575511209567,d7:1e:b6:03:ea:83,localhost,0
1575511209575,d7:1e:b6:03:ea:83,localhost,0
1575511209643,d7:1e:b6:03:ea:83,localhost,0
1575511209679,d7:1e:b6:03:ea:83,localhost,0
1575511209693,d7:1e:b6:03:ea:83,localhost,0
1575511209739,d7:1e:b6:03:ea:83,localhost,0
1575511211988,b5:4a:f5:6e:8c:cf,localhost,0
1575511211994,03:32:c8:8f:c3:30,localhost,0
1575511212187,6b:00:3a:05:78:69,localhost,0
1575511212265,ab:ae:f7:f9:30:81,localhost,0
1575511212388,9d:ef:8a:05:3d:b5,localhost,0
1575511212982,ef:dd:de:56:d1:c8,localhost,0
1575511212997,8f:a8:98:2b:70:60,localhost,0
1575511213060,39:f8:8a:10:c8:0d,localhost,0
1575511213098,ed:37:0c:78:30:2c,localhost,0
1575511213136,35:09:66:dc:ee:ae,localhost,0
1575511213138,a3:9f:98:8d:bc:ad,localhost,0
1575511213400,93:ac:09:62:02:76,localhost,0
1575511213473,2d:16:b7:2b:ab:10,localhost,0
1575511213600,b1:5c:0e:d9:c8:b0,localhost,0
1575511213600,ad:bc:3c:ce:42:70,localhost,0
1575511213643,75:3d:d0:31:30:7e,localhost,0
1575511213646,19:62:87:6b:0d:e9,localhost,0
1575511213891,a7:34:be:bb:44:69,localhost,0
1575511213998,f5:75:24:70:32:29,localhost,0
1575511214373,a7:d2:8a:49:b1:34,localhost,0
1575511214316,bf:8f:e2:8d:a9:18,localhost,0
1575511214358,c9:75:4d:90:72:f4,localhost,0
1575511214393,6f:f4:5a:e3:e1:08,localhost,0
1575511214498,63:f2:b7:dc:9c:d3,localhost,0
1575511214617,97:35:f5:a5:f3:39,localhost,0
1575511214841,f3:f9:40:f4:5c:24,localhost,0
1575511215006,a3:e6:6d:ea:42:b5,localhost,0
1575511215148,39:99:7d:d2:5d:ea,localhost,0
1575511215191,8b:10:39:a8:dc:0f,localhost,0
1575511215317,e3:25:9c:c8:7f:a4,localhost,0
1575511215333,07:1f:81:8a:36:28,localhost,0
1575511215381,17:7c:f3:a1:37:4f,localhost,0
1575511215562,45:1d:80:d9:92:58,localhost,0
1575511215666,39:b1:37:4f:d9:c3,localhost,0
1575511215789,6b:22:c8:92:37:63,localhost,0
1575511215797,e1:0a:d5:6d:14:05,localhost,0
1575511216228,73:4a:6d:3e:bd:e5,localhost,0
1575511216801,45:a3:f6:ed:ee:44,localhost,0
1575511216843,59:47:6d:bf:7c:a5,localhost,0
1575511217282,7f:ee:55:32:1d:8a,localhost,0
1575511217450,49:e8:c7:ad:bd:27,localhost,0
1575511217777,31:78:35:3b:51:23,localhost,0
1575511218270,63:fd:1c:ee:91:2b,localhost,0
1575511219342,bf:7b:91:b9:58:1a,localhost,0
1575511220050,51:54:e7:11:19:16,localhost,0
