Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4168,116298,4079,53674,89,1198,aba1673c-4594-4e12-8dd1-f2abbf53667b,6E:E2:6F:F7:89:C7,f0e695c0-73e3-4c0b-89c7-a1bca8e950a9
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4233,76234,4105,39870,128,1198,e9cb3a16-8296-498a-bd32-9288d972bfbe,C2:B4:F1:43:DD:6B,2fcaa293-1c5d-4e66-a889-435ec7003506
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4388,135902,4664,321838,276,1198,915745c5-4872-4323-a803-521cbb3d6b3d,9A:09:96:74:5B:E9,8e0ca91b-0110-4043-82ae-c2148ba4b49c
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4136,44032,4829,278038,693,1198,0806984d-9b7e-429e-88a1-a615ac316e4f,1A:9E:CA:3A:E4:9D,f2809833-5459-46b2-a44b-7f3990e58876
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4254,58398,4306,60130,52,1198,de2172da-4629-49ec-9557-e789d21d88be,A6:8F:13:26:C8:BA,e0ac6e3b-0125-481c-8285-84eda8757035
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4396,233286,4319,68186,77,1198,2e6b7ca7-4f2d-4d99-8dd3-66d3c835b6bf,32:2B:5D:16:F6:3D,c24bf9d2-f20a-4406-a1ef-0a8ac602ad89
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4210,102108,4234,41616,24,1198,a2f1e56f-ddf5-493a-95e9-758d5348ae63,86:62:A7:5C:6C:48,7f4157e3-dfa7-4dcf-9811-744acfae8c73
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4213,54532,4474,109176,261,1198,b69e854e-da9c-4d31-9e02-bd6f13fa2678,2E:3B:97:4F:20:12,faf1beb1-92b0-4832-acfe-30d1266a9771
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4160,94347,4216,740523,56,1198,7d91fdb2-e9c3-4653-914a-e628d672a9b0,96:E4:6A:AB:28:7F,3cfccbca-1336-410e-8ac3-3e5266dd7ace
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4044,54634,4295,90458,251,1198,b8d11027-ba11-4fe0-899d-9eb509de5517,96:0F:66:BE:45:CA,1542602d-b935-4c31-87f2-82ca89940122
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4374,54370,4358,68178,16,1198,c4ec2fca-3a01-4528-99bc-14c086ed88b6,72:BC:7F:AC:DE:02,b76c1540-6a9d-484d-a2e4-b808e58742e4
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4260,98216,4107,87804,153,1198,90b8eb4f-c4fc-4230-b262-1e2a2713e4fd,2A:DF:52:53:0A:C6,1fc244dc-8647-4306-8dad-5d94d63df2d1
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4381,61650,4198,88682,183,1198,ef230c8b-2855-4a42-9ba3-3c3703f5f75c,5A:AA:F0:6E:E7:66,d0904817-a243-4d55-893b-6b3fc1108706
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4172,38797,3895,49940,277,1198,07ce965d-c7db-48a4-8825-810a3f230864,9A:3D:E5:B5:A0:BA,66c3a67a-3d51-436b-bf4a-1c4112d36b6c
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4233,54038,4652,54912,419,1198,4fb3b18c-5562-4b01-8e95-0ce9fafce908,8A:AB:FD:76:00:F8,841bf7fa-46cc-4565-8dec-f96d4ee9b186
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4102,52840,4308,64728,206,1198,8777fdb9-d089-48d7-baa4-f6454f5c9b8a,C6:0E:60:50:FF:2C,d47f2aac-f653-4920-89db-758d56b82b37
sampler,2020-02-13 23:11:32,2020-02-13 23:11:47,4062,61950,4029,82948,33,1198,782225a1-077c-4455-a14b-74ec913d3b89,3A:0E:D3:15:6C:39,dc6e9256-0937-4c36-be9a-ae25fcb7fc65
