Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,4581,85878,4655,245372,74,1198,797438f3-41dd-44b2-bf0b-fc1d05fa8148,2A:60:9F:FF:ED:D3,fedaf2d5-5bc3-44e7-8a19-f9b90fadf316
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,3916,49892,3979,101548,63,1198,7048474c-af15-4257-b285-27d5d819b2ca,2A:CC:6C:CB:8B:40,c10d8d09-aefb-43f5-aff8-87b1532c508b
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,4581,110352,4958,441826,377,1198,7a1d822b-ce47-4bae-8ef7-95c54494ccf4,1A:F8:02:FC:52:C7,ddaf5707-1599-4171-87ff-6a0a106b4cf8
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,4506,369440,4231,54604,275,1198,4ff1ba22-0b99-41f2-ac9f-9e54c0b15558,AA:DB:46:43:DB:60,93f43427-1abe-4ef2-9dad-1e2a4ae028ea
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,4365,94578,4379,56778,14,1198,6720f30d-a0ad-4d46-a1fc-01b12bda3c31,C2:2F:17:8E:1C:E7,c4093535-c51f-465b-b961-c020365c1304
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,4377,321006,3943,64373,434,1198,ae4b3148-8d9b-402b-9365-d1932402efc8,62:76:C0:A1:0B:E7,3b7ee4a5-e775-4142-9aa7-1c2fa21ae767
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,4259,62026,4208,76558,51,1198,e7bc800d-3589-4b01-bbed-45196bf409e4,C6:3B:66:14:45:CF,b89e3d9a-dcf5-4d59-9a36-3cc0082f31ce
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,4702,124816,4235,237167,467,1198,b9a94385-7717-4bf4-bdcf-00826541d56c,5E:37:EC:66:F7:32,e61ebc56-f73c-4972-bf87-03bbaa816871
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,4389,52874,4607,48302,218,1198,d0ded96d-8793-4dc9-993a-653d9f12453f,12:25:2A:54:98:4A,386f35a2-835e-4775-82e5-5a904c676a8a
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,3971,49884,4151,49570,180,1198,439117e3-182f-4b1c-bddf-132760db43f1,56:26:7A:36:E9:82,2a2b0ca0-420d-439c-b935-85ee3de9adf1
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,4052,45360,4236,59988,184,1198,dca479a3-9d7a-4243-bbb9-5c42f6b74d5d,92:54:A5:E5:B3:2E,173fb7c6-ed56-49b5-b215-9cdfe185da2f
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,3995,51120,3820,82936,175,1198,72129e9a-3738-4468-a2df-62edd5aaaf31,6A:42:C4:CC:A5:68,8be2bc07-8342-4fed-99b2-8d4813358999
sampler,2020-02-13 20:26:31,2020-02-13 20:26:47,4315,99066,4388,107294,73,1198,3baef635-629d-4fa4-983f-8830f5da92cd,B6:B7:6E:54:D2:DA,96f3caea-ef6d-40fe-b07d-ba99f39a70ac
