Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4250,87760,4430,52636,180,1198,256ca873-abdb-4e8c-87a1-1a395d1d9592,46:50:1D:E4:2F:C5,cadc1a61-6024-49d0-b3e8-caf1551a0056
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4323,66718,4192,76128,131,1198,197c8e15-de7a-4359-ae3f-ca75c97f6821,2E:0C:53:7A:AC:45,22a6f728-94cf-4135-9e21-c58d2be0b960
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4398,86514,4362,56084,36,1198,1625bf2d-327d-42a7-8404-518c99ca5199,76:BB:9E:21:BE:EB,e2911fae-b94f-4d16-b121-7cff8d58c59b
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4176,70730,4298,49726,122,1198,8d044ba3-8bb5-47e5-8fa9-58e0c89b5826,76:BB:85:D4:48:4F,1c806ac0-70eb-4bb4-9f6c-4e037b6ae851
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,3854,57839,3933,62702,79,1198,865d4742-f030-4121-92c8-172f7afe812e,52:18:50:E6:F0:59,8f495a24-e5c2-491a-951b-9f0bf3d79ab2
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4373,91276,4186,84478,187,1198,a5e43b53-a9de-4023-8d2d-96aabc686ec0,FE:44:22:3B:CF:11,7d19ae73-c8df-4e9a-8931-57900a8a0e6f
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,5240,429496,4121,55690,1119,1198,a8556708-8797-4341-8bd8-c9066de0df6a,4E:F3:10:FA:6E:EC,04e70719-bbf4-4206-bfa0-1b3ec5e4a1fd
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4629,120796,4319,88770,310,1198,e318ded1-cfe1-428e-9fda-8944071b257a,2A:BD:0D:73:F7:2B,554298b6-aaa8-4625-84bd-82a56acf28e9
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,3656,74296,3622,165838,34,1198,de6f72f4-36cb-4997-bba6-cb8cbf20b231,42:FB:FE:48:53:AB,19a2019c-03d3-42ff-9b35-9b696107d05c
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4546,91490,4193,45550,353,1198,33e69e65-a6ba-4d59-ab63-2b7b86067951,8E:89:2A:B7:20:B3,4ee35c88-5551-4e16-bb23-4a0a4268400c
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4126,217500,4067,98910,59,1198,8a54f6cc-54dd-4188-9a8c-32138ea22d8c,5A:39:5A:12:D3:35,6607d8cc-f774-493b-ba1b-4e98707b13dd
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4127,90634,4097,73398,30,1198,db352552-6cf0-4e05-a933-b4d0ece503d3,E6:3C:4A:B9:49:6B,dbb7dd63-08ca-4f0e-94d7-c3dd86bcb348
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4244,184716,4496,122164,252,1198,3119ee9d-e353-44ce-a50d-f93f0b88420e,2A:98:E2:E4:9D:66,0f4161f1-8c4d-417c-ad9f-df8803ca8f49
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4200,51664,4422,68576,222,1198,550561a2-4ee1-4926-9d1b-6104f7b86533,32:28:85:31:67:92,0d80615b-0ce4-496c-a75d-7b4dea14ec36
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4271,99212,4278,94382,7,1198,8dd73cca-9229-42e4-b1c3-0911051b5d54,B2:83:43:B3:08:63,2cc3282b-31b4-4ec0-bb80-6d7bfb5224ea
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4010,77764,3677,42734,333,1198,b8982e53-a005-4f0e-8a96-b45a74531e96,7A:E1:2B:AF:72:FF,074657e1-a410-497f-9d25-31a6657ce401
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4514,121746,4229,36686,285,1198,defe94f4-5093-4d10-bcde-b8dcaa702e73,0A:77:3F:04:E2:32,733ac174-3351-45fd-b72d-cbc4e6f4b1dd
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4046,87670,3790,49528,256,1198,96e8d900-a99f-4435-b1fa-092864a59bd6,9E:79:92:57:25:76,2262878f-35d7-4d5d-84a6-c28617e82356
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4120,83130,4521,359220,401,1198,02caa24e-69a8-4553-a7a1-3fdc827d463f,F6:BF:6A:85:31:E4,e62aa4c7-39b4-4bc7-a6cd-43c362ccb35c
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4109,59082,4497,78208,388,1198,c39e9b79-2e0c-4b36-a0c5-1a6258374d14,12:25:2A:54:98:4A,386f35a2-835e-4775-82e5-5a904c676a8a
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4219,84160,4261,339358,42,1198,05ea28e8-8abc-4fec-bd0a-d5cc39150b6d,8E:DD:80:D1:67:EA,452f9934-d2ef-4d2f-a4ae-29149784ff67
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4581,720494,3831,49629,750,1198,c3404d05-48a1-483d-be6f-3488724be8aa,5E:37:EC:66:F7:32,e61ebc56-f73c-4972-bf87-03bbaa816871
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4104,39130,5046,330576,942,1198,5bbe45b5-54eb-4c50-8519-51b6d8d3c256,CE:B7:7E:F7:67:51,848b4fac-b05e-4a7f-993b-97b777c3e8d4
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4119,40084,4248,79430,129,1198,11a8b719-59e0-4ae8-a175-e3fa1e0f8803,22:F8:AA:EF:AA:13,9d87307e-fa79-49b9-8ea5-f6a04c58d257
sampler,2020-02-13 20:22:38,2020-02-13 20:22:53,4018,93616,4109,62532,91,1198,4f8a2406-15e6-4115-9269-629eae4ed8fe,92:FD:AC:6A:91:8D,0346797a-d4e6-4779-a04b-9d3d9d615698
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4271,73602,13117,10214864,8846,1198,876f2c54-489e-4e7c-811b-d563e7754fbc,02:2E:FE:46:E6:95,4545c467-20c4-44f5-958e-093fb722524a
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,3989,77384,3745,50896,244,1198,44717eb8-dcc2-44a2-9cc2-993d7e70b06e,5A:70:B5:09:80:3D,222a5538-af96-4d1c-82cf-6b6540c1116d
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,3964,71432,3951,83758,13,1198,3474b89a-0719-4ab9-9f59-c81f29e7c618,2A:CC:6C:CB:8B:40,c10d8d09-aefb-43f5-aff8-87b1532c508b
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4852,193534,4491,102864,361,1198,fd8e99f6-529f-4543-b956-ec600edb0a1f,96:FF:83:52:4C:46,25dd860b-3ac3-4af5-8b6d-c87cf3ddc39b
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,13627,11313982,4136,54112,9491,1198,1a684a4e-25d2-45ec-9c36-43ed9bafbb53,A2:F2:82:6A:E3:2E,70c50967-5276-426c-89a1-c54b592801c9
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4396,84340,3964,39164,432,1198,353e1257-b3f0-4755-9cb9-77ebdd7afb8f,B2:95:39:82:53:2F,135f5422-86a2-47c2-a479-ecbff9587c96
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4518,432298,4284,53446,234,1198,27a7bc11-2c1f-4be7-9bac-f08efcf77e59,C6:D6:92:06:18:E4,39556b76-90b3-4adf-9fcd-836f4432aa8b
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4019,53616,4146,79240,127,1198,e415be7d-e51f-49e6-a8ef-44ae682814e4,92:54:A5:E5:B3:2E,173fb7c6-ed56-49b5-b215-9cdfe185da2f
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4285,61606,4466,53394,181,1198,462b23af-b51d-4d8c-80b9-48cbf6be2d09,36:90:5A:86:81:13,aaff3503-ab0a-49a5-ae2b-c6d885637cd6
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,3806,49416,3940,53864,134,1198,dba66c3c-8b32-4af4-aea0-02e8c75db6ac,BE:8D:61:65:EF:A0,3ff22e40-57a9-47f5-9dd4-98d9bdbb9f61
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4411,82538,4565,42850,154,1198,7b8347cf-0980-437b-81fb-8013b7e5a39e,22:42:B3:27:E2:7F,c59dadd5-78d5-4930-b948-2c07ff83fba0
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4109,41152,4255,122966,146,1198,ed0274b0-6c9b-4341-81b3-5a9a178fe367,6A:AE:F9:D8:DB:11,bb374f12-db53-41fc-b4c4-8d19278049d7
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4174,72320,4264,89538,90,1198,bbe81c8a-38eb-4c40-b402-27f319356ec5,6A:42:C4:CC:A5:68,8be2bc07-8342-4fed-99b2-8d4813358999
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4269,60504,4231,60904,38,1198,7df002a0-ef73-427d-9ad9-19567c45a9fd,FE:76:A1:19:A0:66,21c97646-5fc6-4a40-b4bb-263ec7fd1953
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4247,41384,4224,72790,23,1198,050433b7-4a3e-40ca-939e-98847cb1838e,4E:F1:A5:2C:0E:34,7e1b72b4-ea81-4c22-8f4a-134c1f52d3d9
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4389,70530,4273,50094,116,1198,72a894c3-8700-4fba-b6e5-ebffde47445a,DE:E4:B7:5B:9A:19,38b0cf87-6297-4b2a-8058-06508656a9dd
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4271,318768,4450,290742,179,1198,665c4ad0-5bf3-4125-ae5a-221170c60290,4E:B2:49:0A:1F:55,2249648e-0894-4615-bcfc-d2c751f20e12
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4352,83674,4510,337438,158,1198,0b552a7c-5d21-4bec-905a-fb6bbee7a6a4,9E:19:53:B1:F3:AB,e7270f0e-d61d-426f-a0d6-5ae62540327e
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4056,60192,4007,61420,49,1198,75e84515-66a3-4bad-bae9-c275e0bc5332,66:18:29:B7:E2:51,8f62774e-8982-4627-8bf7-6125a5c31faa
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4202,77668,3862,44424,340,1198,d85cd7da-2477-499f-96d8-7c44b2e77d55,AA:DB:46:43:DB:60,93f43427-1abe-4ef2-9dad-1e2a4ae028ea
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4306,102482,4238,102068,68,1198,de482702-46f3-464d-af62-0158e8cdeb54,E2:89:F7:AE:6B:18,2883633e-f7ba-4a67-a92c-ff03a2b87fd8
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,3964,249795,4046,64979,82,1198,dd4c8a06-f8f2-464d-ad65-a4dd493f882d,62:76:C0:A1:0B:E7,3b7ee4a5-e775-4142-9aa7-1c2fa21ae767
sampler,2020-02-13 20:22:39,2020-02-13 20:22:54,4318,86528,4258,89080,60,1198,45c54274-339f-4bde-9c76-f952fc3757f1,56:26:7A:36:E9:82,2a2b0ca0-420d-439c-b935-85ee3de9adf1
sampler,2020-02-13 20:22:40,2020-02-13 20:22:55,4425,54358,4768,619384,343,1198,039dbaff-c129-46bc-ba97-b0d6642927c2,86:D3:20:9C:E1:8B,2b35c7c2-b295-4449-9e91-993b064794d9
