Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 08:19:46,2020-02-13 08:20:01,4679,441394,5870,433778,1191,1198,6ab76379-3ffb-410d-882f-78c6abf2408c,52:5B:66:16:CD:BA,31162bf6-1f45-48d9-b0d4-b91a1ca04bd3
sampler,2020-02-13 08:19:46,2020-02-13 08:20:01,4289,82918,5119,391820,830,1198,f93919ed-6c9c-4906-b307-59bde54729f0,C2:D5:87:ED:51:4B,d8c3172c-0cd5-4057-ac60-4f5fcd2c5466
sampler,2020-02-13 08:19:46,2020-02-13 08:20:01,4260,83203,4249,44804,11,1198,054c1d1d-3822-403a-88d3-b9ed762f3471,2E:02:D7:B9:36:5D,18abd4dd-a989-4314-849a-5df5a05730df
sampler,2020-02-13 08:19:46,2020-02-13 08:20:01,4339,51110,6521,328886,2182,1198,014af324-b815-4ff9-bdcc-1c14411d353f,0A:95:13:41:9B:3C,56297fa9-29af-47b6-8629-8b6865eeb0fa
sampler,2020-02-13 08:19:46,2020-02-13 08:20:01,4439,177936,5761,85562,1322,1198,40154ece-11f4-44d5-87de-59da561e9803,F6:66:8C:7A:FD:85,3b4575ee-b9ec-4fcd-bc57-e7f2ea501022
sampler,2020-02-13 08:19:47,2020-02-13 08:20:02,4413,94580,7149,1749470,2736,1198,9982ed6c-798d-4e23-b36d-1c99ab763e94,76:19:99:45:D7:F4,690c2004-5ccd-4873-8671-43fe38ec9b2a
sampler,2020-02-13 08:19:47,2020-02-13 08:20:02,4398,46308,4641,78977,243,1198,cfbf4310-c0cf-4421-93a2-9fb80367968f,CE:98:BE:E1:4B:8F,160de12e-b9a5-4c47-aa40-be561a3f3129
sampler,2020-02-13 08:19:47,2020-02-13 08:20:02,4138,69270,5425,112756,1287,1198,8dd5516c-32cf-40f7-80a3-d2af2dbd279d,76:B2:09:9E:7A:82,687de7c5-4572-4106-b695-52c9b1e88d1e
sampler,2020-02-13 08:19:48,2020-02-13 08:20:03,4768,73694,5448,73154,680,1198,e6cea449-5851-46af-8f08-32a9cae2c9d9,5E:B4:DD:7D:78:AB,47ec2d4f-b22c-400b-b8de-622582eac6d3
sampler,2020-02-13 08:19:49,2020-02-13 08:20:04,4462,75426,4106,58360,356,1198,4450ad69-21a5-4ea5-99a5-07b6c7975cea,3A:5A:4C:BF:19:3C,9e38fd83-a55e-43d9-a9b1-61a1958dbca6
