Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4107,51690,3764,49538,343,1198,c7205af6-e94e-4539-920d-a906c6a5eed9,42:13:3B:AD:0E:42,5c9a1ba0-41d2-4c31-a295-f9dee7cdc267
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4315,64116,4487,52652,172,1198,0013f692-6f31-4985-8b1b-4e987d451022,B2:9C:3D:B2:91:86,f663fbd5-d53e-4ff0-a504-20e03e2fcd57
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4417,156656,4058,51662,359,1198,860ed6dc-0c7c-49fc-8226-2a351d1ab741,12:3D:73:C2:3F:BB,91ee5c8a-af0e-4de6-9be1-ec3e3493dedc
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4174,53078,4164,70364,10,1198,f4375617-db11-4dbf-8766-9a44e0207c59,66:5B:53:63:5B:B2,ddfc15d4-78eb-4d66-bb63-cbacd82037d4
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4108,89798,4215,72812,107,1198,3e11cc32-db58-4ef6-87a6-7bb1fed8d987,52:C4:47:18:40:01,4191af53-44f1-4f0f-b24f-babb4c74ed53
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,3958,43790,4097,61144,139,1198,be93a28e-b201-4842-8224-a393fbdaf365,66:F8:28:52:A2:61,56acdf74-8ed7-4f99-82da-399a3544d2ed
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4451,54348,4688,290520,237,1198,02c64d08-4330-4665-b679-cd5e9aa9c704,9E:C6:50:F7:DC:0F,d0e19be3-1563-454b-9a3e-655903e38fa6
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4180,43512,4328,72800,148,1198,aaed2ae6-94af-47a3-a80a-604824040ae8,C2:F5:E5:31:CE:BF,96990b6e-b4c3-4af9-b3ca-b50968cf9bf3
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4662,398768,4361,76462,301,1198,2e251e30-9433-4d58-ac7f-1bf11dedcc29,C2:8D:85:64:97:EE,bd78741c-4233-4d63-8bc9-78da287f08ba
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4340,191918,4054,69882,286,1198,0bc56212-613b-44e8-aeb5-7004eff36ea8,5E:61:FA:09:BD:FE,d519b496-be04-4492-b1a0-ec36786514ea
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,3902,53600,3869,63954,33,1198,7be4040e-a2e6-4023-807f-f98f834ca179,56:24:8D:E7:0D:75,69bd3e3f-e204-4c16-b068-c684b8b6bb9b
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4299,86782,3990,52760,309,1198,dbdcbe37-769e-4886-8a5c-dc140fc750c2,3A:D4:AD:0E:2D:95,0504c6ac-1214-4dca-b0dd-5092391f0fed
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4319,129688,4014,62554,305,1198,303c5ae0-3ea1-401f-a203-1b6c1e80a8a8,CA:96:D3:26:4C:3E,22ae6167-1644-4a35-b2ef-89683b545336
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4184,59732,4116,44050,68,1198,1fa7b340-6c08-4851-8553-f319063df200,06:13:AB:A9:5D:8A,47fba522-436f-4731-8f3f-b5461dcc0095
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4461,51264,4159,113558,302,1198,879ac0b8-38f8-4fa1-b381-ba6f72de3cff,72:61:71:A7:67:CE,d0300292-bcdd-4e50-a8f6-09e02dbeb9d3
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4179,59914,4259,89628,80,1198,68be36e6-7c95-4e54-8389-256822620b3b,FE:C6:55:25:27:59,b92a79dc-bf34-49f4-8406-eaec69258b39
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4457,95818,4328,89942,129,1198,1309cc05-ba2a-49a5-a412-65e3a6d1f65d,9E:5F:CE:CE:26:70,a4a31235-6f30-44a7-9c51-62a3a19cae5c
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4358,74458,4071,62008,287,1198,3d561a3f-b563-43f1-bea3-2a00f6e36a41,06:00:DF:D6:43:96,52de1ee1-2599-4930-8fab-7abf84b52458
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4525,63932,4206,64918,319,1198,d107d379-205a-4330-a449-aa22d88db565,4A:79:2B:65:71:2A,561a69bb-d920-475e-b37f-91bdc2783bcf
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,3834,83694,4136,43444,302,1198,ebf2210f-9ac5-408f-85a1-c01cec4c29f1,16:1D:64:11:26:E8,b53203df-8d87-4e16-b295-77cb88fbebe1
sampler,2020-02-13 09:06:59,2020-02-13 09:07:15,4189,83786,3988,55832,201,1198,a35ea1e3-c665-4cbc-b813-6e2f3141de1c,BE:E3:BE:8B:B3:35,fb459ec6-58c9-4eb8-8815-29e110398b8d
sampler,2020-02-13 09:06:59,2020-02-13 09:07:15,4402,300314,3989,118500,413,1198,b8fd8660-3566-4b33-8a86-9cfaea10c099,0A:48:79:E6:79:F0,82e9ebf9-1fa0-4203-8174-049186547e77
sampler,2020-02-13 09:06:59,2020-02-13 09:07:15,4671,314418,4398,125544,273,1198,4266dee9-ccbd-420f-b59e-4ddabd6bbdd9,36:F9:5B:44:62:C0,36be91ea-44c7-4458-a74e-014858993430
sampler,2020-02-13 09:06:59,2020-02-13 09:07:15,4147,92250,4385,62794,238,1198,ec883c40-ad1d-468c-b8a4-db768d338df6,B2:E0:04:21:4D:AC,80bff55a-41d4-4ead-bf5c-23e0c4ee898c
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4215,72682,3888,65120,327,1198,74b7657c-bdd7-4554-9ce9-f64f5c3a9d6b,26:AF:8C:BE:1C:2D,7a8d66b3-d9bd-41b3-b3ef-c945f2258af0
sampler,2020-02-13 09:07:00,2020-02-13 09:07:15,4187,49788,4180,81926,7,1198,aad57642-6ea4-4b27-b520-965a56d72720,06:63:5A:BB:63:74,ff2a6daa-6225-44c4-8597-2ebb28b2ab2e
sampler,2020-02-13 09:06:59,2020-02-13 09:07:15,4560,309552,4269,54506,291,1198,cc496b85-2d27-48d9-9228-050d143a57fa,DA:09:CE:73:F4:B0,284dd597-d674-4080-af92-6548532d795b
sampler,2020-02-13 09:07:00,2020-02-13 09:07:15,4450,251242,4038,71054,412,1198,5168b539-262b-4019-8544-8292140f10ce,1E:54:9B:85:3D:F6,d7e1f0d7-7c71-4b7d-aa98-690663745340
sampler,2020-02-13 09:06:59,2020-02-13 09:07:15,3930,41704,4166,176492,236,1198,4acf16ef-93f2-43a3-bea0-1b8e0e0c96ca,9A:3F:6D:D0:95:A0,a4a8ac74-1fa5-419d-ad1d-eef563b85e91
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4186,85668,4073,80622,113,1198,ab11ba9a-d7e3-4a9b-95f9-09c1513e7101,3E:B6:3E:15:42:CC,1a966cf3-6fcd-46fa-89da-d8828d92ab62
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4370,70998,4107,58492,263,1198,d5a9b096-2567-4ab3-ac7a-7ee1c932d8b4,5E:CC:1E:31:6F:E9,e88881fa-c68c-45c5-bc06-26ac7c49c522
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4394,42620,4749,247914,355,1198,4b211c36-f1a6-4ff8-bd23-3242a048fa02,1E:50:81:60:CE:9B,149058c6-d201-48e4-8cbd-4dfe0ff6f785
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,3923,43018,3950,38132,27,1198,7367f26f-cb83-4caa-934c-3236f3e23a7a,EA:F6:34:E2:C3:7A,38b1598d-8041-43fc-8a23-d0ff444a72a8
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4074,51736,4182,59296,108,1198,09dc7af4-6825-4088-bbf9-e5bd08a76e08,52:F0:95:99:20:AC,c662e44f-61e7-4cfc-a125-105b8caecb40
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4411,53368,4406,96024,5,1198,0348b240-950f-4240-b343-e437fb24a394,B6:4D:68:A2:D0:99,f41bf452-47e0-44ab-aba3-934c08df2b41
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4149,193788,4046,49670,103,1198,f39e5aa0-8344-472e-b3fa-9b101389a86e,86:E2:EC:91:2C:BB,a0b11fae-869f-423f-afdc-e84f6c55f09d
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4439,56950,4416,70980,23,1198,7222bfc3-0f8b-4a10-9820-517640b6556b,0E:C1:5D:AA:C7:C5,4acf5da1-c2eb-446c-adce-373a582f6cd6
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4122,52198,4219,89888,97,1198,22cbde63-5876-4520-81a5-42fe4ebf6a83,C6:30:26:7D:21:0E,388eb389-9e44-44c1-855e-506c84bbc076
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4199,96708,4423,260336,224,1198,5195b6e0-527f-4429-83c2-b6f04279a524,3A:BD:C5:FE:01:69,a91a4a6c-60d7-4c74-b9fa-2a68b50b72a7
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4091,104764,4145,40708,54,1198,f8abdfa0-86a8-4c9b-b4c2-e53da6695247,5A:43:C5:09:0F:F0,f801c479-efae-4b4f-9982-2d67b6dc90dd
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4253,82938,4122,51108,131,1198,191bb7de-4fdb-408b-8a0a-114dedd2ea83,6E:91:11:87:60:29,760740f6-ca75-47fa-9282-8e76a4996bdc
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4493,74710,4343,62878,150,1198,d965343b-fbc4-4ee6-ab88-5a0d4cb77687,4A:DF:CA:F8:A2:A0,cf8296d7-8add-48ca-8d73-95c8dfdbd239
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4350,68144,4797,269832,447,1198,8a02fed7-e435-47aa-9ce0-66f0d5ffa8ee,56:4E:B1:DE:65:11,a3df77f4-05e6-4479-b68f-e30279c80186
sampler,2020-02-13 09:06:59,2020-02-13 09:07:14,4637,87392,4341,64702,296,1198,074b0c23-6384-4d23-a864-05e97eec83c6,AA:7B:B3:62:01:1C,177fb2ec-f0ad-4b51-9626-dbb1991ce56e
