Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3507,45196,3483,47384,24,1198,47b9933c-fe20-4090-b7a2-1fff9c7b9f1b,7E:4F:4B:EA:1A:67,7fd1ba06-7f60-4894-8020-8111e25e32b8
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3581,36024,4051,418550,470,1198,39bb39d4-593c-4bcb-8577-be7619ddc85a,B6:F2:32:BB:5B:4C,630778dd-03ab-4149-9d9f-af0f602fda0a
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3860,93850,3774,85010,86,1198,a23f1bcf-dcbb-4187-8eb6-89d18245beca,46:14:11:59:92:D8,bab0f075-8eee-47b1-a251-5505a47f5e47
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3724,88140,3811,167482,87,1198,ebe5f3d4-9c01-48bd-af4e-bcaf456d6bce,D2:DD:A0:78:C9:66,dcb9fb5f-df89-47cf-9b79-e2ed4742c79a
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3627,40774,3562,37994,65,1198,d39fef20-31f2-4bef-a029-fc46e1460f4e,0E:2D:F9:50:3F:34,63ba261a-2175-4608-b6c5-22357a5bbeba
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3660,28034,6041,2879328,2381,1198,b0efbb0b-3355-4168-bce7-597eee8c497c,82:C8:EC:BF:B5:6B,3ba847e6-dae9-4ad7-9390-a70c9b6c9ce3
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3689,119562,4148,569994,459,1198,5ef84d7a-8848-4174-9dd0-2aa3546b550f,EE:6C:19:D0:09:17,8c8260e2-25a3-4016-ba6a-5827df6b1c7d
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3648,43472,3654,51732,6,1198,a4c5103a-b684-409d-a196-e9ea55a330f5,36:05:02:C5:17:08,143db016-89a8-4f15-86b8-de11b3f94f6e
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3914,362546,3713,96820,201,1198,9169636a-5b06-40e2-a270-6781e3d3c252,3E:57:7E:67:04:59,75595b2d-8e17-4ee3-8b1e-b410933331aa
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3637,33890,3616,36612,21,1198,20681355-5d83-47bc-846a-884011dd573f,A2:C2:64:C1:9B:D6,2174853b-2581-4a2f-b67a-041fbb08c2db
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3841,120102,3809,95412,32,1198,60139e5e-9b87-4b96-aad4-bb514fdc543e,96:B4:D2:82:BF:40,aeb14d16-7d93-4e13-8590-cb70c829b775
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3677,60228,3941,301410,264,1198,1cb191cd-9cd8-4c21-8da7-71584697e9db,22:DA:67:CB:87:22,4e0f6130-1b0b-4691-a10d-a969a2444347
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3627,64012,3709,77074,82,1198,1bdeb41e-ec5f-44d9-8b90-30ccd2bfb349,FE:24:04:01:C5:C3,adae029a-0ca5-4392-8c0f-955cd346f951
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,4048,59152,4413,140520,365,1198,1f334837-aa45-4c5c-8482-692eae173316,62:1A:F8:AC:DF:A4,65255a5a-3d38-4ad3-bd93-f56989ecbae8
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,4148,38966,4349,40422,201,1198,0b8ab398-9243-4e87-8604-76c532b1584e,E2:46:31:E0:97:DF,650f8620-f041-4b41-86b6-d3cc3e386067
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,4086,59076,3952,52746,134,1198,4f3bbdfd-3afc-4f58-b58a-0dbb23421233,02:40:F7:22:4E:08,df643a1a-476a-420f-bada-4874b376695f
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3726,58018,3724,70420,2,1198,27eb065e-278f-4abe-9774-d66f41837a44,5A:CC:01:10:DE:0F,a9933cf8-9be5-4a44-946a-bfa3a9802ee4
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3805,82982,5208,1669716,1403,1198,411c568f-3786-4952-8b8c-2d84ea11a8ea,4A:20:6E:D6:95:61,b882d946-6745-4b96-8383-be5dfc2a45de
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3575,58660,3661,91404,86,1198,fc5b5a16-283e-40d1-a6fc-601acf19fbdd,82:7F:7E:10:3E:94,72309b75-d6d9-4b5a-ad4c-3241618a952c
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3777,133674,3592,30366,185,1198,32992a2f-d417-433a-81af-3275b67f0270,56:D0:DC:44:90:12,72bbfae9-55aa-4ff4-be76-7de36fcfe6f1
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,5136,1641352,4827,908588,309,1198,3b656602-ac4f-4235-9925-a873618af23d,62:A1:E4:74:36:B9,929ac554-3313-4571-9f54-0c66b4ac4bb3
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,4708,82488,4664,50926,44,1198,93afacd7-ddfb-464c-9c2d-3b7819004d61,72:BC:27:90:A0:B2,58eb2fbc-f78e-4040-a50d-ac0033437135
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3897,37634,3927,52490,30,1198,05b14b15-5116-41ec-83be-b5d02007dae4,1A:B6:DC:5F:63:12,324e8c93-db5b-4988-94eb-55c82461758f
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,4154,430230,3921,49288,233,1198,57886d51-8c65-4155-b39a-67e9915d0447,16:D7:B7:0B:F9:F5,501a0c3d-f055-47a9-b9ea-f66957a6c069
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,4401,310856,4166,85784,235,1198,4fee54ab-8e5d-4882-a55a-92a6c6a2bd7e,76:0E:D2:26:D7:11,dc4bc80a-ffdc-4125-bf15-b64aace46cac
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3835,122730,3694,116952,141,1198,480d514f-e2da-4faf-9416-5eb94a6f61ad,2A:5D:5A:B9:FC:11,f0b2e8d9-4218-46de-a55b-98509b3d2548
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3607,70494,4234,512842,627,1198,e6593fda-fcbd-4dbb-9677-972f001d1408,EA:A8:C4:5D:75:C5,c8c04be1-6507-4f7c-87a0-59f77fd9917e
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3785,36386,4453,464344,668,1198,f0bee816-f0e0-4f1a-8182-2f03ef14fd40,B6:2E:6F:A9:01:37,e817e0b7-cf46-427f-8677-7d6efb989c2f
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3585,36570,3701,36866,116,1198,dcc1f9b8-7004-4040-af80-f31870411ede,32:D0:A2:05:03:73,282d8605-f00e-407d-8b5e-aed9f14423fd
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,3569,27970,3584,27496,15,1198,8a991c49-369d-41d1-a1c0-49765e9590a4,16:11:EF:52:BA:54,e453d110-9634-42c5-83c1-e6a722c65b61
sampler,2020-02-13 22:12:55,2020-02-13 22:13:10,4145,48744,3874,97190,271,1198,2a278636-869e-4550-be88-acabd9b3ea18,96:BA:90:1C:8F:19,257a7c58-4e23-4fe8-be14-93a7b8b89b68
