Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4096,54882,7742,3252670,3646,1198,ba485427-ff7a-4e0f-a66a-5aa5ae0a09dc,22:57:69:D4:01:8A,93f36722-393f-49af-9d4a-1299ba9f79b6
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4246,74364,6685,1852682,2439,1198,e325bdb5-7ccd-498b-bf3e-757f010af15d,AE:47:01:12:DA:48,c813c001-9824-44ba-9890-b02bb75febec
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4052,78318,4360,53042,308,1198,86a6d718-5815-4622-bbce-a331e94547da,A2:5B:B5:69:11:97,91b7d557-caa8-4a7a-8bd8-9031a910875c
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4254,87172,4508,64328,254,1198,95cda24c-24dd-495a-b1f3-790ca7bcdb08,E6:BF:F5:11:54:22,408a05ef-2c70-4ac9-ad34-a02f4544300b
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4388,115046,5107,64040,719,1198,e90d3e8b-b029-41ed-9fc9-e2645db22b9f,7A:C6:07:D0:6D:C2,a6580d8f-b11a-4bd4-b13e-29e8969776ef
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4036,91680,4710,112482,674,1198,26ff9be9-e7cc-49ce-ba57-9ddbb2dfd47d,86:A6:2F:E8:0B:1B,e34ebc7f-83da-42d2-9f64-1af1326a055c
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4517,74398,5750,312672,1233,1198,8b1ecf22-65c4-4f28-ab89-8fa8ed42ca0d,FA:98:EA:0E:37:D4,89f78b3e-f416-486e-960c-38531668b480
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4356,83174,4993,145114,637,1198,25f02c06-f860-4a5a-93a4-68f2ca208919,F2:55:ED:5E:46:68,a30d79be-5b20-4117-8506-fad371689600
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4199,63750,5098,108572,899,1198,7da2fee2-cc24-4a02-968e-08d4809f8309,B2:C8:99:8F:17:93,2a207ebc-0105-47c7-b572-721401743bab
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4436,82638,5245,116808,809,1198,c46c0ef2-3dfe-4f54-bff6-8af83ed91099,36:CD:94:7E:CB:BB,daf92737-1549-4253-94a8-5cc3161fbae4
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,3857,61460,4964,65794,1107,1198,b01f47d6-c554-4bb4-92bb-7199fa5fb15e,6A:3F:70:75:75:64,baf56662-8538-4cf7-9712-8b854e9b0913
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4503,322812,5085,116694,582,1198,6211d5be-1051-497c-bd13-412663865c46,0A:A2:B8:DA:14:48,a2cc21a8-1438-4322-851c-0586bdd6b803
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,14146,12049928,5375,288076,8771,1198,f5e9fe4e-b61f-4322-b8aa-b143723da7c9,5A:34:D3:D8:38:31,77b038a5-fe15-46bf-90ac-0d9efdfacbd8
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4410,70576,4905,58024,495,1198,9664392f-430f-4bd6-9ca0-cb8977b22aee,52:6B:81:6D:00:65,9fe7a346-85cf-455a-92b5-aceaba7d4cde
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4257,89098,5325,251664,1068,1198,46c3c965-15c6-474b-a797-62f59256717d,6A:F8:56:16:D2:4D,bb05176a-de7b-4174-9de1-c2848e1708f2
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4390,89518,4874,76774,484,1198,07b1a131-4d7c-4706-a059-87ec3065ea9c,0E:6F:C2:F0:27:8C,c61be7ff-01c4-44c6-a2a7-bc2831a2d5cb
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4274,52352,6512,72820,2238,1198,e2f70f36-e0ff-4717-b0cd-cfff4944a9a9,82:8C:E1:27:3A:CC,bbbcc555-376e-4b34-ac99-f68022c2da62
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4271,51738,4494,46086,223,1198,3957696e-3fee-48b6-a207-b4ba1225bd33,E6:20:48:90:1E:92,1b9d4818-0111-4ac3-b6b6-178b29353553
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4148,66198,3900,54932,248,1198,abfc6a64-1d25-4c53-a29f-f812842a2b5e,BA:A8:E4:6B:66:48,eabd629e-91ea-4cea-bcd8-0844e7571042
sampler,2020-02-13 09:01:29,2020-02-13 09:01:44,4193,49394,4517,95490,324,1198,34796918-b701-4fa1-b3da-61538fd3f056,52:E1:2A:F1:8E:05,d5dcb93c-fda5-436b-a0bb-e46f8638dd17
