Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 5,Phase 1,Phases,Start Time,Phase 4,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/08-20-13-49/log,8fc44b56-7f94-4682-8978-557109ec9eeb,4E:A6:86:52:74:C2,861,861,861,861,5,2020-08-20 20:50:00,861,2020-08-20 20:51:17,861,a3424bb6-cf82-4556-8413-34339217585c,1,,-,-
out/08-20-13-49/log,73dbcc24-9e9a-471e-b17c-9d09cfdf70b1,52:76:A4:C7:BE:D0,292,292,292,292,5,2020-08-20 20:50:03,292,2020-08-20 20:51:16,292,cc956f90-8c80-45c1-9f93-0a5d419b714e,1,,-,-
out/08-20-13-49/log,851ef170-3c67-4157-beda-dd3a378a21af,7E:2C:79:49:53:61,849,897,849,849,5,2020-08-20 20:49:56,932,2020-08-20 20:51:17,849,1ac98e97-3e0f-4146-b75d-10560ef51faa,1,,-,-
out/08-20-13-49/log,4a00aac1-8d0a-4630-a4d4-3d5dbd98c441,72:9C:17:25:74:35,156,211,618,156,5,2020-08-20 20:50:09,219,2020-08-20 20:51:16,156,f18b4a2a-f772-4ae4-b0b8-af750468aa45,1,,-,-
out/08-20-13-49/log,9dc43417-0a7b-4709-9ad9-6b7d5ba8a319,E6:CD:3E:79:EF:19,851,851,851,851,5,2020-08-20 20:49:57,851,2020-08-20 20:51:17,851,e49a3d22-bcc0-4a0d-8d5e-af77b9949775,1,,-,-
out/08-20-13-49/log,c7e4c9b3-f241-4f69-b285-ef09d9a4d5ae,B2:58:98:33:12:13,594,594,594,594,5,2020-08-20 20:50:09,594,2020-08-20 20:51:16,594,c8bbde07-c521-47c9-a09b-dcb79a5554ad,1,,-,-
out/08-20-13-49/log,770318b4-7abc-458d-bb20-2d002517ce59,F6:D0:A9:31:14:24,649,649,649,649,5,2020-08-20 20:49:56,649,2020-08-20 20:51:17,649,6ad85b7d-5833-4632-8fb6-8886135149e8,1,,-,-
out/08-20-13-49/log,bfdc9ccb-69b8-4ef7-9ae6-2477fdc96b17,3E:E7:3E:29:F4:6B,399,399,399,399,5,2020-08-20 20:50:14,399,2020-08-20 20:51:17,399,dd71ac50-b05b-4b7f-82f2-fd7ffa82689d,1,,-,-
out/08-20-13-49/log,1df7ed59-c01b-4485-a3a1-7f84d0e6ca5b,12:9E:AE:90:DA:2D,525,525,525,525,5,2020-08-20 20:49:56,525,2020-08-20 20:51:17,525,43e2d853-974f-45d3-9c71-b5ee1056d0d1,1,,-,-
out/08-20-13-49/log,a3e45631-a464-4bc7-abfb-b2c468b2ac72,FE:44:9C:C4:0B:01,232,232,232,232,5,2020-08-20 20:50:07,232,2020-08-20 20:51:16,232,755888a2-8a52-4bb3-8a69-7929bbd30fdd,1,,-,-
