Id,RefDist,ClusterDist
10,6.0,4.67
92,5.67,2.0
436,0.0,0.0
82,5.33,2.67
7,5.0,4.67
368,4.0,3.33
775,3.0,2.0
135,3.0,4.67
333,2.67,2.67
195,3.67,4.0
192,2.67,5.33
26,3.33,2.0
61,5.67,2.0
351,0.0,0.0
726,1.33,2.67
748,2.67,2.67
929,2.0,1.33
587,1.33,2.0
86,3.67,4.0
622,2.0,4.0
499,0.0,0.0
159,4.33,4.0
419,1.0,2.0
534,4.33,3.33
756,1.33,2.0
281,1.67,2.67
6,2.33,2.0
65,1.0,2.0
744,3.33,5.33
616,3.67,5.33
942,0.0,0.0
627,0.0,0.0
471,4.33,4.67
75,4.0,5.33
608,1.33,2.67
686,0.33,0.67
47,3.67,4.67
358,3.0,4.67
711,0.0,0.0
295,4.33,4.0
752,5.33,2.67
502,7.0,4.0
434,3.0,4.0
347,3.33,3.33
237,1.33,2.67
383,4.0,5.33
108,0.0,0.0
315,5.0,5.33
858,0.0,0.0
443,2.0,4.0
954,2.33,4.67
119,6.67,5.33
318,7.67,2.0
284,5.67,5.33
9,0.0,0.0
8,6.33,4.0
186,3.67,1.33
813,0.0,0.0
481,1.67,2.67
980,0.67,1.33
943,2.33,3.33
454,4.67,2.67
527,5.0,4.67
691,3.33,3.33
179,6.0,5.33
80,3.33,5.33
846,1.67,3.33
126,4.0,5.33
361,6.67,2.0
54,1.33,2.67
988,1.0,2.0
11,2.0,2.0
632,3.33,4.67
777,1.33,2.67
458,6.0,4.67
822,1.33,2.67
757,4.33,5.33
523,3.33,4.67
432,5.33,6.67
185,5.67,3.33
584,3.33,3.33
268,2.33,2.0
529,0.0,0.0
904,1.33,2.67
800,0.0,0.0
816,3.33,4.0
497,3.0,0.0
32,8.0,2.67
401,4.67,4.67
48,2.67,2.67
144,4.33,4.0
328,4.67,6.0
636,6.0,4.67
927,0.0,0.0
37,4.33,3.33
390,4.0,4.67
609,2.0,2.67
27,3.67,4.0
343,4.0,6.0
248,6.0,5.33
357,4.0,4.0
446,5.67,6.0
34,0.0,0.0
63,4.67,5.33
801,0.0,0.0
740,5.0,5.33
557,4.33,4.0
384,3.67,2.0
110,2.67,4.67
414,5.67,5.33
445,1.33,2.67
430,5.33,2.0
437,6.0,4.67
81,4.0,4.0
713,2.33,4.67
926,0.0,0.0
325,6.0,4.67
45,2.33,3.33
305,4.67,1.33
275,4.33,2.67
755,4.33,6.0
620,3.67,4.0
104,3.67,4.67
987,0.67,1.33
765,1.67,3.33
67,3.33,4.67
398,2.33,2.67
818,3.33,3.33
615,4.0,1.33
191,0.0,0.0
98,5.33,6.0
206,4.33,4.67
142,6.0,4.0
411,5.33,4.67
337,4.67,6.0
585,7.33,0.67
525,6.33,4.0
39,6.67,2.67
