Logs,Boot ID,MAC Address,Bit-0 Sample,Bit-1 Sample,Base Sample,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/09-09-22-56/log,cece71cc-9ab1-491f-98da-5ac91179c8dd,C2:7A:28:8E:2C:B0,out/09-09-22-56/bit0_samples71,out/09-09-22-56/bit1_samples71,out/09-09-22-56/base_samples71,71,1,2020-09-10 05:56:32,2020-09-10 05:57:11,71,05d394b1-e514-4c1e-a999-f659ac03b72d,1,
out/09-09-22-56/log,7b8f7715-d3dd-40b5-a01d-5dc1cba36a39,82:FF:AC:9D:68:ED,out/09-09-22-56/bit0_samples22,out/09-09-22-56/bit1_samples22,out/09-09-22-56/base_samples22,28,1,2020-09-10 05:56:32,2020-09-10 05:57:10,22,e0324332-23ab-4257-a37a-9dd8b6cd14af,1,
out/09-09-22-56/log,d2c074cf-8d62-48ec-87b6-dc18b1dbf14d,F2:B2:69:8E:CD:D8,out/09-09-22-56/bit0_samples88,out/09-09-22-56/bit1_samples88,out/09-09-22-56/base_samples88,92,1,2020-09-10 05:56:32,2020-09-10 05:57:10,88,18ec028c-2273-4e65-8bbb-ea91632ba8ff,1,
out/09-09-22-56/log,44159729-d89f-487b-9dd6-9b8f1942ee06,B2:F6:2B:AC:21:C5,out/09-09-22-56/bit0_samples10,out/09-09-22-56/bit1_samples10,out/09-09-22-56/base_samples10,10,1,2020-09-10 05:56:32,2020-09-10 05:57:10,10,191a8e09-762e-4232-b7c8-badaf716edeb,1,
out/09-09-22-56/log,56b2fb6f-ca77-4898-9d98-4fb7b5bc0489,92:2D:BA:DC:0A:52,out/09-09-22-56/bit0_samples2,out/09-09-22-56/bit1_samples2,out/09-09-22-56/base_samples2,34,1,2020-09-10 05:56:32,2020-09-10 05:57:10,2,d3be745d-cb00-4d2b-ae7c-816e8c03edde,1,
out/09-09-22-56/log,afce7c98-c3d5-4a25-9e90-e4df5b81d64a,C6:41:B3:00:BD:BE,out/09-09-22-56/bit0_samples9,out/09-09-22-56/bit1_samples9,out/09-09-22-56/base_samples9,9,1,2020-09-10 05:56:32,2020-09-10 05:57:11,9,32ef7802-449e-46ed-913d-c708f8e2f245,1,
out/09-09-22-56/log,acb079c5-14f5-48e7-8f1d-b4d6e6ec31c7,F2:52:C4:C8:65:19,out/09-09-22-56/bit0_samples40,out/09-09-22-56/bit1_samples40,out/09-09-22-56/base_samples40,96,1,2020-09-10 05:56:32,2020-09-10 05:57:10,40,6fe4b7ef-da02-40db-83f0-181444600c55,1,
out/09-09-22-56/log,deff9422-d7f6-45ec-a236-d2d791378b79,62:E0:31:9D:B3:B6,out/09-09-22-56/bit0_samples34,out/09-09-22-56/bit1_samples34,out/09-09-22-56/base_samples34,34,1,2020-09-10 05:56:32,2020-09-10 05:57:10,34,5f29adb1-34d5-4d43-b6b0-127bd5e26bc3,1,
out/09-09-22-56/log,22876d0f-9d74-4310-9390-98f312a18b15,7A:6C:50:A9:52:E5,out/09-09-22-56/bit0_samples37,out/09-09-22-56/bit1_samples37,out/09-09-22-56/base_samples37,37,1,2020-09-10 05:56:32,2020-09-10 05:57:11,37,11c8a9d7-9080-4a0b-a09d-2d87fad7c4d4,1,
out/09-09-22-56/log,72cb61cd-7a5a-4078-bf4f-c6089798c19b,72:92:E4:91:4A:DA,out/09-09-22-56/bit0_samples83,out/09-09-22-56/bit1_samples83,out/09-09-22-56/base_samples83,544,1,2020-09-10 05:56:32,2020-09-10 05:57:11,83,c6706140-1ab3-4423-b908-5f965e04278e,1,
out/09-09-22-56/log,f1ede1d4-ccb3-46e6-aba8-d0b3b827f015,4E:9B:72:34:83:65,out/09-09-22-56/bit0_samples64,out/09-09-22-56/bit1_samples64,out/09-09-22-56/base_samples64,64,1,2020-09-10 05:56:32,2020-09-10 05:57:10,64,14a980a3-463f-4804-add6-b2b4548aa69e,1,
out/09-09-22-56/log,17d41734-6350-485d-b4a9-9fcdb5940228,E6:DE:F9:86:48:3B,out/09-09-22-56/bit0_samples100,out/09-09-22-56/bit1_samples100,out/09-09-22-56/base_samples100,100,1,2020-09-10 05:56:32,2020-09-10 05:57:10,100,5faaf8b7-665f-4ec3-b4c4-f8fc72e05676,1,
out/09-09-22-56/log,e12c5470-c01d-4e68-9658-f21e8b74d301,FA:F6:0C:41:B2:03,out/09-09-22-56/bit0_samples89,out/09-09-22-56/bit1_samples89,out/09-09-22-56/base_samples89,90,1,2020-09-10 05:56:32,2020-09-10 05:57:11,89,a4f132d4-61eb-437d-9a57-f66558a1b84d,1,
out/09-09-22-56/log,08d68b4f-f951-4d9c-bd43-78829f879e17,86:B6:1F:87:0D:41,out/09-09-22-56/bit0_samples63,out/09-09-22-56/bit1_samples63,out/09-09-22-56/base_samples63,63,1,2020-09-10 05:56:32,2020-09-10 05:57:11,63,98067e05-5de3-42ba-9231-3567212b85a9,1,
out/09-09-22-56/log,c125280b-6b47-47f8-8e67-7c6579a80c2f,8A:F6:E1:D6:20:5A,out/09-09-22-56/bit0_samples23,out/09-09-22-56/bit1_samples23,out/09-09-22-56/base_samples23,23,1,2020-09-10 05:56:32,2020-09-10 05:57:11,23,31e1fca6-d352-4ed6-bb27-a56b7e02cf95,1,
out/09-09-22-56/log,93a83e3a-a5a8-417f-a2ff-e715e52cb74c,36:89:A9:56:ED:F6,out/09-09-22-56/bit0_samples5,out/09-09-22-56/bit1_samples5,out/09-09-22-56/base_samples5,68,1,2020-09-10 05:56:32,2020-09-10 05:57:11,5,97a0c017-5073-4599-bdce-9d64788b3958,1,
out/09-09-22-56/log,e55af169-ce4f-4419-8d5e-56aa09d97147,62:8E:10:01:0B:EB,out/09-09-22-56/bit0_samples4,out/09-09-22-56/bit1_samples4,out/09-09-22-56/base_samples4,87,1,2020-09-10 05:56:32,2020-09-10 05:57:10,4,54019fc1-f4b3-4fa1-9b1b-26e5a8ea9212,1,
out/09-09-22-56/log,a061a979-5194-47fa-abca-39d213b2c72b,F2:55:23:A2:D2:1F,out/09-09-22-56/bit0_samples14,out/09-09-22-56/bit1_samples14,out/09-09-22-56/base_samples14,14,1,2020-09-10 05:56:32,2020-09-10 05:57:10,14,e6393595-fbd4-4226-9acc-ccebc092b67e,1,
out/09-09-22-56/log,5ab50bd3-1a82-457d-99dc-022e0b021107,1E:38:2F:E4:52:83,out/09-09-22-56/bit0_samples75,out/09-09-22-56/bit1_samples75,out/09-09-22-56/base_samples75,75,1,2020-09-10 05:56:32,2020-09-10 05:57:11,75,3aba76cf-66a2-4efc-b6ad-dd341b2119a0,1,
out/09-09-22-56/log,578b6586-e64e-4e58-90f7-dea6fdc66f28,FA:52:18:73:42:91,out/09-09-22-56/bit0_samples7,out/09-09-22-56/bit1_samples7,out/09-09-22-56/base_samples7,7,1,2020-09-10 05:56:32,2020-09-10 05:57:11,7,e2e2f235-5373-4922-8e90-b4c6a5220bf0,1,
out/09-09-22-56/log,4dc25d78-55cb-43c1-b951-fdf7a1280d77,32:F4:3C:E7:DB:8B,out/09-09-22-56/bit0_samples60,out/09-09-22-56/bit1_samples60,out/09-09-22-56/base_samples60,60,1,2020-09-10 05:56:32,2020-09-10 05:57:10,60,6b4cdfc6-d225-4841-bae2-3bb46a8c39f8,1,
