Logs,Boot ID,MAC Address,Bit-1 Sample,Base Sample,Phase 3,Bit-0 Sample,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/09-09-23-28/log,a815655d-3591-4ada-964a-d28d41c52e37,F6:2F:30:73:98:4E,out/09-09-23-28/bit1_samples18,out/09-09-23-28/base_samples18,18,out/09-09-23-28/bit0_samples18,18,18,3,2020-09-10 06:28:17,2020-09-10 06:29:16,18,0ff2ee16-8c2f-46fc-8677-6477729e8bf1,1,
out/09-09-23-28/log,1fceaa07-7588-4cb2-9ffc-611477e29e6d,D2:A6:89:3E:46:D4,out/09-09-23-28/bit1_samples36,out/09-09-23-28/base_samples36,36,out/09-09-23-28/bit0_samples36,36,36,3,2020-09-10 06:28:22,2020-09-10 06:29:16,36,6bd0dc76-3bad-407a-a9eb-b0f9bb370131,1,
out/09-09-23-28/log,37df6fa6-9361-4dc5-a1ea-17d186e8a340,2A:9D:5C:96:7A:A8,out/09-09-23-28/bit1_samples14,out/09-09-23-28/base_samples14,14,out/09-09-23-28/bit0_samples14,14,14,3,2020-09-10 06:28:22,2020-09-10 06:29:16,14,7cbaf4be-7284-49b7-a068-7722373815a2,1,
out/09-09-23-28/log,bceb9265-89d6-446b-a56f-5166e63eeb0c,8E:BA:E2:6A:9D:B8,out/09-09-23-28/bit1_samples62,out/09-09-23-28/base_samples62,63,out/09-09-23-28/bit0_samples62,80,64,3,2020-09-10 06:28:17,2020-09-10 06:29:16,62,53f8e7ad-ef81-4eca-97b8-6aacdd442d4b,1,
out/09-09-23-28/log,34716b08-5e3d-4db0-9d10-09882909cc48,3E:F8:98:5C:1F:C6,out/09-09-23-28/bit1_samples89,out/09-09-23-28/base_samples89,89,out/09-09-23-28/bit0_samples89,89,89,3,2020-09-10 06:28:17,2020-09-10 06:29:17,89,3edcf059-1fc5-4f94-b338-49f04bb4d8a3,1,
out/09-09-23-28/log,1c798e3d-f128-4aab-8b30-01ff05f8861c,82:20:22:A0:89:10,out/09-09-23-28/bit1_samples88,out/09-09-23-28/base_samples88,88,out/09-09-23-28/bit0_samples88,88,88,3,2020-09-10 06:28:17,2020-09-10 06:29:16,88,2ac828c4-a668-461e-bded-fc258912545e,1,
out/09-09-23-28/log,f08c0461-5c54-4b59-8011-73b60571e074,7E:04:30:13:2F:E6,out/09-09-23-28/bit1_samples81,out/09-09-23-28/base_samples81,81,out/09-09-23-28/bit0_samples81,81,81,3,2020-09-10 06:28:17,2020-09-10 06:29:17,81,eb9cc511-5f2b-46b6-9308-6050b6722c77,1,
out/09-09-23-28/log,141e934f-95ba-45f1-b78a-77cf003b2624,96:AD:33:BC:9E:13,out/09-09-23-28/bit1_samples58,out/09-09-23-28/base_samples58,58,out/09-09-23-28/bit0_samples58,58,58,3,2020-09-10 06:28:17,2020-09-10 06:29:16,58,3c03cd64-23b6-4124-8e5f-7ff1bcd725ae,1,
out/09-09-23-28/log,dd18442c-d314-4eee-9918-06b0a868c923,C6:12:36:E9:47:86,out/09-09-23-28/bit1_samples52,out/09-09-23-28/base_samples52,52,out/09-09-23-28/bit0_samples52,52,52,3,2020-09-10 06:28:17,2020-09-10 06:29:16,52,44562ef4-62ee-43bf-acb8-91b90f3361b6,1,
out/09-09-23-28/log,b3c42e49-d58a-4736-93b9-42eed834011e,AA:A9:FA:0A:A5:E6,out/09-09-23-28/bit1_samples70,out/09-09-23-28/base_samples70,70,out/09-09-23-28/bit0_samples70,70,70,3,2020-09-10 06:28:17,2020-09-10 06:29:16,70,5493788b-b0fc-4318-b5a2-c53ea8d8e37d,1,
out/09-09-23-28/log,ea343a2f-1fec-4611-9439-377bb96bf38b,7E:A3:4D:0D:EA:0F,out/09-09-23-28/bit1_samples60,out/09-09-23-28/base_samples60,60,out/09-09-23-28/bit0_samples60,100,60,3,2020-09-10 06:28:17,2020-09-10 06:29:16,60,c431db73-5752-4b36-88e8-7e13b3203bb1,1,
out/09-09-23-28/log,2e7b3d6b-7765-405e-8334-b736c7ad608c,56:87:0C:38:BD:48,out/09-09-23-28/bit1_samples24,out/09-09-23-28/base_samples24,76,out/09-09-23-28/bit0_samples24,32,78,3,2020-09-10 06:28:17,2020-09-10 06:29:16,24,3b69740d-d29f-4979-9641-e5639254d268,1,
