Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
2486,431,0,9,982,27610,460086,988,6429,4060,0.149452025850586,-21181
2522,439,0,9,1000,22598,501892,989,6428,3901,0.308547822890555,-16170
2485,431,0,6,982,27610,460086,988,12370,5770,0.299558821436455,-15240
2484,431,0,4,982,27610,460086,968,12740,15821,0.311690436912125,-14870
344,48,0,1,984,19482,417066,956,6074,2977,0.313497012478522,-13408
347,48,0,6,984,19482,417066,973,6184,2772,0.317479674384717,-13298
350,48,0,9,984,19482,417066,979,6233,3166,0.319268461515597,-13249
346,48,0,3,984,19482,417066,952,6454,3391,0.327405964823968,-13028
1531,256,0,4,928,18358,331409,1000,6193,2911,0.263787003807155,-12165
1527,256,0,0,928,18358,331409,972,6347,3263,0.269881148619329,-12011
1535,256,0,9,928,18358,331409,980,6759,4173,0.286657522134239,-11599
1534,256,0,7,928,18358,331409,952,6765,5064,0.286925335038181,-11593
443,64,0,4,1000,17631,320159,970,6199,3278,0.259126911547159,-11432
440,64,0,1,1000,17631,320159,991,6226,2998,0.26024822368408,-11405
1410,228,0,4,920,17483,332535,961,6129,3211,0.300668186076766,-11354
802,122,0,9,953,17448,329576,1000,6339,3677,0.298374873441595,-11109
175,23,0,6,949,17140,327214,954,6061,2755,0.297211926335278,-11079
445,64,0,7,1000,17631,320159,966,6576,5577,0.275205215802403,-11055
1197,189,0,6,951,17162,329565,1000,6161,3689,0.303586812844228,-11001
1807,299,0,4,964,17183,325624,990,6209,2800,0.295668378527109,-10974
1030,159,0,9,998,17716,325394,1000,6752,4543,0.287430704100478,-10964
1809,299,0,7,964,17183,325624,960,6220,7539,0.296264733704579,-10963
2215,378,0,9,962,17354,328131,1000,6494,4149,0.304939941180534,-10860
1675,277,0,3,999,16934,315396,937,6091,2956,0.277492875321293,-10843
1808,299,0,6,964,17183,325624,994,6366,3448,0.302636674096914,-10817
1199,189,0,9,951,17162,329565,994,6357,3684,0.312278503152036,-10805
92,12,0,1,964,16655,323164,1000,5851,2143,0.299539137435195,-10804
1277,202,0,9,971,17909,333647,975,7141,5452,0.314888032274662,-10768
2501,434,0,6,1000,16875,319139,939,6115,2842,0.286618970702274,-10760
94,12,0,5,964,16655,323164,985,5943,2657,0.303676674493458,-10712
2763,496,0,9,951,17316,328138,946,6623,5417,0.315255869287651,-10693
1275,202,0,5,971,17909,333647,1000,7255,8403,0.320120515943455,-10654
2511,436,0,9,970,17180,321575,970,6531,4400,0.302672543932823,-10649
1709,282,0,9,957,16919,327960,1000,6276,3601,0.315699635769189,-10643
93,12,0,4,964,16655,323164,977,6015,2662,0.306936798611541,-10640
1806,299,0,2,964,17183,325624,1000,6553,4168,0.311079088030726,-10630
1049,162,0,4,1000,17073,319177,1000,6454,3962,0.293051783401491,-10619
1810,299,0,9,964,17183,325624,958,6567,4575,0.311726261620143,-10616
766,115,0,9,950,16846,328184,1000,6237,4818,0.319376298831281,-10609
1679,277,0,9,999,16934,315396,961,6341,4122,0.288735323150415,-10593
1276,202,0,8,971,17909,333647,965,7329,6123,0.32342476615948,-10580
2089,352,0,2,990,16882,320983,1000,6308,3913,0.300253072791014,-10574
2647,467,0,2,1000,16504,314955,1000,5948,2334,0.289476313862568,-10556
91,12,0,0,964,16655,323164,960,6105,3076,0.311050027446831,-10550
1678,277,0,7,999,16934,315396,989,6387,4349,0.290836634159166,-10547
419,60,0,0,1000,16522,320334,1000,5995,2732,0.298979451466046,-10527
1047,162,0,2,1000,17073,319177,953,6551,4136,0.29748605182333,-10522
2166,367,0,9,961,16807,332375,976,6306,3482,0.327651550908014,-10501
221,30,0,5,997,16644,322183,951,6149,2519,0.30395482598684,-10495
2423,418,0,4,1000,16648,320145,955,6168,2543,0.300853877001966,-10480
2500,434,0,3,1000,16875,319139,1000,6400,4172,0.299589074309631,-10475
446,64,0,8,1000,17631,320159,989,7174,22308,0.303101183812863,-10457
2582,453,0,3,994,16599,321266,963,6153,2436,0.305566817135774,-10446
2351,404,0,0,997,16394,319067,982,5953,2440,0.301749890839333,-10441
739,111,0,4,1000,16598,321457,1000,6158,3623,0.304692149923784,-10440
2441,421,0,9,1000,17316,323575,974,6878,5510,0.3080009985176,-10438
1474,242,0,0,991,16482,319356,962,6047,2700,0.303928931186952,-10435
1898,316,0,7,1000,16394,318744,1000,5966,2034,0.301132193530323,-10428
2353,404,0,3,997,16394,319067,988,5968,1566,0.302436118156519,-10426
2502,434,0,9,1000,16875,319139,1000,6453,4260,0.302041385824901,-10422
342,47,0,9,970,16875,324760,951,6464,3655,0.31835348233489,-10411
1478,242,0,9,991,16482,319356,1000,6079,2667,0.305412348228908,-10403
334,46,0,6,990,16349,321066,996,5948,2137,0.308325615563774,-10401
337,46,0,9,990,16349,321066,979,5965,2686,0.309123031058484,-10384
1442,234,0,9,972,16963,325056,940,6593,4709,0.320225591839349,-10370
1959,327,0,4,994,16817,317164,978,6482,3782,0.304539858570901,-10335
578,83,0,9,964,16432,322852,988,6098,2984,0.320585091584714,-10334
336,46,0,8,990,16349,321066,943,6016,2612,0.311503667198921,-10333
424,60,0,9,1000,16522,320334,954,6199,3405,0.30844775948122,-10323
95,12,0,6,964,16655,323164,948,6336,3794,0.321769815038495,-10319
98,12,0,9,964,16655,323164,955,6338,3687,0.321861458638854,-10317
335,46,0,7,990,16349,321066,1000,6048,2711,0.3130040148648,-10301
742,111,0,9,1000,16598,321457,1000,6312,3951,0.311883322673363,-10286
2355,404,0,6,997,16394,319067,970,6120,2547,0.309545516854171,-10274
1961,327,0,7,994,16817,317164,1000,6546,4573,0.307557752951954,-10271
1518,252,0,9,960,17000,326354,969,6768,17858,0.332298798623661,-10232
422,60,0,7,1000,16522,320334,957,6295,3595,0.31296925479807,-10227
97,12,0,8,964,16655,323164,969,6497,4435,0.329385161045387,-10158
223,30,0,7,997,16644,322183,936,6493,3709,0.320089875935414,-10151
1379,222,0,9,967,17853,328739,985,7706,10934,0.337637076376054,-10147
1045,161,0,9,1000,16577,321702,961,6463,4367,0.320418594435199,-10114
2356,404,0,9,997,16394,319067,1000,6296,4048,0.317925557263471,-10098
2542,444,0,9,992,16653,320930,975,6584,4511,0.323359236160798,-10069
225,30,0,9,997,16644,322183,957,6580,4059,0.324258762964716,-10064
1477,242,0,8,991,16482,319356,960,6418,4876,0.321475737928875,-10064
1476,242,0,3,991,16482,319356,961,6426,3521,0.321832549912443,-10056
2093,352,0,9,990,16882,320983,995,6826,5552,0.324576853149539,-10056
1462,239,0,9,1000,16316,319387,939,6266,2857,0.319970553612529,-10050
1262,200,0,4,1000,16210,319240,970,6163,4091,0.319911457143794,-10047
2585,453,0,9,994,16599,321266,946,6552,4481,0.324436540817995,-10047
447,64,0,9,1000,17631,320159,985,7590,21016,0.322604082709822,-10041
533,76,0,9,998,16708,321247,967,6669,4551,0.323821325250584,-10039
96,12,0,7,964,16655,323164,967,6646,9900,0.336705607606713,-10009
1962,327,0,9,994,16817,317164,1000,6819,5380,0.320605920438245,-9998
2425,418,0,9,1000,16648,320145,942,6655,5175,0.323914043277076,-9993
1265,200,0,9,1000,16210,319240,977,6318,3582,0.327420780975133,-9892
689,102,0,3,1000,16887,315617,997,7003,5028,0.322323627249087,-9884
1899,316,0,9,1000,16394,318744,948,6512,4385,0.327176024345546,-9882
423,60,0,8,1000,16522,320334,947,6733,14916,0.334654882959986,-9789
2650,467,0,9,1000,16504,314955,993,6724,6231,0.326457510019662,-9780
1052,162,0,9,1000,17073,319177,981,7413,9836,0.338995650535891,-9660
693,102,0,9,1000,16887,315617,1000,7356,6141,0.339929117068943,-9531
