GUID,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Bit-1 Sample,Predecessors,Warm Start
09-13-23-50-85,1,85,2e5db509-f505-4fc7-a67c-653be3b49523,2020-09-14 06:50:13,1,85,out/09-13-23-50/log,out/09-13-23-50/base_samples85,0,out/09-13-23-50/bit0_samples85,,0.603308941676469,B2:C6:E9:6C:A6:6D,2020-09-14 06:51:03,63d749b7-d8e8-428a-b532-3c630794bc47,out/09-13-23-50/bit1_samples85,09-13-23-47-72,Yes
09-13-23-50-20,1,20,5ed886d2-c0df-41b6-b6b4-be373c63de09,2020-09-14 06:50:13,1,20,out/09-13-23-50/log,out/09-13-23-50/base_samples20,0,out/09-13-23-50/bit0_samples20,,0.117782893920061,0A:5F:9C:B6:5C:A8,2020-09-14 06:51:03,12218c9b-2a2b-454b-9664-95c56d6bb34f,out/09-13-23-50/bit1_samples20,09-13-23-47-34,Yes
09-13-23-50-57,1,57,eaea8fe3-5bb1-46fd-a2f7-53f20655c78f,2020-09-14 06:50:13,1,57,out/09-13-23-50/log,out/09-13-23-50/base_samples57,0,out/09-13-23-50/bit0_samples57,,0.377442848772335,4A:C4:E7:BA:33:58,2020-09-14 06:51:03,f8c37d77-66da-4e90-a4ae-8af660007234,out/09-13-23-50/bit1_samples57,09-13-23-47-29,Yes
09-13-23-50-2,1,2,1043f5ee-a31b-4782-a070-6a0a7ee81b50,2020-09-14 06:50:13,1,2,out/09-13-23-50/log,out/09-13-23-50/base_samples2,0,out/09-13-23-50/bit0_samples2,,0.183204974764129,9A:C1:09:21:1F:B2,2020-09-14 06:51:03,f65d2bf2-4821-4bef-af23-b245439c90a5,out/09-13-23-50/bit1_samples2,09-13-23-47-99,Yes
09-13-23-50-8,1,8,ba77f9bf-8240-48d6-a913-efec79ae7413,2020-09-14 06:50:13,1,8,out/09-13-23-50/log,out/09-13-23-50/base_samples8,0,out/09-13-23-50/bit0_samples8,,0.31847706294773,E6:47:CE:94:54:8B,2020-09-14 06:51:03,37b97774-ddd9-46e4-a15f-3e98e2ae014c,out/09-13-23-50/bit1_samples8,09-13-23-47-87,Yes
09-13-23-50-66,1,66,94e5ce3c-b782-4fc9-9750-a693000c411f,2020-09-14 06:50:13,1,66,out/09-13-23-50/log,out/09-13-23-50/base_samples66,0,out/09-13-23-50/bit0_samples66,,0.00562113751948218,5E:D3:00:26:8B:82,2020-09-14 06:51:03,a859a3d9-13a0-4632-b85e-151bffa51326,out/09-13-23-50/bit1_samples66,09-13-23-47-95,Yes
09-13-23-50-58,1,58,17683a80-73e4-4d34-a539-eb3ddc420644,2020-09-14 06:50:13,1,58,out/09-13-23-50/log,out/09-13-23-50/base_samples58,0,out/09-13-23-50/bit0_samples58,,0.939873702428267,8A:4E:53:A5:DF:CD,2020-09-14 06:51:03,67152ff8-bace-429f-9f78-d6dc5bbad201,out/09-13-23-50/bit1_samples58,09-13-23-47-15,Yes
09-13-23-50-69,1,69,9034df59-a7cc-4721-a916-2162df8000c2,2020-09-14 06:50:13,1,69,out/09-13-23-50/log,out/09-13-23-50/base_samples69,0,out/09-13-23-50/bit0_samples69,,0.340951067468994,16:76:89:57:A3:A5,2020-09-14 06:51:03,6621b522-9fdd-4ec0-8fdb-3f45c2409dc2,out/09-13-23-50/bit1_samples69,09-13-23-47-78,Yes
09-13-23-50-53,1,53,d77e4ac8-1670-4b80-ac07-6cb6f1f36158,2020-09-14 06:50:13,1,53,out/09-13-23-50/log,out/09-13-23-50/base_samples53,0,out/09-13-23-50/bit0_samples53,,0.0367288222042229,12:F1:32:BD:DB:E2,2020-09-14 06:51:03,5059b91b-9758-42f6-bc43-13d537b2f535,out/09-13-23-50/bit1_samples53,09-13-23-47-90,Yes
09-13-23-50-21,1,21,76098ed4-0ce0-4ae0-b656-fa3297ba035c,2020-09-14 06:50:13,1,21,out/09-13-23-50/log,out/09-13-23-50/base_samples21,0,out/09-13-23-50/bit0_samples21,,0.193466577196154,9E:C7:C2:8B:47:E7,2020-09-14 06:51:03,b5dc4d2e-7924-4117-ba7b-4c155e63c33c,out/09-13-23-50/bit1_samples21,09-13-23-47-44,Yes
09-13-23-50-64,1,64,bd94698b-72ba-4d40-ac61-06b049a660e7,2020-09-14 06:50:13,1,64,out/09-13-23-50/log,out/09-13-23-50/base_samples64,0,out/09-13-23-50/bit0_samples64,,0.0697786401566623,D6:DF:99:8D:62:6B,2020-09-14 06:51:03,3a25f013-2c4d-45af-82e9-14332cca1396,out/09-13-23-50/bit1_samples64,09-13-23-47-91,Yes
09-13-23-50-36,1,36,de3ea7d3-de42-4941-b13b-0dff5731b481,2020-09-14 06:50:13,1,36,out/09-13-23-50/log,out/09-13-23-50/base_samples36,0,out/09-13-23-50/bit0_samples36,,0.408876277890202,7E:9F:41:9E:4C:C7,2020-09-14 06:51:03,ab53ca46-6f69-4f19-ab53-b16911db367f,out/09-13-23-50/bit1_samples36,09-13-23-47-49,Yes
09-13-23-50-99,1,99,29a9e549-a487-4b2f-a0ba-c587d9b2d559,2020-09-14 06:50:13,1,99,out/09-13-23-50/log,out/09-13-23-50/base_samples99,0,out/09-13-23-50/bit0_samples99,,0.534752169779953,82:E2:34:48:BA:03,2020-09-14 06:51:03,f833edad-bd2c-4822-a3a7-34ed22f83b68,out/09-13-23-50/bit1_samples99,09-13-23-47-5,Yes
09-13-23-50-94,1,94,8a5e8c04-c0ec-4ba5-82ef-cfb0148266b3,2020-09-14 06:50:13,1,94,out/09-13-23-50/log,out/09-13-23-50/base_samples94,0,out/09-13-23-50/bit0_samples94,,0.201700700069196,FE:53:B3:CB:2C:C7,2020-09-14 06:51:03,cc8663ca-4929-4ca1-9bea-b8553c1cd51d,out/09-13-23-50/bit1_samples94,09-13-23-47-67,Yes
09-13-23-50-11,1,11,d39db31c-dfdb-4bf7-939c-ec39c3fc0a01,2020-09-14 06:50:13,1,11,out/09-13-23-50/log,out/09-13-23-50/base_samples11,0,out/09-13-23-50/bit0_samples11,,0.586362107008872,4A:FE:7C:44:AE:8C,2020-09-14 06:51:03,6656ec59-9d28-4595-9962-7b131279d971,out/09-13-23-50/bit1_samples11,09-13-23-47-2,Yes
09-13-23-50-14,1,14,70ea5154-19bb-4f15-b2f5-f3b165ea6708,2020-09-14 06:50:13,1,14,out/09-13-23-50/log,out/09-13-23-50/base_samples14,0,out/09-13-23-50/bit0_samples14,,0.326154904053968,56:9B:4B:07:1C:12,2020-09-14 06:51:03,066c2652-6af3-421a-92c4-ed9941e5c581,out/09-13-23-50/bit1_samples14,09-13-23-47-42,Yes
09-13-23-50-80,1,80,98b54df0-db40-4547-9cdb-8d3b6a2c9d94,2020-09-14 06:50:13,1,80,out/09-13-23-50/log,out/09-13-23-50/base_samples80,0,out/09-13-23-50/bit0_samples80,,0.0622843640981768,9A:35:BE:5F:7A:09,2020-09-14 06:51:03,108cc038-f124-4acf-ac84-327bf1589a64,out/09-13-23-50/bit1_samples80,09-13-23-47-63,Yes
09-13-23-50-19,1,19,4dd6ffe9-8b20-405f-8d8f-8cf0739c1d01,2020-09-14 06:50:13,1,19,out/09-13-23-50/log,out/09-13-23-50/base_samples19,0,out/09-13-23-50/bit0_samples19,,0.137643828343205,8A:75:35:9F:BB:6D,2020-09-14 06:51:03,a2f1bb94-a168-4f1c-9b75-f2bc8b905693,out/09-13-23-50/bit1_samples19,09-13-23-47-35,Yes
09-13-23-50-12,1,12,739e51cd-fc4b-42b3-991b-6feb2887f9c1,2020-09-14 06:50:13,1,12,out/09-13-23-50/log,out/09-13-23-50/base_samples12,0,out/09-13-23-50/bit0_samples12,,0.221558904140703,16:3E:3C:AA:9C:DA,2020-09-14 06:51:03,1f1ad724-93aa-4f55-8f2a-4158e4a8ecfa,out/09-13-23-50/bit1_samples12,09-13-23-47-70,Yes
09-13-23-50-96,1,96,ce9916f4-c4c3-4135-b71b-f89eb2cef172,2020-09-14 06:50:13,1,96,out/09-13-23-50/log,out/09-13-23-50/base_samples96,0,out/09-13-23-50/bit0_samples96,,0.128542811975355,B2:CF:36:8D:EC:C0,2020-09-14 06:51:03,1326c085-b0fa-4691-b6cd-f85ef2596cfd,out/09-13-23-50/bit1_samples96,09-13-23-47-37,Yes
09-13-23-50-89,1,89,a918721e-ba1f-4051-9817-284f99114a5d,2020-09-14 06:50:13,1,89,out/09-13-23-50/log,out/09-13-23-50/base_samples89,0,out/09-13-23-50/bit0_samples89,,0.322524862245762,E2:3C:6C:47:3D:82,2020-09-14 06:51:03,96fab46d-022a-40e9-801e-e7c5cf811d66,out/09-13-23-50/bit1_samples89,09-13-23-47-30,Yes
09-13-23-50-27,1,27,76d81a04-fbf2-40ca-9524-cc27b3f7c80d,2020-09-14 06:50:13,1,27,out/09-13-23-50/log,out/09-13-23-50/base_samples27,0,out/09-13-23-50/bit0_samples27,,0.34646184513763,DE:CD:2E:BE:87:02,2020-09-14 06:51:03,436c1b37-c151-4211-8461-63b1c432eab6,out/09-13-23-50/bit1_samples27,09-13-23-47-22,Yes
09-13-23-50-81,1,81,89520c08-8acd-490d-878e-27cca6696b5b,2020-09-14 06:50:13,1,81,out/09-13-23-50/log,out/09-13-23-50/base_samples81,0,out/09-13-23-50/bit0_samples81,,0.335378791435031,76:27:BB:89:21:34,2020-09-14 06:51:03,41a57c17-2255-452e-9618-ef36ff4a3f34,out/09-13-23-50/bit1_samples81,09-13-23-47-53,Yes
09-13-23-50-51,1,51,8b3b31a3-b226-4cf1-92df-b5e2920fcc64,2020-09-14 06:50:13,1,51,out/09-13-23-50/log,out/09-13-23-50/base_samples51,0,out/09-13-23-50/bit0_samples51,,0.224759073768612,96:43:2D:67:B4:61,2020-09-14 06:51:03,6888f0ea-e264-4968-9491-ce38f11a6a82,out/09-13-23-50/bit1_samples51,09-13-23-47-74,Yes
09-13-23-50-77,1,77,2d12aa7f-be66-46cb-a62f-1608b3382650,2020-09-14 06:50:13,1,77,out/09-13-23-50/log,out/09-13-23-50/base_samples77,0,out/09-13-23-50/bit0_samples77,,0.0234522532094162,DA:02:EF:FB:43:B5,2020-09-14 06:51:03,903b0042-df0c-4afa-b79e-b8f8a8b80f46,out/09-13-23-50/bit1_samples77,09-13-23-47-31,Yes
09-13-23-50-76,1,76,0e5ce518-eac4-4a4d-8db8-134b0ba320e5,2020-09-14 06:50:13,1,76,out/09-13-23-50/log,out/09-13-23-50/base_samples76,0,out/09-13-23-50/bit0_samples76,,0.857074452894867,62:F4:9B:3B:04:BB,2020-09-14 06:51:03,bffec55b-9697-4e02-9ef4-fff5684f09ac,out/09-13-23-50/bit1_samples76,09-13-23-47-98,Yes
09-13-23-50-60,1,60,7f38a093-daf0-404b-8e1e-63312ebd418d,2020-09-14 06:50:13,1,60,out/09-13-23-50/log,out/09-13-23-50/base_samples60,0,out/09-13-23-50/bit0_samples60,,0.323805390388171,A6:BA:CA:10:F1:7F,2020-09-14 06:51:03,6ac81fe6-a114-48d0-889a-d0c7ff2ddf81,out/09-13-23-50/bit1_samples60,09-13-23-47-100,Yes
