GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
10-05-23-03-911,1,911,4137cebe-7092-4e29-a961-235923337ed0,2020-10-06 06:05:08,60ce5f45-9fe0-488e-b93c-efab58ed1c7a,2020-10-06 06:03:30,3,911,911,911,out/10-05-23-03/log,out/10-05-23-03/base_samples911,,out/10-05-23-03/bit1_samples911,out/10-05-23-03/bit0_samples911,0,,1.0683874074005,CA:CC:3C:A2:23:F0,No
10-05-23-03-720,1,720,e27363e7-274e-49d0-bdbf-b96078b882ee,2020-10-06 06:05:08,7d78ea7f-6ecc-4a8e-b798-99c7c36bcbcb,2020-10-06 06:03:11,3,720,720,720,out/10-05-23-03/log,out/10-05-23-03/base_samples720,,out/10-05-23-03/bit1_samples720,out/10-05-23-03/bit0_samples720,0,,0.102380459298638,52:82:73:36:4A:60,No
10-05-23-03-955,1,955,0f7892b3-e6bc-43cc-b531-47c5ab0a7a29,2020-10-06 06:05:08,2c50ebe5-b4c8-4f8f-b773-9a59e27d5494,2020-10-06 06:03:19,3,986,986,986,out/10-05-23-03/log,out/10-05-23-03/base_samples955,,out/10-05-23-03/bit1_samples955,out/10-05-23-03/bit0_samples955,5.23857518562516,,0.439711587435446,72:7D:13:1D:56:8E,No
10-05-23-03-576,1,576,adde80f6-6919-45fe-a6a2-e84a5fa1f1bb,2020-10-06 06:05:08,0b6d480d-8940-4b97-8557-3e2041caaaf5,2020-10-06 06:03:09,3,997,997,997,out/10-05-23-03/log,out/10-05-23-03/base_samples576,,out/10-05-23-03/bit1_samples576,out/10-05-23-03/bit0_samples576,7.79657513736657,,0.496528941971477,06:80:4F:D2:1C:B6,No
10-05-23-03-776,1,776,a31e89cf-5db1-4246-8095-46db49d49938,2020-10-06 06:05:08,e50f20dd-7468-4e45-b97f-cbb15e90c946,2020-10-06 06:03:17,3,900,900,900,out/10-05-23-03/log,out/10-05-23-03/base_samples776,,out/10-05-23-03/bit1_samples776,out/10-05-23-03/bit0_samples776,5.94758985173753,,0.267611638561253,72:19:A0:6F:57:AA,No
10-05-23-03-176,1,176,79890153-69df-418d-903c-e4a85eb7408b,2020-10-06 06:05:08,8fd4f1ef-bc80-4491-9b54-b53db4a5629c,2020-10-06 06:03:15,3,835,835,835,out/10-05-23-03/log,out/10-05-23-03/base_samples176,,out/10-05-23-03/bit1_samples176,out/10-05-23-03/bit0_samples176,8.05741664848237,,0.267516147294766,5A:8E:04:55:63:D1,No
10-05-23-03-118,1,118,31e73374-481e-4a70-8240-9c08a525a255,2020-10-06 06:05:08,f447ffef-9cb3-44f4-8b65-107240f9328d,2020-10-06 06:03:13,3,994,994,994,out/10-05-23-03/log,out/10-05-23-03/base_samples118,,out/10-05-23-03/bit1_samples118,out/10-05-23-03/bit0_samples118,7.78803161942065,,0.781581807139456,E6:71:B9:36:98:36,No
10-05-23-03-884,1,884,3ddf71b7-8eaf-42f1-a566-bb403e2be161,2020-10-06 06:05:08,446b81db-0a07-4c59-ab67-1b54c8ad51b6,2020-10-06 06:03:24,3,985,985,985,out/10-05-23-03/log,out/10-05-23-03/base_samples884,,out/10-05-23-03/bit1_samples884,out/10-05-23-03/bit0_samples884,6.82216513697265,,0.782840856991293,EE:1D:75:35:6C:E2,No
10-05-23-03-439,1,439,5da0015c-bb37-4d04-bb51-f05dbbbb8e1e,2020-10-06 06:05:08,cd2955fe-5e10-4275-9299-428875e1c122,2020-10-06 06:03:28,3,988,988,988,out/10-05-23-03/log,out/10-05-23-03/base_samples439,,out/10-05-23-03/bit1_samples439,out/10-05-23-03/bit0_samples439,8.28780291977457,,0.592326714638319,56:34:E1:11:CD:43,No
10-05-23-03-932,1,932,1989198d-621d-42a4-b98e-c0f060b4fd20,2020-10-06 06:05:08,e6a413cb-4b27-4af9-9ddc-047cef87fcba,2020-10-06 06:03:36,3,932,932,932,out/10-05-23-03/log,out/10-05-23-03/base_samples932,,out/10-05-23-03/bit1_samples932,out/10-05-23-03/bit0_samples932,0,,0.342642532556254,8A:DF:BF:83:02:BB,No
10-05-23-03-724,1,724,54565fff-afff-488c-af58-d2593abef6a5,2020-10-06 06:05:08,df23ad4d-544e-42bb-87b1-7266c53aad57,2020-10-06 06:03:22,3,932,932,932,out/10-05-23-03/log,out/10-05-23-03/base_samples724,,out/10-05-23-03/bit1_samples724,out/10-05-23-03/bit0_samples724,8.87961600442975,,0.419050900055392,EA:78:6D:EB:7A:70,No
10-05-23-03-858,1,858,329bf59a-451a-408d-8f96-55e60227f1e1,2020-10-06 06:05:08,3b89a956-95af-4157-a4ab-0efbc046ef34,2020-10-06 06:03:39,3,898,898,898,out/10-05-23-03/log,out/10-05-23-03/base_samples858,,out/10-05-23-03/bit1_samples858,out/10-05-23-03/bit0_samples858,5.53598201154315,,0.340638516052266,CA:F9:0D:67:43:6B,No
10-05-23-03-920,1,920,00b7c7a1-d586-4980-bd2a-b9ab8ac2da40,2020-10-06 06:05:08,33d4e240-6933-4477-b6a8-213c7ac729ce,2020-10-06 06:03:24,3,920,920,920,out/10-05-23-03/log,out/10-05-23-03/base_samples920,,out/10-05-23-03/bit1_samples920,out/10-05-23-03/bit0_samples920,0,,0.710619837348576,52:5F:57:6F:73:5C,No
