GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-12-12-00-992,1,992,28421251-7e63-4aae-9f97-d730826bc107,2020-10-12 19:02:29,5104d5b2-2082-4c3e-a275-01b6d6a8a7cc,2020-10-12 19:00:42,3,992,992,992,out/10-12-12-00/log,out/10-12-12-00/base_samples992,,out/10-12-12-00/bit1_samples992,out/10-12-12-00/bit0_samples992,0,,0.323968837567721,86:8D:6D:9D:CF:98,No,017371402075
10-12-12-00-917,1,917,43efe85b-141d-49b0-99b1-25d7a5352141,2020-10-12 19:02:29,aaff37aa-2ed8-4410-8e6b-0479373f64cb,2020-10-12 19:00:40,3,917,917,917,out/10-12-12-00/log,out/10-12-12-00/base_samples917,,out/10-12-12-00/bit1_samples917,out/10-12-12-00/bit0_samples917,0,,0.232797037137503,C2:2D:5A:66:D6:6D,No,017371402075
10-12-12-00-747,1,747,0c1a0075-cac0-4f32-989d-e0cfdc301d37,2020-10-12 19:02:29,92b18cd4-1d71-4483-8903-22353ca11a1b,2020-10-12 19:00:39,3,941,941,941,out/10-12-12-00/log,out/10-12-12-00/base_samples747,,out/10-12-12-00/bit1_samples747,out/10-12-12-00/bit0_samples747,7.49414836853054,,0.689714936690827,7E:CD:9F:AE:55:FA,No,017371402075
10-12-12-00-675,1,675,10b6f6cc-907a-48a8-832a-289dba6b11c6,2020-10-12 19:02:29,a540620d-d14b-408e-8288-7ccccbe8d76b,2020-10-12 19:00:37,3,675,675,675,out/10-12-12-00/log,out/10-12-12-00/base_samples675,,out/10-12-12-00/bit1_samples675,out/10-12-12-00/bit0_samples675,0,,0.895601126688103,1E:15:C4:37:70:6F,No,017371402075
10-12-12-00-779,1,779,2c9a8b05-797c-47d0-8401-78d094051007,2020-10-12 19:02:29,44eee676-055d-478f-9dcc-564783e77c44,2020-10-12 19:00:39,3,779,779,779,out/10-12-12-00/log,out/10-12-12-00/base_samples779,,out/10-12-12-00/bit1_samples779,out/10-12-12-00/bit0_samples779,0,,0.291820944385105,72:29:FC:74:B0:0F,No,017371402075
10-12-12-00-985,1,985,6681928c-1992-41b4-8370-1a40d9df3079,2020-10-12 19:02:29,fc632ec5-807f-4da2-b456-f9099017e9b0,2020-10-12 19:00:42,3,985,985,985,out/10-12-12-00/log,out/10-12-12-00/base_samples985,,out/10-12-12-00/bit1_samples985,out/10-12-12-00/bit0_samples985,0,,0.829487280460168,AE:14:FA:46:8E:2F,No,017371402075
10-12-12-00-361,1,361,f61f1bfe-dfa0-4701-bfb7-28b36d95c2fe,2020-10-12 19:02:29,1da6bb52-051d-49e0-9144-125e4d75b5a9,2020-10-12 19:00:32,3,397,397,397,out/10-12-12-00/log,out/10-12-12-00/base_samples361,,out/10-12-12-00/bit1_samples361,out/10-12-12-00/bit0_samples361,4.19816197606307,,0.335131069312155,2A:74:70:8C:EC:56,No,017371402075
10-12-12-00-927,1,927,d58de17b-920c-46b9-bbcb-9235d212f359,2020-10-12 19:02:29,fe8cf6ea-cecc-4e99-b8a6-b6038f0fbd31,2020-10-12 19:00:41,3,927,927,927,out/10-12-12-00/log,out/10-12-12-00/base_samples927,,out/10-12-12-00/bit1_samples927,out/10-12-12-00/bit0_samples927,0,,0.339174644572184,DE:0D:CD:81:44:CE,No,017371402075
10-12-12-00-585,1,585,cf0f5e43-dfc7-4f40-8f59-9714b2271651,2020-10-12 19:02:29,9c6eb979-fa54-42c5-a633-89358c42dc9d,2020-10-12 19:00:37,3,661,661,661,out/10-12-12-00/log,out/10-12-12-00/base_samples585,,out/10-12-12-00/bit1_samples585,out/10-12-12-00/bit0_samples585,5.17287757692464,,0.437793345875093,06:68:4A:96:3E:DC,No,017371402075
10-12-12-00-823,1,823,27d046cb-65c6-40f8-809a-197c4cc0f6de,2020-10-12 19:02:29,c56b29b7-8a6f-4811-9fc4-5f6b6c02b632,2020-10-12 19:00:39,3,823,823,823,out/10-12-12-00/log,out/10-12-12-00/base_samples823,,out/10-12-12-00/bit1_samples823,out/10-12-12-00/bit0_samples823,0,,1.22117159663547,32:B0:C8:8B:2F:7E,No,017371402075
