Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Account
out/10-13-23-38/log,10-13-23-38-22,10-13-23-34-522,65f1384c-1bf5-4243-a097-1cdd662795ce,4E:6B:60:C7:E8:EB,923,923,923,3,2020-10-14 06:38:37,2020-10-14 06:40:36,22,632a518a-239c-40bc-9fdd-a23457ad744c,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-394,"10-13-23-26-36,10-13-23-28-73,10-13-23-34-16",b77f00af-7285-4b0d-a1bf-ae59e1597ed5,52:EC:81:C1:F1:09,781,781,781,3,2020-10-14 06:38:37,2020-10-14 06:40:36,394,f4203da1-f621-49ef-aefa-9a80bbe4dda4,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-12,10-13-23-34-885,dc706936-d102-4e3f-8a3e-e2b4b31e4c98,66:B1:A9:72:61:28,930,930,930,3,2020-10-14 06:38:37,2020-10-14 06:40:36,12,2a781777-3e4a-43da-9c39-b9ac1d166ebf,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-17,10-13-23-34-329,5d36a18b-9a8a-4656-954d-6ea77a7f5b44,2A:B3:7B:FA:FA:0E,867,867,867,3,2020-10-14 06:38:37,2020-10-14 06:40:36,17,26e268e8-88db-455a-93d7-a1a8af82b277,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-358,10-13-23-34-304,f4f89474-de9d-4fc4-b167-c255e058b93e,0E:45:44:3E:C2:D8,937,937,937,3,2020-10-14 06:38:37,2020-10-14 06:40:36,358,d75399a2-d51b-47ee-ac75-5efc42d11240,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-159,10-13-23-34-403,c2bfb5b1-5846-4121-a58f-9e39e683c66f,1A:C9:F3:80:66:C3,890,890,890,3,2020-10-14 06:38:57,2020-10-14 06:40:36,159,79977544-daf1-4b08-93d4-e9416b4ace9d,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-434,10-13-23-34-337,54ff384c-e0c5-4941-9d06-a074ed638396,AA:D5:1F:95:06:D4,736,736,736,3,2020-10-14 06:38:37,2020-10-14 06:40:36,434,ab66d400-6d7d-493f-8daa-9af5343e60fa,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-377,"10-13-23-26-94,10-13-23-28-48,10-13-23-34-69",2358c811-a0ef-430f-892f-0e167972ba07,B6:A4:85:30:01:AD,395,395,395,3,2020-10-14 06:38:37,2020-10-14 06:40:36,377,fb6fc96c-e542-4392-a31e-a1d4f7fc637a,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-99,10-13-23-34-648,cbe5f6ba-9704-4476-ab2d-29ceee90b2d4,5A:3A:4A:AE:1F:A1,1000,1000,1000,3,2020-10-14 06:38:41,2020-10-14 06:40:36,99,50d29f78-03b1-4c00-bbc9-625eb7652c22,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-218,10-13-23-34-533,9c01ebaa-fbd5-4332-a90b-434c9cc4760b,DA:48:C9:35:98:77,984,984,984,3,2020-10-14 06:38:37,2020-10-14 06:40:36,218,4f340416-be67-4e47-aec7-497fbaf941d3,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-420,"10-13-23-26-63,10-13-23-28-60,10-13-23-34-71",252baf74-7e4c-4b4d-b597-02ed98978f6f,62:8F:3C:70:21:D0,420,420,420,3,2020-10-14 06:38:37,2020-10-14 06:40:36,420,fcee94b4-101f-40f3-bf9e-615fcbe357e3,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-639,10-13-23-34-2,9435c208-4c83-489c-a0f4-5dd74afafde8,3A:E6:34:50:5E:E8,977,977,977,3,2020-10-14 06:38:42,2020-10-14 06:40:36,639,2f7af1d8-79eb-489b-894f-52feec7c0b5d,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-232,10-13-23-34-770,b75606b0-6b2e-42ef-8d4c-b38f81bb1086,2E:08:4D:CA:55:37,881,881,881,3,2020-10-14 06:38:37,2020-10-14 06:40:36,232,1573ae76-e922-4b5d-b7b3-3d44c7b3b33a,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-6,10-13-23-34-456,aa1b0fd2-7580-4f19-9835-d654e137eef0,D6:E0:B3:0E:67:13,955,955,955,3,2020-10-14 06:38:40,2020-10-14 06:40:36,6,5e16c0c1-b62b-4883-ae69-fd022d12cd2c,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-234,10-13-23-34-935,0dc57e94-ebdb-4a75-8bf2-26172fd60bd4,A2:B8:13:FD:C8:00,809,809,809,3,2020-10-14 06:38:37,2020-10-14 06:40:36,234,f98e3153-01f8-4af0-9a3e-6c07c2de6084,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-52,10-13-23-34-913,35ced457-9676-42c7-bd56-9c72115c45c7,C2:5C:C5:74:E0:61,989,989,989,3,2020-10-14 06:38:37,2020-10-14 06:40:36,52,6af4b0fc-ce0f-4e34-b693-9a94ef029157,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-204,10-13-23-34-395,233f136a-0913-452a-b6fd-5299442c7b62,92:32:3F:36:B3:38,976,976,976,3,2020-10-14 06:38:37,2020-10-14 06:40:36,204,b10a68ae-cc61-4b81-9e5d-62510ea7dfaa,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-76,10-13-23-34-353,17afb9e6-cd58-4bea-a7e9-cc3fa930eef3,C2:EE:71:52:87:23,945,945,945,3,2020-10-14 06:38:43,2020-10-14 06:40:36,76,ef010134-1206-47a8-8791-a9a017d0ca59,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-418,10-13-23-34-758,a345125e-8704-4d1e-b95b-dd979b60200b,BE:DF:1C:CE:91:0A,806,806,806,3,2020-10-14 06:38:37,2020-10-14 06:40:36,418,3abb5398-7a54-4eec-a075-151c75486c76,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-54,"10-13-23-26-30,10-13-23-28-29,10-13-23-34-135",cffdd279-210a-472f-8d6f-ce517db71fa1,16:CA:97:5A:A9:A7,956,956,956,3,2020-10-14 06:38:37,2020-10-14 06:40:36,54,707bbfc1-f28d-4a06-ab2e-a1b59eba710c,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-254,10-13-23-34-209,fbdcd504-d87b-4c07-beed-d3713813d3ce,72:98:66:AA:63:5A,953,953,953,3,2020-10-14 06:38:37,2020-10-14 06:40:36,254,300eceaf-82d6-4653-9a08-e2a3c239de67,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-250,10-13-23-34-470,d2a358b9-0b59-4eeb-8c98-4c290cd87495,F2:CD:13:E5:9D:B9,988,988,988,3,2020-10-14 06:38:37,2020-10-14 06:40:36,250,4de3370a-690d-4295-acf1-5b943df5fb7a,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-154,10-13-23-34-838,c50f2c46-1b24-4960-9b8d-5a0be2a10f42,D6:CB:32:96:F7:03,452,452,452,3,2020-10-14 06:38:37,2020-10-14 06:40:36,154,15496b87-ea27-479c-9c4c-facb1cfdcfe0,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-309,10-13-23-34-485,c9dec996-91bd-4312-91a5-cd475ede490b,EA:71:4C:EB:E1:AC,1000,1000,1000,3,2020-10-14 06:38:37,2020-10-14 06:40:36,309,0a323c1e-2f6d-4fff-a7f4-587615b0c657,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-160,10-13-23-34-719,0a73d470-a703-4c6c-b82f-2fb8738773b9,8A:A0:10:74:46:B4,867,867,867,3,2020-10-14 06:38:47,2020-10-14 06:40:36,160,69a56ec7-2a27-48cf-a2e2-709373a284cd,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-356,10-13-23-34-702,b37ee385-94f2-44d4-b647-5e719cba4dfb,3E:ED:71:76:28:C9,982,982,982,3,2020-10-14 06:38:37,2020-10-14 06:40:36,356,d6db230e-b995-4ccd-8ad7-657c5a14fd53,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-7,10-13-23-34-235,fef4a7d3-84d9-4e18-b962-59d23efcd6ec,96:38:67:9E:C1:C2,985,985,985,3,2020-10-14 06:38:37,2020-10-14 06:40:36,7,f91f914c-c8c1-4d4d-93f5-2ee46da76400,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-136,10-13-23-34-471,818454af-f157-4504-9fda-e4103e603ab8,22:9B:D9:0F:BB:3A,973,973,973,3,2020-10-14 06:38:47,2020-10-14 06:40:36,136,9a3b2098-5547-49d1-9ced-6cea131396f6,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-93,10-13-23-34-242,2cbc6e50-236c-4e48-99dc-1b153089f719,16:9A:33:A9:95:42,617,617,617,3,2020-10-14 06:38:37,2020-10-14 06:40:36,93,29802502-2477-4108-9d04-dc75255cbc33,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-278,10-13-23-34-721,23cd080d-97c1-4908-9c78-3eb6363e6662,D2:F2:33:BE:D7:AC,973,973,973,3,2020-10-14 06:38:37,2020-10-14 06:40:36,278,61cb4af9-7586-43e4-9307-02977c593598,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-223,10-13-23-34-412,b671255a-7e51-4b82-8512-f95d023c6eb6,B2:F5:F5:9D:94:EF,982,982,982,3,2020-10-14 06:38:37,2020-10-14 06:40:36,223,ffcc4509-e6e7-42a9-8918-a44b33b8c665,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-475,10-13-23-34-737,40a929c9-3c01-4e30-bbac-a732be8ef36c,26:E5:49:74:BA:E3,798,798,798,3,2020-10-14 06:38:46,2020-10-14 06:40:36,475,3253158e-c628-428e-a8e5-dcd429160116,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-430,"10-13-23-26-67,10-13-23-28-64,10-13-23-34-116",a4cd039c-c14b-44f5-b75c-d4e80d17f971,8A:0F:4C:48:4A:69,430,430,430,3,2020-10-14 06:38:37,2020-10-14 06:40:36,430,79a24207-51c9-4cdf-b5fa-0e9a2dd457a9,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-335,10-13-23-34-418,7deff416-c25a-4528-b246-eff2c108bdd5,DA:9C:8F:EF:8A:2B,613,613,613,3,2020-10-14 06:38:37,2020-10-14 06:40:36,335,9a652c23-2052-4f4e-b50a-5577f67b4056,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-396,10-13-23-34-836,e833fcdf-9871-474c-8d44-529ca9beda93,3E:F6:3A:0D:EC:3E,967,967,967,3,2020-10-14 06:38:37,2020-10-14 06:40:36,396,143f20e8-c9db-4b90-9781-bbcfeee60285,1,,-,-,-,Yes,017371402075
