Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 5,Phase 1,Phases,Start Time,Phase 4,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/08-13-15-59/log,f7c56629-669a-427b-b59e-fd17d1ecad63,A6:4B:E0:02:9E:EE,254,31,72,80,5,2020-08-13 22:56:48,237,2020-08-13 22:58:12,9,15c5c2fc-59f2-4eac-9969-2577b8b92e08,1,,-,-
out/08-13-15-59/log,c7705744-3411-418c-8aa1-284abd82cfa7,4A:20:82:A1:08:54,7,6,8,6,5,2020-08-13 22:56:48,6,2020-08-13 22:58:11,6,7f2aa637-3758-4274-b127-f8797e7b3ab5,1,,-,-
out/08-13-15-59/log,afc069e9-a908-43bf-8132-fcb52a6dbea4,06:BB:22:97:37:B4,107,95,99,105,5,2020-08-13 22:56:48,107,2020-08-13 22:58:12,95,d701f419-8e17-413f-a43b-489d70776687,1,,-,-
out/08-13-15-59/log,54a9001b-9c0e-4dcc-8472-b312302be64a,62:69:73:C8:0F:82,36,40,36,12,5,2020-08-13 22:56:48,25,2020-08-13 22:58:11,12,025eaf58-a22a-45e8-bc24-f841ecd0211a,1,,-,-
out/08-13-15-59/log,ad544c31-5a1d-4233-9dfc-bb9e0a9545f1,DA:C2:6D:DD:D8:17,237,109,239,61,5,2020-08-13 22:56:48,109,2020-08-13 22:58:11,48,caad38ac-76ce-4192-8144-4bf7e17604cf,1,,-,-
out/08-13-15-59/log,92b3bf2b-1f72-4224-a974-01ace8578670,92:B3:93:42:06:F4,26,26,26,26,5,2020-08-13 22:56:48,26,2020-08-13 22:58:11,26,0f71af84-a8bd-4591-bd7d-3eef85281469,1,,-,-
out/08-13-15-59/log,0805865c-f5e5-41e3-ba4f-94d4c1bb4586,F6:08:2E:2B:A4:BD,22,26,26,22,5,2020-08-13 22:56:48,26,2020-08-13 22:58:11,20,104d1221-a40f-48ae-a274-5523222bfe7b,1,,-,-
out/08-13-15-59/log,d60bc8f4-8aca-4da2-83ec-b10ab35a321a,86:0E:BB:B4:B8:CE,14,14,14,14,5,2020-08-13 22:56:48,14,2020-08-13 22:58:11,14,a12e5c84-fc1d-4b14-aa1c-509002699f0c,1,,-,-
out/08-13-15-59/log,59ddf52e-cfe8-4c86-8e0a-84442c0521ea,16:91:A7:05:47:43,2,2,2,2,5,2020-08-13 22:56:48,2,2020-08-13 22:58:11,2,7c9f972c-8cb8-4442-b36e-4807cd0b972c,1,,-,-
out/08-13-15-59/log,c2e94579-535c-4c2f-a8cb-06482377a38a,D2:D4:99:25:E1:A6,73,73,73,73,5,2020-08-13 22:56:48,73,2020-08-13 22:58:12,73,6dcdc0d5-fd17-4616-ab50-8a58045e3523,1,,-,-
out/08-13-15-59/log,86b9dcf3-16dd-48bb-88ed-dacc727fa351,56:6D:9F:E6:0C:93,83,83,231,83,5,2020-08-13 22:56:48,86,2020-08-13 22:58:12,83,72062501-b0e4-41d2-96e9-b22624f47f10,1,,-,-
