Logs,Boot ID,MAC Address,Base Sample,Phase 1,Phases,Bit Sample,Start Time,End Time,Id,Request ID,Success,Error
out/latrun-07-06-13-57-1024/log,899a3894-3727-4977-95fa-96fbc1d61ec8,BE:66:AC:5A:93:04,out/latrun-07-06-13-57-1024/base_samples34,34,1,out/latrun-07-06-13-57-1024/bit_samples34,2020-07-06 20:58:50,2020-07-06 20:59:00,34,4ab972cc-fecf-4411-b01f-cad129c0b6e0,1,
out/latrun-07-06-13-57-1024/log,bb8c3e6d-84f2-4d90-b2b3-50dafb093c55,3E:C1:E9:CA:2A:1E,out/latrun-07-06-13-57-1024/base_samples44,76,1,out/latrun-07-06-13-57-1024/bit_samples44,2020-07-06 20:58:49,2020-07-06 20:59:00,44,82f0e0f5-b882-4fbc-b256-c71277a0d6ff,1,
out/latrun-07-06-13-57-1024/log,e3b7ba9b-36d7-435a-97eb-5d81c13bb968,72:6E:D2:2F:21:97,out/latrun-07-06-13-57-1024/base_samples58,58,1,out/latrun-07-06-13-57-1024/bit_samples58,2020-07-06 20:58:49,2020-07-06 20:59:00,58,b1c273ba-102a-4474-8703-0519fcd3ce4c,1,
out/latrun-07-06-13-57-1024/log,3761bc2a-8783-4560-b1f5-af13d6e77cb3,9A:A5:62:AD:63:D8,out/latrun-07-06-13-57-1024/base_samples4,122,1,out/latrun-07-06-13-57-1024/bit_samples4,2020-07-06 20:58:49,2020-07-06 20:59:00,4,42f31113-37b4-4c3a-adec-b4793e2665e9,1,
out/latrun-07-06-13-57-1024/log,c594c1d7-fac2-41b8-86c7-5432c2c2461f,F2:B8:16:D6:DE:F9,out/latrun-07-06-13-57-1024/base_samples11,77,1,out/latrun-07-06-13-57-1024/bit_samples11,2020-07-06 20:58:49,2020-07-06 20:59:00,11,80b1cee1-9cbf-456b-be82-2674d214c83f,1,
out/latrun-07-06-13-57-1024/log,7c88a35a-fb61-4735-a117-43bb170756e4,BA:FD:7D:28:7C:41,out/latrun-07-06-13-57-1024/base_samples88,88,1,out/latrun-07-06-13-57-1024/bit_samples88,2020-07-06 20:58:50,2020-07-06 20:59:00,88,88b64eee-3d70-40fc-8e80-4fab31371492,1,
out/latrun-07-06-13-57-1024/log,1e07dc3d-771e-45b2-a3a2-04d9a30de34a,C2:F5:18:C9:8A:5E,out/latrun-07-06-13-57-1024/base_samples98,124,1,out/latrun-07-06-13-57-1024/bit_samples98,2020-07-06 20:58:50,2020-07-06 20:59:00,98,0e0abb7c-3ffe-41d7-9a87-5a7cbf96fc2c,1,
out/latrun-07-06-13-57-1024/log,5b6de2f3-04bf-47d6-b4b0-84c647cbb8c5,86:44:44:E3:C6:2B,out/latrun-07-06-13-57-1024/base_samples16,16,1,out/latrun-07-06-13-57-1024/bit_samples16,2020-07-06 20:58:49,2020-07-06 20:59:00,16,6f74b1e8-1ffc-475d-ab7f-663ec493ecd9,1,
out/latrun-07-06-13-57-1024/log,6676965d-fb17-4d98-a647-780e00209680,92:FC:C8:A3:B1:68,out/latrun-07-06-13-57-1024/base_samples8,14,1,out/latrun-07-06-13-57-1024/bit_samples8,2020-07-06 20:58:49,2020-07-06 20:59:00,8,0c89ebc3-e170-4f4b-af92-493769aab2cb,1,
out/latrun-07-06-13-57-1024/log,b003ef84-ae76-437f-9266-b0324bc66244,B2:2D:7E:DB:70:27,out/latrun-07-06-13-57-1024/base_samples92,92,1,out/latrun-07-06-13-57-1024/bit_samples92,2020-07-06 20:58:50,2020-07-06 20:59:00,92,3696819e-a9aa-41e6-a9ed-0ea30871a70f,1,
