Logs,Boot ID,MAC Address,Base Sample,Phase 1,Phases,Bit Sample,Start Time,End Time,Id,Request ID,Success,Error
out/run_1536m_0bit/log,7bf3b71f-8c9b-4ae5-9bcb-7aeaa81530d4,46:E8:35:EF:8E:0B,out/run_1536m_0bit/base_samples131,321,1,out/run_1536m_0bit/bit_samples131,2020-05-14 20:04:09,2020-05-14 20:04:23,131,32a96990-a0e1-4f5f-8ac5-7d5350611d40,1,
out/run_1536m_0bit/log,91f95277-a218-4e58-9cdf-ff7a2ea5ab95,92:7A:83:DC:43:6C,out/run_1536m_0bit/base_samples201,385,1,out/run_1536m_0bit/bit_samples201,2020-05-14 20:04:09,2020-05-14 20:04:23,201,cb95781e-6752-4196-85b1-1fd3aae5f6dc,1,
out/run_1536m_0bit/log,2d5d81d5-1015-494a-8b51-cbd5642b49e7,BA:0D:FD:4F:06:86,out/run_1536m_0bit/base_samples71,71,1,out/run_1536m_0bit/bit_samples71,2020-05-14 20:04:08,2020-05-14 20:04:24,71,2fd0ceb7-7468-451b-b0cc-7f8e315a0a56,1,
out/run_1536m_0bit/log,fd4eb98b-bee7-47cd-ae72-c410b30e2de3,26:95:FF:CF:28:C1,out/run_1536m_0bit/base_samples461,461,1,out/run_1536m_0bit/bit_samples461,2020-05-14 20:04:09,2020-05-14 20:04:24,461,ec002574-b36f-43ab-bb90-5bda1312ce9d,1,
out/run_1536m_0bit/log,bea901f8-c876-4065-aef2-52215b10a009,9A:A9:FB:11:03:10,out/run_1536m_0bit/base_samples211,211,1,out/run_1536m_0bit/bit_samples211,2020-05-14 20:04:09,2020-05-14 20:04:24,211,f9f683fb-0995-437e-9030-055b1985d662,1,
out/run_1536m_0bit/log,a30089e3-7bbc-44ad-be9f-80ee8709ccb3,E2:0C:FD:87:8A:0D,out/run_1536m_0bit/base_samples291,291,1,out/run_1536m_0bit/bit_samples291,2020-05-14 20:04:09,2020-05-14 20:04:24,291,8c3bca2a-d734-4e75-8378-b720bed2d2db,1,
out/run_1536m_0bit/log,ad480862-3936-4065-9d18-e11be23ef300,EE:D2:58:2E:D0:A9,out/run_1536m_0bit/base_samples361,361,1,out/run_1536m_0bit/bit_samples361,2020-05-14 20:04:09,2020-05-14 20:04:24,361,060e5917-9b14-4d7d-9430-657e1b90f87d,1,
out/run_1536m_0bit/log,00b1f748-7647-4e57-a2aa-5b648d2a097e,36:AD:51:47:4C:45,out/run_1536m_0bit/base_samples281,281,1,out/run_1536m_0bit/bit_samples281,2020-05-14 20:04:09,2020-05-14 20:04:24,281,0408dfc2-50aa-4701-9790-bcdaf9c472cd,1,
out/run_1536m_0bit/log,8bca55ca-cb1f-4363-bf28-e25a54041e23,32:C5:47:63:D4:6E,out/run_1536m_0bit/base_samples21,21,1,out/run_1536m_0bit/bit_samples21,2020-05-14 20:04:09,2020-05-14 20:04:24,21,53f05310-056b-44a8-96a0-056dbfc1c8ba,1,
out/run_1536m_0bit/log,31ca92ee-4994-46ec-9f42-784d76a30d9b,2A:79:29:CF:97:7B,out/run_1536m_0bit/base_samples181,181,1,out/run_1536m_0bit/bit_samples181,2020-05-14 20:04:08,2020-05-14 20:04:24,181,f861d2f2-8468-4125-b4ea-34bdfc01bc9e,1,
