Id,Sender,Receiver,Rate,Bits,Sent Data,Rcvd Data,Sender Erasures,Receiver Erasures,RErasures,SErasures,Errors,Error %,Ones,Ones %,Confidence
1,78,45,200,1000,1111111101111111111101111110110110111101111111101111111011111101111000111111011111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111100111011111110001111111111111110011011110110111111110101101111101011011111111100010111111101110111111111110111111100111001011111111110111101101110111011101111100111111111111111111110011011001001111111111011110110110001101111111111111111111111110010111111111111001111100100111001000100110111111111101111101111111111011111011111111111110111111011110111111111010011001111111011111110000111100111010001111111111010111111011110011101011001111110111010001010011111110101110010110110111010111111111111011111011111100111111110110110000111001011001111111110011111110111101111110111101111100111011010110001101101101101110101011101011010011111111110111111111100111110111001111111110111110111110101111101001110011111101110011111111101111111110011000111111001101111001100100101111101001110110111011111111011011010111101111111111110,1111011101111111111101111110110110111101111111101111111011111101111000111111011111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111100111011111110001111111111111110011011110110111111110101101111101011011111111100011111111101110111111111110111111100111001011111111110111111101110111011101111100111111111111111111110011011001001111111111011110110111001101111111111111111111111110010111111111111001111100110111001100100111111111111101111101111111111011111011011111111110111111011111111111111010011001110111011111110001011100111010001001011111010111111011110111101011001111110111010111010011111110111110010100110111010111111111111011111011111100111111110100110000111101011001011111110011111110111101111110111101111100111011010110001101101101101110101011101001010111111111110111111111000111110111001111111111011100111110101111111001100011111101100001111111101111111110011110111111001101101001100100111111101001110110111111111111011111010111001110111111110,,,10,97,41,4.1,764,76.4,94
2,89,23,200,1000,1111111101111111111101111110110110111101111111101111111011111101111000111111011111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111100111011111110001111111111111110011011110110111111110101101111101011011111111100010111111101110111111111110111111100111001011111111110111101101110111011101111100111111111111111111110011011001001111111111011110110110001101111111111111111111111110010111111111111001111100100111001000100110111111111101111101111111111011111011111111111110111111011110111111111010011001111111011111110000111100111010001111111111010111111011110011101011001111110111010001010011111110101110010110110111010111111111111011111011111100111111110110110000111001011001111111110011111110111101111110111101111100111011010110001101101101101110101011101011010011111111110111111111100111110111001111111110111110111110101111101001110011111101110011111111101111111110011000111111001101111001100100101111101001110110111011111111011011010111101111111111110,1101111101111111111101111110110110011101111111101111011011111101111000011111011011111100111111111111101111010000110110111111110110111001101111101101110111101110110111111111101111111101111011111110000111111101111110011010110110111111110101001111100111011111110100010111111101110100011111110110010100011000011111111110111101001111111011101111100111111111010111111110011011011001111111011011100110010001101111111111111111011111110010111111111111001111100100011101000100010111111111111101101111011111111111011101110111110111110011110110101111010011001111111011111110000111000111010001111111111010110111010100011101011001100110111000001110011111110101110000110110011011110111111111011101011111100111111010110110000111001111011101111110011101110111101111110111101111100111011001110001101101001101110101011101011010011111011110111111111100111110111001011111110111110111111101011101011110010111101110010111111001111111110011000111111001100111000100100111111101001110010111010111111001011110111101111011110100,,,15,110,88,8.8,764,76.4,88
3,88,75,200,1000,1111111101111111111101111110110110111101111111101111111011111101111000111111011111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111100111011111110001111111111111110011011110110111111110101101111101011011111111100010111111101110111111111110111111100111001011111111110111101101110111011101111100111111111111111111110011011001001111111111011110110110001101111111111111111111111110010111111111111001111100100111001000100110111111111101111101111111111011111011111111111110111111011110111111111010011001111111011111110000111100111010001111111111010111111011110011101011001111110111010001010011111110101110010110110111010111111111111011111011111100111111110110110000111001011001111111110011111110111101111110111101111100111011010110001101101101101110101011101011010011111111110111111111100111110111001111111110111110111110101111101001110011111101110011111111101111111110011000111111001101111001100100101111101001110110111011111111011011010111101111111111110,1110111101111110111101101110111010111111111111101111111011111101111000101111011111101110011111101111101111110000111110111110111100111010101111101111111011101110000011101111101111111100111001111110001111111111111110001011110010111101110101100111101011010111111100010111111101110110111111100110111100101011011101111110111001101111111011101111100111111110111111101110010011001001111001111010111110110011101010111110111111111111110000101110111111000111100000111000000100100110000011101111101111111110011101011111001111100111111011110110111101110010001111101010111110000111101000010010011111110010111111011110011001111000111100111010001010111110110101110010110000111010111111101110011111011111101111111110110010100110001011101111111000111110011111101111110111101111100011111010110001101101001101110101011101111010000111110110111111101100111110101000011111110111110111100111101001001110011111100110011101111111111111110010000111111010101111000100100101101101001110110111011111111011011010101101111111111110,,,10,147,119,11.9,764,76.4,84
4,98,31,200,1000,1111111101111111111101111110110110111101111111101111111011111101111000111111011111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111100111011111110001111111111111110011011110110111111110101101111101011011111111100010111111101110111111111110111111100111001011111111110111101101110111011101111100111111111111111111110011011001001111111111011110110110001101111111111111111111111110010111111111111001111100100111001000100110111111111101111101111111111011111011111111111110111111011110111111111010011001111111011111110000111100111010001111111111010111111011110011101011001111110111010001010011111110101110010110110111010111111111111011111011111100111111110110110000111001011001111111110011111110111101111110111101111100111011010110001101101101101110101011101011010011111111110111111111100111110111001111111110111110111110101111101001110011111101110011111111101111111110011000111111001101111001100100101111101001110110111011111111011011010111101111111111110,1111111101111111111101111110111110110111111111101111111011111111011000111111011111101110111111111111101111110000111110111111111110111011101111101111111111101110110011111111101111111100111011111110001111111111111110011011111110111111111101101111101011011111111100110111111101111111111111110111111100111010011111111110111101101110111011101111001111111111111101110110011011101001111111111011111110110001101111111111111111111111111010111111011111001111101100111011000100110111111111101111101111111111011111111111111111110111111011110111111111010011001111111011111100100111000111110011111110111010111111111110011101111001011110111010001010111111111101110010111110111010111111111111011111111111101111111110111110100111001011101111111110111111101111101111110111101111101111011010111001101111101101110111011101111010001111110110111111111100111110111011111110110111110111110101011101101110011111101110011111111111111111110011000111111001101111001110101101111111001110110111011111111011011010111101111111111110,,,0,72,59,5.9,764,76.4,92
5,97,72,200,1000,1111111101111111111101111110110110111101111111101111111011111101111000111111011111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111100111011111110001111111111111110011011110110111111110101101111101011011111111100010111111101110111111111110111111100111001011111111110111101101110111011101111100111111111111111111110011011001001111111111011110110110001101111111111111111111111110010111111111111001111100100111001000100110111111111101111101111111111011111011111111111110111111011110111111111010011001111111011111110000111100111010001111111111010111111011110011101011001111110111010001010011111110101110010110110111010111111111111011111011111100111111110110110000111001011001111111110011111110111101111110111101111100111011010110001101101101101110101011101011010011111111110111111111100111110111001111111110111110111110101111101001110011111101110011111111101111111110011000111111001101111001100100101111101001110110111011111111011011010111101111111111110,1111111111111111111100111110110110111101111111101111111011111101111010111111101111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111000111010111110101111111111111110011011110110111111110111101011101011011111111110010111111101111111111111110111111100111001011111111110101111101110111011101011000110111111101111111110011010001001111111111001010110111001101111111111111111111111110010111111111111001111100100111001000100111111111111101111101111111111111111011111101111111111110011110111111111010011101111111010111110000111100101011001111111111010111111011110111101011001111110111010101010011111110111110010110110111010111111111111111111011111100110100000110110001111001011001111111010101100000111101111110111101111100111011010110001101101101110110101010111011010111111111110111111111100111110111001111111111111010111110101100100001110011111101110111111111101111111111011000111111001101111001100100110101101101110111111001111110001111010111101110111111110,,,6,94,70,7.0,764,76.4,90
6,93,3,200,1000,1111111101111111111101111110110110111101111111101111111011111101111000111111011111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111100111011111110001111111111111110011011110110111111110101101111101011011111111100010111111101110111111111110111111100111001011111111110111101101110111011101111100111111111111111111110011011001001111111111011110110110001101111111111111111111111110010111111111111001111100100111001000100110111111111101111101111111111011111011111111111110111111011110111111111010011001111111011111110000111100111010001111111111010111111011110011101011001111110111010001010011111110101110010110110111010111111111111011111011111100111111110110110000111001011001111111110011111110111101111110111101111100111011010110001101101101101110101011101011010011111111110111111111100111110111001111111110111110111110101111101001110011111101110011111111101111111110011000111111001101111001100100101111101001110110111011111111011011010111101111111111110,1011111110111111111101111110110110111101100111101011111010111101101000111011111110101110101110111111111111110000110110111011101110111011101110101001111110101010110010111111101111111100100011111010100110111111101110011011100110110011100101101011101010011011111100010011111100011111101111111011111100111001101111111110111101101010101011101011100110111011111110111110001011001001111110111011100110110001101110111111111110111011110010111011111110001011100110111001100100110111101111101011101110011111001111011111111110110011111010110111101110011011101111111011101110001001110110011001101110111010101111011010111100011001101110111010101011011011111100111010110110111010111111111011000111011111100111111010110110001111001011001111101110011011110110101111100111101011100110011010100001101101101101111001111100011010001111111000011101111000111110111001111111110111100011110001111100001110001111101010001010111100111110111011100011000001000110001000100101011001100110010101100101111011011010011101101111111011,,,17,174,150,15.0,764,76.4,80
7,27,21,200,1000,1111111101111111111101111110110110111101111111101111111011111101111000111111011111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111100111011111110001111111111111110011011110110111111110101101111101011011111111100010111111101110111111111110111111100111001011111111110111101101110111011101111100111111111111111111110011011001001111111111011110110110001101111111111111111111111110010111111111111001111100100111001000100110111111111101111101111111111011111011111111111110111111011110111111111010011001111111011111110000111100111010001111111111010111111011110011101011001111110111010001010011111110101110010110110111010111111111111011111011111100111111110110110000111001011001111111110011111110111101111110111101111100111011010110001101101101101110101011101011010011111111110111111111100111110111001111111110111110111110101111101001110011111101110011111111101111111110011000111111001101111001100100101111101001110110111011111111011011010111101111111111110,1111011101111111011101110110010111110101011111100111111001110101111000111111011101101110011101111111011111110100110101110101111101111111001111100101011111100110010011110111001111110100111001110110001101111111001110010011110100111111010101101111001001011111011100010111111101110111011111010111111101111001011111111110011101101110011011100111100101111111011011110110010011000101111101110011110100110101001101111111001111110111010010111111111111000111100100101001000100110111111101101101001111110111011111010111011111110111111011110111111101010111001101111011011110000111010111010101011111110010111101011110011101011001111101111010001001011111010101110110110100111110011101111111001111010111110101110110110110000111011001000111111110010111000111101111010101101111000101011010010001101101011101110101011101011110011101111110011101111100011111110101011111110111110101110101011101000110011101101110011101111101111111100111000111011001001111001100100101111101011100110111010111110011011001111101011101111000,,,1,139,139,13.9,764,76.4,81
8,92,63,200,1000,1111111101111111111101111110110110111101111111101111111011111101111000111111011111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111100111011111110001111111111111110011011110110111111110101101111101011011111111100010111111101110111111111110111111100111001011111111110111101101110111011101111100111111111111111111110011011001001111111111011110110110001101111111111111111111111110010111111111111001111100100111001000100110111111111101111101111111111011111011111111111110111111011110111111111010011001111111011111110000111100111010001111111111010111111011110011101011001111110111010001010011111110101110010110110111010111111111111011111011111100111111110110110000111001011001111111110011111110111101111110111101111100111011010110001101101101101110101011101011010011111111110111111111100111110111001111111110111110111110101111101001110011111101110011111111101111111110011000111111001101111001100100101111101001110110111011111111011011010111101111111111110,1111111100111111111101111110110110111101111111101111111111111101111000111111011111101111111111111111001111110001110110111111111110111011101111110101111111111100110011110000000111110000101011110010001111111111111110011011110110111111110101101111101011001111111100010111111101110111111101110111011100110001011111111111011101111111111011101111100111111111000111111110000111001001011111111011110110110001101111111111111111111111110110111111111101011111100100111001000100110111111111111111101111111111011111011111111111110111111011110111111111010011001111110011111110000111100111010001111111111011111111011110011101011001111110111010001110011111110101110011110110110001111111111111011111011111100111111111110110000111001111001111111100011111110111101111110111111111100111011010110001111101101101110101011101011010011111111110011111111100111110111001111111110111010111110101111101011110011111111110011111111101111111110001000111111001101111011100100101111101001110110111011111111011011010111101011111111110,,,12,98,58,5.8,764,76.4,92
9,87,43,200,1000,1111111101111111111101111110110110111101111111101111111011111101111000111111011111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111100111011111110001111111111111110011011110110111111110101101111101011011111111100010111111101110111111111110111111100111001011111111110111101101110111011101111100111111111111111111110011011001001111111111011110110110001101111111111111111111111110010111111111111001111100100111001000100110111111111101111101111111111011111011111111111110111111011110111111111010011001111111011111110000111100111010001111111111010111111011110011101011001111110111010001010011111110101110010110110111010111111111111011111011111100111111110110110000111001011001111111110011111110111101111110111101111100111011010110001101101101101110101011101011010011111111110111111111100111110111001111111110111110111110101111101001110011111101110011111111101111111110011000111111001101111001100100101111101001110110111011111111011011010111101111111111110,1011111110111111101111111110110110111101101110111111111010011101111000111111011111101010111110111111101111110000110100111111111110111011101101100101100111101010110011111001101110111100111011011110001111111001111110011011100110111011100111101111101011011111111100001111111100111011111110111111111100111001010111111010111100101110101011001101100110011111101111101110001011000101100111110011110110010000100011111111101111011111100010111111111111001111100110111001100100111001111110101111101111111011011110011111101110110000111011110111111110011011001110011011111110001111100011001001110011011010101111011110111110011010000010111010001010110111110010110010100110111010101110111111001011011001100110111110100110000111101011001111100010011011100111101111110110101111100011011110100001101000101100110101001111011000111111111110111101111000111110111001101110111111100111110101011100000110001111101100111101111101111111110011000110111001101110001100100111111001001110110011111110111011011010111101001111111110,,,16,145,145,14.5,764,76.4,81
10,91,74,200,1000,1111111101111111111101111110110110111101111111101111111011111101111000111111011111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111100111011111110001111111111111110011011110110111111110101101111101011011111111100010111111101110111111111110111111100111001011111111110111101101110111011101111100111111111111111111110011011001001111111111011110110110001101111111111111111111111110010111111111111001111100100111001000100110111111111101111101111111111011111011111111111110111111011110111111111010011001111111011111110000111100111010001111111111010111111011110011101011001111110111010001010011111110101110010110110111010111111111111011111011111100111111110110110000111001011001111111110011111110111101111110111101111100111011010110001101101101101110101011101011010011111111110111111111100111110111001111111110111110111110101111101001110011111101110011111111101111111110011000111111001101111001100100101111101001110110111011111111011011010111101111111111110,1110111110001111111001111110110110101000111111101111111011101101111000111110010111101110111011101001101011110000110110111110111110101010101111101101111011101110110011101111101011110100111011111010001011111110011110001011110010111110111101101110101011001101111000011010111101100111101011110110111100101001011011111110111111101110111011101110100111111110111111101110101011001001111111101011110010110100101111101111111001101111110010111110111111001111100000111000000110100111111011101110101111101101011011011110111111100111111011111000111111000011101011111010111110001111100011010000110111101010111001011110011101000001101010111010001010001111111001110010100110101010111011101111011011000010100011111110111110000110001011001111100010011110110011101110110111101111100011001010100101001100101101101101011001011010111111101110111011111100111110101001111011110110110011110100011111001110010110101110111111101101111011110110000111101001101111001100100101111000001110100111011010111011111010111101111101111110,,,24,156,145,14.5,764,76.4,81
11,86,19,200,1000,1111111101111111111101111110110110111101111111101111111011111101111000111111011111101110111111111111101111110000110110111111111110111011101111101101111111101110110011111111101111111100111011111110001111111111111110011011110110111111110101101111101011011111111100010111111101110111111111110111111100111001011111111110111101101110111011101111100111111111111111111110011011001001111111111011110110110001101111111111111111111111110010111111111111001111100100111001000100110111111111101111101111111111011111011111111111110111111011110111111111010011001111111011111110000111100111010001111111111010111111011110011101011001111110111010001010011111110101110010110110111010111111111111011111011111100111111110110110000111001011001111111110011111110111101111110111101111100111011010110001101101101101110101011101011010011111111110111111111100111110111001111111110111110111110101111101001110011111101110011111111101111111110011000111111001101111001100100101111101001110110111011111111011011010111101111111111110,1101110101111101111101111100110110011101111111001111111111011101110100011111011111001111110111111101101111100000110110111111110110111001101111111101111101001111110111111111101111011101111111111101001111011111111110011011110110111101110101101101101011011111110100010101111101110101111101110111111100011001011111011111111101011111111011011111100111111101110111110110010111011001110111111011110110110001001111111101111111011111110010111101111111011111100100111001000100110111111111011111101111111101011111011111110111110101111011110101110111010011001111011011110110010101100111010001111111011011110111011111011101011001111110111011001010011110000101010010110110111010110111111101011111011111100111011111110110010101001011011101111110011111000111111101110111011111100111011010110101111101101101010101010101011000011111011101011111111101111110010001110111110101110111010101110101001110011111111100010111101101110111110001000111011001101111011101100101001101000110110111010111011011011110011101110111111100,,,3,129,123,12.3,764,76.4,83
