Mean,Median,50tile,80tile,90tile
208.79577464788733,148.0,148.0,197.0,247.0
842.5655430711611,951.0,951.0,1000.0,1032.3000000000002
992.4862155388471,998.5,998.5,1816.6000000000004,1888.0
632.200964630225,909.5,909.5,988.0,1037.0
654.9761336515513,923,923.0,998.0,1029.4
937.3252858958068,992,992.0,1103.0000000000005,1891.0
350.1481028151775,193,193.0,261.60000000000014,984.5999999999999
865.5030959752322,961.0,961.0,1013.0,1105.5
128.7712,103.0,103.0,137.0,161.0
1162.0773558368496,994,994.0,1834.0,1893.0
264.3735011990408,143.0,143.0,207.0,951.5
