Logs,GUID,CPU CPI,Error,IP Address,Success,Id,Channel,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,Predecessors,Bit-1 Sample,End Time,Boot ID,Base Sample,Bit-0 Sample,Warm Start,Tag,Bit-0 Pvalue,Bit-1 Pvalue
out/02-02-23-18/log,02-02-23-18-11,7.790365,,169.254.76.1,1,11,1,86:D7:0F:1E:5B:53,fa624835-a7fc-42cc-8abb-1e97fcfbd822,2021-02-03 07:18:15,30,2,45,11,-1,02-02-23-12-35,out/02-02-23-18/bit1_samples11,2021-02-03 07:19:08,80d72e22-350d-46d0-9d40-63ee929203f7,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-16,7.761194,,169.254.76.1,1,16,-,BE:4D:1B:AB:4D:2F,abb4bd98-104e-461c-8a76-5c0e64dec4e9,2021-02-03 07:18:15,30,3,92,81,36,02-02-23-12-1,-,2021-02-03 07:18:59,645562cb-1ed2-40e3-b7dc-d9c3d44de2bb,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-23,7.972449,,169.254.76.1,1,23,-,12:2A:80:3B:6E:F6,3c2dbb8d-8549-409c-975d-269c0477708a,2021-02-03 07:18:15,30,3,90,78,23,02-02-23-12-19,-,2021-02-03 07:18:59,5fee2562-6fb3-499e-a453-5fe9ee4779c2,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-39,7.863021,,169.254.76.1,1,39,2,3A:12:44:A0:60:09,7f01dcc4-8a4a-4561-a1fd-3dc407a171de,2021-02-03 07:18:15,30,3,42,39,10,02-02-23-12-33,out/02-02-23-18/bit1_samples39,2021-02-03 07:19:08,a8759438-82ed-4182-af1f-6778c14e29d0,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-52,8.221750,,169.254.76.1,1,52,3,C2:D2:7F:28:FC:91,57142c51-6710-488d-88c9-e870fa4af624,2021-02-03 07:18:15,30,3,52,49,8,02-02-23-12-21,-,2021-02-03 07:19:08,ec30b3fc-a2ea-4210-84ff-31d81a05b182,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-34,7.815480,,169.254.76.1,1,34,-,2A:5C:22:08:BD:91,7532ea3c-d727-407a-9ef2-bd056b8c49c0,2021-02-03 07:18:15,20,1,34,-1,-1,02-02-23-12-14,-,2021-02-03 07:18:49,09ff438c-867c-44ce-8781-52984583287b,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-2,7.852252,,169.254.76.1,1,2,-,CA:4A:80:EA:63:64,aeff0e2b-0269-4050-aeb3-9515eed6d413,2021-02-03 07:18:15,30,3,67,19,5,02-02-23-12-49,-,2021-02-03 07:18:59,5043aca6-c3e3-40ef-85e3-05b767814f88,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-10,8.316000,,169.254.76.1,1,10,-,0E:A1:0A:21:16:AD,1f74c997-5051-4e8f-aca8-0c4276a2f83b,2021-02-03 07:18:15,30,3,42,39,10,02-02-23-12-80,-,2021-02-03 07:18:59,937603d0-7223-4234-9018-6cd4a47c2a2a,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-5,7.953612,,169.254.76.1,1,5,-,66:A9:5C:17:C3:41,229834d6-60a9-4fda-b82a-953310499be0,2021-02-03 07:18:15,30,3,67,19,5,02-02-23-12-22,-,2021-02-03 07:18:59,c9b156f1-701f-4014-b61a-cd99d94f4a0d,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-17,7.850928,,169.254.76.1,1,17,-,EE:06:5D:8E:5B:DD,e860f512-14cb-45a0-9dcc-ca3ff4c08405,2021-02-03 07:18:15,30,3,70,57,17,02-02-23-12-94,-,2021-02-03 07:18:59,9617559e-0198-4d6f-a4ed-6bbfaa629cc8,-,-,Yes,DEFAULT,-,-
