Id,Sender,Receiver,Rate,Bits,Sent Data,Rcvd Data,Sender Erasures,Receiver Erasures,SErasures,RErasures,Errors,Error %,Ones,OneErrs,OneErr%,Zeroes,ZeroErrs,ZeroErr%
1,82,38,10,50,10001100001000000110010110001000110000000000000100,11111111111011111110111111111110111111111111111111,,,0,0,34,68.0,13,0,0,37,34,91
2,47,31,10,50,11101111100111111111011111111111111111101111111111,11111111111111111111011111111111111111101111111111,,,0,0,3,6.0,45,0,0,5,3,60
5,96,42,10,50,10110101100011100101011111101110001011101001111101,10111111111111110111111111111110111111111111111111,,,0,0,16,32.0,31,0,0,19,16,84
6,91,40,10,50,10111111111111111111111111111011111111111111111111,11111111111111111111111111111111111111111111111111,,,0,0,2,4.0,48,0,0,2,2,100
10,79,37,10,50,11111001011111111110111110111000011000111001101010,11111111111111111110111110111111111111111111111011,,,0,0,14,28.0,33,0,0,17,14,82
11,87,45,10,50,11110111000111011101010001101111101111111100001111,11111111111111111111110111111111111111111110111111,,,0,0,14,28.0,34,0,0,16,14,87
12,65,11,10,50,01011000100010000100101011000010010001000110100000,11111111111111111110111111111111111111111111111111,,,0,0,33,66.0,16,0,0,34,33,97
13,68,43,10,50,11011011110001001110011000010111011110110000101111,11111111111111111111111111111111111111111111111111,,,0,0,21,42.0,29,0,0,21,21,100
14,10,4,10,50,01000110000000001001101001100000001000000001000000,11011111111101111111111011111111111111111111011111,,,0,0,35,70.0,11,0,0,39,35,89
15,93,83,10,50,11011101111111111101101011101011110101110101111111,11111111111111111111111111101111111111111111111111,,,0,0,10,20.0,39,0,0,11,10,90
20,92,85,10,50,01001101100100011111010101110010100110110101101101,11011101111111111111010111111111111111111111101101,,,0,0,16,32.0,28,0,0,22,16,72
21,74,49,10,50,11111110111111111110101101111111001110111111111111,11111111111111111111111111111111111111111111111111,,,0,0,7,14.0,43,0,0,7,7,100
23,54,27,10,50,11101101010111001101111010111111011111100111111101,11111111111111111111111111111111111111110111111111,,,0,0,12,24.0,37,0,0,13,12,92
24,81,75,10,50,00000000100000011000000100000011000000000100000000,11111011101111111111111111110111110111111111010101,,,0,0,36,72.0,7,0,0,43,36,83
