Id,Sender,Receiver,Rate,Bits,Sent Data,Rcvd Data,Sender Erasures,Receiver Erasures,RErasures,SErasures,Errors,Error %,Ones,OneErrs,OneErr%,Zeroes,ZeroErrs,ZeroErr%
2,67,13,200,1000,0001111111000100111011111011110110100011101010001110101000101110100110000101101111111111001111111000010011101100111100011100011011011011111010111011100010001011001110011000001101101111111111011101101011111000110101110001111011110111010010011010111111111010111010110110011010110110101001101001010011001100101011111111001111011011101011110101000111111110111111111111000001001111000011010110111100101010111010110000100000011111001100011111111011100100011110110110111101001001111100011110101100001110010010110000101011011110010011011001101110100111110111110111111001111000010011000011111010101000111111010111011011110011011011110111110011011111011010111001111110001000000101111110100100010100111011110100011100101011001011010111011000000111111011111010001010101101001101010101111000000100110100001111101111100100100000111101001101011110011111101101111111010101001111011001111100101011011100000111011101111111011000100110011101110011000101011111111001111101011110101110111011111111010110001111110111111110,0001111111100100111011111011111110100011100010101110101000101110100110100111101111111111001111011010011011101110111100111100011011011011111010111011100010101011000110111010000101101111111111111101101011111010111101010011110011110111010010111010111011111010111010100110011010010110101001001010010011101100100011111101111111011011100011110111000111111110111111111111001001001111001011010110110100101000111010010010101000111101001100111101111011100100011110110110111101101001111100111110101100001110010010110010101011111110011011111001101110000111111111110111111001000100011011000011110010101010111111111011001011010001011011010111111011011111011010111011111110001010001101011110101100110100111011010110011100001011001011110111011000100111111011111010001010101111001101011111111000101100110100001111101111100110100000011101001101011110011011001111111111010111001111011011111110101001011100000100011101111111010011110110011101110011001101011101110001111111011101101110110011111101011010001111110111101111,,,15,69,113,11.3,608,46,7,392,67,17
4,72,2,200,1000,0111110111111011010011001101111110111110011100101111010011111010101111111111111101111111111010111010101010111110011111001001111101111111110011111110110111011111001110001100111111111110110111111000100010011110101110011011101101111111110101111010011111111101110011111010101100101001111111110111111111111011111011101011101111111101011111100111001101111111010000101011111110010100011011011110110011110101111101101110111111101100111111000110111001011111111111110001101101011111010101111111111011010111110101111111101011111101001010111001111010111000111111111111100011100011111111111111111111010111111001111100101111101111011000101101101111011110110111010110111000111010111001010101101110111011110111111111110110111110011110111111001110101101110100111101101011110011011111101111111001111111000011101011111110101011101111111111101001111011011111111010110101111011110111100101110011010111011100110101110100111111110111010110111101101111110101011011110111110101010110110100101110011001111110110011011111111111,1111110110111011010011001101111110111110111100101111010111111010101111111111111101111111111010111010101011111010111111001101111101111111110011111010110111011101101110001100111111111110110111111000100010011000101110011011101101111011110100111010001110111001110011111010101110101001111111110111111111111011111011101011101111111101111111100111101111111111010000101011101110011100011011011110110011110101111111101010111111101100101111000110111001011111111111110001101111011111010111111110011011010111110101111001101011111111001010111001111010011000111111111011100011101011111111111111111111011111111011111100101111001111011000101111101111011110110111010110111000111010111001011101101110111011110111111110011010111110011110111111001110101101110100111101101011110011011111101111101011111111000010101011111110101011101111111111101001111011011111111010110100111011110111100101100011010111111100111101111100111111110111010110111111101111100111011011110110110101100110110100001110011001111111110011111111111111,,,3,52,63,6.3,718,32,4,282,31,10
5,57,6,200,1000,1100110000110000010001001100111100111101111000001010100110101110111111001000010010010101101001010001110111100000100111101011111001110000110010011010101100100000001101111110110101101000010010011101110010100111101101110110000110001011101100011110001110110100100110010000100011111011100001000111000100010011011110111100000010100011010111010010000100000000100111010101011110001011011101000011001111100010110010111110110000000110110111100100110110110010001110101100111111000100001111100011101001111010111001011001001101010000110101110110000000100001010010110100101011100110111011010101000011011010100110011101110110111110100000000010001110001100110011100100100010011111110110101111101101101000010101101111101101011110000001001001011000011001100111101000110000110100100000111111001000001111011000011110001100000111101010111011100010001011010111001100000100011101101000111100001101010010010100111011000011001111011000100100111011010001101111101011100110111111011001001010101110000011110100000010110001110001,1100110001110100010001001100111101111101111001001110100111101110111111001100010011010101101001010101110111100100100111101111111001010100110011011110101100100000001101111110110101101100010011011101110011100111101101110110000110001111101101011110001111110100100111010100100011111111100001000111000100010111011110111100000011100111010111010010010101000000110111010101011111001011011101000011011111100111110010111110111000000110110111100100110110110110011110101100111111000100011111100111111001111110111001011101011101010100110101110110000001100101010001110100101011100110111011010101000011011110100111011101110111111110110001000010011101001100110011100100110011011111110111101111111101101000010101101111111101011110010001001101011000011101110111101100110000110100100001111111001001001111011001011110001101000111101011111011110011001011010111001100010111011101111001111100011101010000010101111011010011001111011001100100111011000101101111101111100111111111011001101110111110000111110100000110010001110101,,,1,54,94,9.4,503,6,1,497,88,17
6,99,49,200,1000,1011000010001000101110010110111011100001101010000101000011101100000110101000010000010000010101101000111011010111110000000011111111001110011001000100011010111011011100001110011100101001100001110100100011000011011011011111000101111111101000111111101011010010111111001101110110010010110001110111010100111001010111001001101001100100010110101111110001111011110000001000111110000000111111011011001000110100011011011101100011111111101001000101100000001000101101010110010011000110010011111001000000001110001010110100011000000000001000000100011100111101001110011111101000111101111000010001001111011101110000011110001001000110001101011001000000100000001111111001010110001111101111101011100011100111000100000110010010100111010000011110011101110011001011000000010110001110011010100000100110100011000010011001011101110100000000000100111111111000011110110010000111111100011110011001000000100000011011010011011011111001010110110001110011100000010110000010101110001000000110110101111010011100101010111000011001101100,1111100010001000101110011110101011101001101010001101000010101100000110101000010010011000010110101000111011010111110000001011111111001010111001001100101010111011011110001010111100101001100001111000100011001001011010011111000111111011101010111011100011011010111111001101110110010010111101111011010110111001010111001001101011100100110110101011110001111011110010001000111110001000111111011011101000111000111011011101100011111011101001001001100000001000101101011010110011001110100011111001100000001110101010111000111000001000101000001100101100111001101110011011101000111101101000011001101111001101111000011110001011001010001110011001100010100000101111111001110110001111101111101010100010000111100100001010010010100111100000011110101101111011001010001000010110001010010010101000100110101011000010011001011110111000000010001100111111111000011110111010000111111000011110011001000010101000011011010011100011111001100110011111100011101000010110000010101110001000100110110101101010011000101010111100011010101100,,,9,83,125,12.5,488,47,9,512,78,15
7,23,8,200,1000,0001010000101000000001010011100010000000110100001000010001010000000100001011001110001000000000010000001101101000000001100010000100000001010000100001000110001011000000010001100000110000000100100000010000010010100101000001011100011011010000101000111010000101100000001100000100000000000011110000010010100010101100000110001010100000000001110010000011100010100101100010001001001000001111000100001111100110110000001111000000100110010100100000100000000001101011000000001000000010000000000010100000101000000110000011100100100000101010000100100010100000001000010000000110110010010001000101010000000001000100000100000011101011000100000000001100000100000000000001100001100101011101011011010000010010100011000101000000010010011110011010110000001001100100110011100000000001011001000000110100000001000101000000000010010000001100001000010000001011011000100000110000100110000001001010010001100111000100010000000010010001100000110000010000111100100001000100010010010001010010100010010000000000000010001110001000000111,0001011000101000001001110011101010000010111000101000010001110000001100001011001110101000001000110000001101101010001001100010001100100010000000100011000110100011001000010011100000100000001100100011010000010010100101100011111000011010010000101010111010100111100000101110000100100010000011110000010011000010101100000110001010100010001001110010001011100010101101100010001001101000001111010110001111100110100000101111001000100110010100101000101000000011101011000010010000100010000000100010101000101000001110000111100100100011101000000110101010100010001000110010000110110010010001100101010000000011001100100100101011101010000100100000001100110000000000100011100001100101011101111011011000110010101011100110000000110010011010011010011000001011101100110011101000000011011001100010110100100001001101000010001010010010001100001010010000101011011001100000010001000110000001101010011011101111001000010010000010110001101000110000010000111100000010001100011010110001010010100010010000100010000010101100001000000111,,,6,61,132,13.2,296,22,7,704,110,15
8,59,58,200,1000,0000001100000100010000000000100100001000000000110010001000000000000010000000000010100001000010101100110001100110000000000010010000101010010000111000000000000001000000000100001011011000000010000001011000010100100000000000000100001010000001000101100000000100100100000000011000000000000000011000010000010011010100111000000001110000010100000001000000000101000000000010000001100000000000011000000100011010000000100000000100101000000000001010010101000000001100000000000001000000000000000100000000010001010000000000001100100000101000100010010000000000000100101000001001001110000000011110000000000000000000101000000000001100000010011001100000001010100001000000000010000000000000000101100000100100001010000100000011100000000000000110000011100001010000001000010001011101010001000011010000001000100000000001010100000000000000000001101010000000100000001000001000000000010000010101000101000000000001010000110000000001000000000000000000001000000011010100001000100000010000000000000000100000001000000000011100000011,1000001100001100010010001000100110001000000010111010001010001000000010001000000010101001000010101100110011101110000010001010010010101010010010101000000010001001000010001100000011011000000010000001011010011100100010000000100110001010100001001111100010001100100110001000011010001000000010011000011010010011110110111000000011110000110100001001100000001101000010001010000011101000100010011000100110011010100010100000100110101000100010001010110101000000101110000000100011100000100010000100100010010001111010000000101110100000101010100010110010000000100100101000101001001110000010011110000010001000000010101000000010001100000010011001100010001010100001001000000010001000000010001101100010101100001010001100000011100000000010000110100011100001111010001000111011011101110001001011110000001000100000001001111100001000100000001001101010001000100000001000101000001000111000011101100101001000100001011000110000001001100000001000100000001000100011011110101000101010010010001000000010101000001010001000011110001011,,,0,4,139,13.9,206,2,0,794,137,17
9,60,39,200,1000,0001000100000000010011000001000000100011001000000011000010000100000100000011000000000000000000000001010100001000010000011000000101010001001000000000000010000000000000000000100101000000100001000001000000001100001001010000010000000000010000001100000010000000000001010000010000000101000010000000000000000000000100101000101000010000010001000000010100000000000010000001000010100001100110000000010000010000000110000100001000100000000001000100000100001010110000001010000000000000000000101000100100000101010100011000000000000000000100100000100001010000000000101000100011000000000000011100000000000100000000110000000000000000100000100001001100010000001000100000100001000100100000000000000000011000000000000000100100000000000000000100000000100001000000101001000010000110100000001000000000010000100000100100010000100010001100000000101000000100000100100000001000100000000000010000100000101100000000000001010000010010000000000100001110101000100010110000000100000000000010000100000000110000010010110010000001010000,0001000100010001010011010001000000110011001000010011000010010101000000010011000000010001000000010001010100011000010100011000000101010001001100010000000110010000000100010011100001010001100001010101000100011100001101010000010100010000010100011100000110010000000101010100010100010101000110010000000100010000000100111000101100010000010101010000010100010000000110010000000110110001100110010000010100010000000110000101001000100001000001000101000100001011110100001011000100000001000100101001100100000101010000101000000100011000000001110000100001010000000100111000100111011000000100011100000000000001000100110001000100000001100100100001001100000001001000110001110000010101100000010001000000011001000000010001100000010001000000010100000100110001000100111001000110010110100100011000000100010000100100100100010100110010001100000001101000010100000100110000001100110000000100110001100100101101000100000001010100010011010000010101001010101010100110110000000100010000000110100101000100100001010110100011001001010001,,,1,38,148,14.8,186,13,6,814,135,16
10,27,14,200,1000,0000001001101000000100100000000010011101000000100000001000110000100101000100010000010000001001000010001100000000100000010001001001000000001001111000011010100100001110001101000000000000001000001001000001000010101000000010000010101000000000100000001101000111010000000001001100000000000000011011000000000000001000000001000010000010110101001000000001000100000111000000000000010000000000000100001000000100001101000000000010001000001100011100100000000000000000000010010010001001110000000001000011000000000000100000000110001000010000000000000000001001100100000000000101000000000000001010100000000000001101110000010000000001010100010000001000110000001100101100000100100000110000000001000001100100010000000000101010000000010000000011100000000000001110001000010010000111100010000000000000000010001000010001000000000001001010101000000001000010000000000100000000000001000100100100100000101100011000000000000000001001110000000100001010010000000000000000000001101001000001010001010000011000000010000000000110000011,0010001001111010000100100011000000111111000000100010001000110011100101100111010000110010001001100010001100000011101100010011001001100010001001111011011010100100001010001111000000000010001100001001001001100010101000100010001000111000000000100000001101100111011100110001001100000010001100011011001100000010101000100010000010110011110101111010000001100100001111000010001100010010001010001100001000100110001101000010001110001011001000011110101000000010001000000011011110000011110000110011000011100010000000100010000110111000011000000010001000001011101100000010001001000010001000001011101000000010001001110010011000000010100100110010101000110000001100111100001100100000111000100001001001100100011000100000001110100000011000000011101000000010001100101010011010100111100000100011000000110010001000100001000000100001001110101011001101000011000000100100001000100001001000100011101000101110011100000010001000001010110100100100001010100100001000100000001001100011001001010011010000101001001110000010010000100011,,,7,45,184,18.4,216,22,10,784,162,20
11,87,80,200,1000,1110110101101011111111111111111111101111111011111111111110111101111111110110101001011100111111100001110111110110111110111111011011011111001011101111011101101111111111111111111101011111111111111001111101001111111110010101111111111111111010101111110111111111101111101110101111001010111111001111101111111110111111111110111101011100111010011111011111100111111111111001000101101111111111001111111111111101111111111101111111111110011111100111111111111001110101101111101111111011111111111110110011111111101111111011111111110101111111111110111011111100110110101101111011011110111011000011001111011111011111111101111101101110011111011111001111011111111101101111111111011110011111011101111111110101111110011101011011011110111011101011011111111011111011011111111101101111011111110101011111111011111111010011111110110111011111101011111111001011111100111111111110011101111100101101101111110111011101111101111100111011101100111001011101100010111100110111111111111111111111111111010111100101111100111011011111111101,1100110101011011111111011111110111101111111011111111010110111101110111110101101101011101111111000001110111110101111110111101011111011101000111111101011101001101111111111101111101011111110111111001010101011111110110010101111111011111110110011111110111111111100111001111100111011011111111011111100111011110110111011110111101011100110110010101011111011111111111111001000101101111111111001111111000011101111111111101110111111101001011110111111111111101110101011111101111111011001110011101010011111101101111111011110101110101111111111111110111111101111110011101111011010110111101000001000111011111011111111101111101111101011111011101001111111101111101011111111111011110011111011101111111110101111110011101010011011110111111011010011111011011111111011101011101101101011111010101011111011011111111010011111110010111011111001011111111011011111100111101111110011000111100111101101111110101011101011101111100111011100100111001100001110001111100110111111111111111111110111101010111100101111100011011011111011101,,,14,66,129,12.9,787,88,11,213,41,19
12,89,54,200,1000,1011010001001111111111111111111111011011111011011111011111110111110111111111111111111010111111101111001110011110111111001111111101111011111101111111111111110111101111111101011100110111111101111011110111111011011010100110111111010011011111101111111111010111111111111011111111101110110111110111111111011110111111111111111111111111101111111111110101111110110110111111110111111100111111111110111100111111011111111001111111101101111110111111111011111111111111001111111111011111101001111011110111111101100110110011111111110111111111110101110111111110011010111111111111011110101111011111111111111010101000110111111011111101111111111111111101110110011111111111011101010110011111111111111011111111111101110111101011111111100111111111111101111111011111000011111111011111110111111101101010101111111011111110101101100101111111111111111100111111111111111011101110111111101011101110111010110011101110010111111111111111011011111111011101111101111111011101111110111011111111111111110010111010101111111111010101111111,1011110001011111111111111111111101011011111011011111011111110111110111111111111111111011111111101111001110011111111111001111111101111011111101110111111111110111101111110001011100110111111101111011110101111011011010110110111111010011011111101111111111011111111111111011111111111111110111110111111111011110111111111111111111111111101111111111111101111111110110111111110111111101111111111110111100111111011111111001011111111001011110111111111111111111111111001111011111011111101101111011110101111101100110110011111111110111111111110101110111110111011110110111111111011111101111011111111111111011101000110111111011111101111111111111111101110110011101111111011101010111011111111111111111111111111101110111001011111111100111111111111101110111011111000011110101011111010111111101101010111111111111111111101101100000111111111111111100111111111101111011101110111110101111101111111110110011101110010111111101111111011011110111011101111101111111011100111110111011111111111111110100111011101111111111010101110111,,,14,91,55,5.5,816,27,3,184,28,15
