Logs,GUID,Error,IP Address,Success,Id,CPU CPI,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,End Time,Boot ID,Predecessors,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Tag,Channel,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-17-08/log,02-03-17-08-2,,169.254.76.1,1,2,7.998157,AA:93:0B:79:9A:0C,75e6ff91-6c61-45be-b684-703d35db13c7,2021-02-04 01:08:08,30,3,99,92,68,2021-02-04 01:08:52,7ed0eb10-0ae1-4543-8114-1a350e9dc1ee,02-03-17-06-64,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-5,,169.254.76.1,1,5,7.947655,C2:39:CF:84:55:F0,aa11f2f2-4b4b-4b1e-9483-195e8a7409f8,2021-02-04 01:08:08,30,3,56,24,5,2021-02-04 01:08:52,a6a6fa73-24fb-4828-b648-4925f49026af,02-03-17-06-33,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-33,,169.254.76.1,1,33,7.903335,E2:CF:77:98:63:70,0fb42b4f-e772-49af-ae28-bd01cd9e261f,2021-02-04 01:08:08,20,1,33,-1,-1,2021-02-04 01:08:42,9be6bc05-a558-4975-ba87-df1e15d63846,02-03-17-06-11,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-15,,169.254.76.1,1,15,8.125169,22:0C:0F:66:A1:95,92e1513a-0592-49ee-ad1e-459351ae0dee,2021-02-04 01:08:08,30,3,78,17,15,2021-02-04 01:08:52,04a6db9e-1c12-4264-8db8-d67a72279665,02-03-17-06-73,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-53,,169.254.76.1,1,53,7.863248,D2:01:F0:71:EA:8C,fe5be5e5-7f3d-4334-babb-ebb77aa44f04,2021-02-04 01:08:08,20,1,53,-1,-1,2021-02-04 01:08:42,c4bd1b42-920d-4f21-a1c1-d099c4243c54,02-03-17-06-62,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-34,,169.254.76.1,1,34,7.715619,3E:68:7E:ED:B9:87,a799dce3-0a38-46c5-a3e7-c72ae6df7b96,2021-02-04 01:08:08,20,1,34,-1,-1,2021-02-04 01:08:42,650dd418-259e-46a2-a617-c4e06c29d924,02-03-17-06-81,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-1,,169.254.76.1,1,1,7.872026,B6:33:1F:49:90:C9,d1f26814-e92d-4125-860f-19c8d78c367a,2021-02-04 01:08:08,30,2,45,1,-1,2021-02-04 01:09:01,f3f4a645-1bff-4c5b-ba81-51011f9edc5b,02-03-17-06-83,-,out/02-03-17-08/bit1_samples1,-,Yes,DEFAULT,1,-,-
out/02-03-17-08/log,02-03-17-08-32,,169.254.76.1,1,32,7.824526,96:76:76:16:C9:9A,a5107cef-a253-449b-aa1c-513449fee5fa,2021-02-04 01:08:08,30,2,62,32,-1,2021-02-04 01:09:01,ca755a58-e161-4ce7-abd8-64da8ab2d7be,02-03-17-06-68,-,out/02-03-17-08/bit1_samples32,-,Yes,DEFAULT,2,-,-
out/02-03-17-08/log,02-03-17-08-10,,169.254.76.1,1,10,7.848720,7E:64:AE:A7:71:5B,cabede78-2239-4927-a314-c7a2a66a6596,2021-02-04 01:08:08,30,3,97,77,69,2021-02-04 01:08:52,247d9b43-7a4b-4ccc-b937-ffe1f9a78d97,02-03-17-06-80,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-75,,169.254.76.1,1,75,8.005231,0E:1C:18:8B:8B:F8,e31db596-182a-46ce-94d8-ef93c58d3b37,2021-02-04 01:08:08,30,3,91,75,40,2021-02-04 01:09:01,b35b25c2-df8b-46dc-b2ff-c16a185ead7f,02-03-17-06-10,-,-,-,Yes,DEFAULT,3,-,-
out/02-03-17-08/log,02-03-17-08-68,,169.254.76.1,1,68,7.884977,5E:D3:A2:19:8A:07,5092053f-cec5-4476-8c51-c0ab3a2a7f6b,2021-02-04 01:08:08,30,3,99,92,68,2021-02-04 01:08:52,d419860b-0e27-418b-b418-2764dca791de,02-03-17-06-77,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-50,,169.254.76.1,1,50,7.884049,32:C5:11:D6:E6:A7,e873a322-e7d1-4308-9786-5b2c7903c29e,2021-02-04 01:08:08,20,1,50,-1,-1,2021-02-04 01:08:42,a65ea602-9ca1-4c24-b21d-6228a1ca45c5,02-03-17-06-32,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-24,,169.254.76.1,1,24,7.953580,8A:31:13:34:30:9C,c65dabf1-53fd-4bc7-a334-6d9a44436f8f,2021-02-04 01:08:08,30,3,56,24,5,2021-02-04 01:09:01,8aa8c1fe-763d-4236-86f4-d9070b1d72b8,02-03-17-06-9,-,out/02-03-17-08/bit1_samples24,-,Yes,DEFAULT,4,-,-
out/02-03-17-08/log,02-03-17-08-76,,169.254.76.1,1,76,7.709955,E6:2D:7A:7E:83:DA,db5bb36a-fce9-4173-a6e0-57819f2d6489,2021-02-04 01:08:08,20,1,76,-1,-1,2021-02-04 01:08:42,65c0d59c-e31a-4fac-8897-55883eff3f7a,02-03-17-06-78,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-49,,169.254.76.1,1,49,7.893267,C2:3A:93:0F:8F:DB,ea904b4e-e82c-4087-b060-3c5d5d716446,2021-02-04 01:08:08,30,2,49,12,-1,2021-02-04 01:09:01,24db9a53-3d53-43b8-b3cc-4c743603f1f0,02-03-17-06-69,-,-,-,Yes,DEFAULT,5,-,-
out/02-03-17-08/log,02-03-17-08-30,,169.254.76.1,1,30,7.717152,EE:4D:CF:54:BE:E4,50a719b2-0110-4598-92c6-53ec448df03e,2021-02-04 01:08:08,30,3,86,80,30,2021-02-04 01:08:52,350c391a-747e-4e94-9254-6621ee01a8b2,02-03-17-06-15,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-40,,169.254.76.1,1,40,7.913592,E2:74:07:70:E7:A7,519dffdd-6d31-4dcd-be81-eb1d4c30c8a6,2021-02-04 01:08:08,30,3,91,75,40,2021-02-04 01:08:52,fec76e9e-bfd3-4059-b4e7-6932d98c02fd,02-03-17-06-95,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-80,,169.254.76.1,1,80,8.270061,B6:00:24:59:43:9C,e1c9f612-d8e7-4f3f-b113-7967a8cc38d1,2021-02-04 01:08:08,30,3,86,80,30,2021-02-04 01:09:01,7febeadd-957f-49d8-8d2f-3e0d9ed9ccd5,02-03-17-06-29,-,out/02-03-17-08/bit1_samples80,-,Yes,DEFAULT,6,-,-
out/02-03-17-08/log,02-03-17-08-94,,169.254.76.1,1,94,7.943653,82:DE:89:79:71:6E,0eab7218-ac16-4a7c-8574-753f52205fb6,2021-02-04 01:08:08,30,2,94,85,-1,2021-02-04 01:09:01,9093ed19-631b-4308-8df3-83978f353fcd,02-03-17-06-96,-,-,-,Yes,DEFAULT,7,-,-
