Logs,GUID,Predecessors,CPU CPI,Error,Success,Id,Channel,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,IP Address,Bit-0 Sample,Phase 3,End Time,Boot ID,Base Sample,Bit-1 Sample,Warm Start,Tag,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-17-36/log,02-03-17-36-28,,7.835896,,1,28,1,8E:84:AC:60:D8:0B,f32457cc-6937-4d35-99bb-f39aca69cf44,2021-02-04 01:36:28,30,2,28,9,169.254.76.1,out/02-03-17-36/bit0_samples28,-1,2021-02-04 01:37:21,30e7f11b-cb58-430a-a039-3e1453e5ea11,-,-,No,DEFAULT,-,-
out/02-03-17-36/log,02-03-17-36-79,"02-03-17-26-89,02-03-17-29-20,02-03-17-33-71",8.251051,,1,79,2,26:FB:13:42:AC:83,9d0bdad8-c3e7-442a-b01a-f76709e00bfc,2021-02-04 01:36:28,30,3,79,75,169.254.76.1,out/02-03-17-36/bit0_samples79,7,2021-02-04 01:37:21,ff2b1fb4-e877-4ca7-921f-8d4dd53442a3,-,-,Yes,DEFAULT,-,-
out/02-03-17-36/log,02-03-17-36-40,"02-03-17-29-83,02-03-17-33-63",8.119587,,1,40,3,F6:41:56:98:6D:04,57011be7-4113-441c-bf90-a6e47bd5cf45,2021-02-04 01:36:28,30,2,66,40,169.254.76.1,-,-1,2021-02-04 01:37:22,fb23b151-ae17-47ed-ae3c-bfb74a58a01d,-,out/02-03-17-36/bit1_samples40,Yes,DEFAULT,-,-
out/02-03-17-36/log,02-03-17-36-27,"02-03-17-06-49,02-03-17-08-87,02-03-17-09-68,02-03-17-12-51,02-03-17-16-69,02-03-17-19-34,02-03-17-22-6,02-03-17-26-95,02-03-17-29-1,02-03-17-33-14",7.789515,,1,27,-,36:BA:59:F5:FB:52,9023e002-f56c-4cf5-aa3c-61940183cc91,2021-02-04 01:36:28,30,3,98,92,169.254.76.1,-,27,2021-02-04 01:37:12,c5450403-2423-4b66-887e-3b4c0995026f,-,-,Yes,DEFAULT,-,-
out/02-03-17-36/log,02-03-17-36-10,02-03-17-33-62,7.879309,,1,10,-,5E:EE:55:37:04:6E,5ac8936a-a0ff-4a25-af0e-89fe80967f8d,2021-02-04 01:36:28,30,3,73,71,169.254.76.1,-,10,2021-02-04 01:37:12,763a9398-bc5a-4b8c-b696-d39e635a5b26,-,-,Yes,DEFAULT,-,-
out/02-03-17-36/log,02-03-17-36-72,"02-03-17-26-23,02-03-17-29-11,02-03-17-33-34",7.842116,,1,72,4,AE:F6:F7:F1:86:EC,cc3721d2-fd18-4ec9-a60c-68de1bcc7c34,2021-02-04 01:36:28,30,2,72,58,169.254.76.1,out/02-03-17-36/bit0_samples72,-1,2021-02-04 01:37:21,1543a873-339d-4725-894a-0638a385effe,-,-,Yes,DEFAULT,-,-
out/02-03-17-36/log,02-03-17-36-46,"02-03-17-06-7,02-03-17-08-28,02-03-17-09-55,02-03-17-12-18,02-03-17-16-22,02-03-17-19-13,02-03-17-22-35,02-03-17-26-12,02-03-17-29-26,02-03-17-33-5",7.806495,,1,46,5,72:1F:77:BE:58:9C,457e51e2-4017-460c-9aa4-0df1013bcc4e,2021-02-04 01:36:28,30,2,64,46,169.254.76.1,-,-1,2021-02-04 01:37:21,14e453cf-b6ef-4402-bbc7-544b63146ace,-,out/02-03-17-36/bit1_samples46,Yes,DEFAULT,-,-
out/02-03-17-36/log,02-03-17-36-55,"02-03-17-06-66,02-03-17-08-26,02-03-17-09-85,02-03-17-12-25,02-03-17-16-47,02-03-17-19-32,02-03-17-22-41,02-03-17-26-80,02-03-17-29-2,02-03-17-33-92",7.828420,,1,55,-,FA:A6:9A:BA:A5:5A,7cb37743-0963-4292-b5a1-b9486922dbdb,2021-02-04 01:36:28,30,3,96,91,169.254.76.1,-,82,2021-02-04 01:37:12,74e32759-bbde-484e-a1db-739d4dff6823,-,-,Yes,DEFAULT,-,-
out/02-03-17-36/log,02-03-17-36-31,02-03-17-33-78,8.217430,,1,31,6,86:A1:3E:DA:62:3D,83d69a68-d4cd-4343-989a-ee4d92787a8c,2021-02-04 01:36:28,30,3,31,20,169.254.76.1,out/02-03-17-36/bit0_samples31,11,2021-02-04 01:37:21,84497ddd-48c0-401b-a913-4af2f22e9f14,-,-,Yes,DEFAULT,-,-
out/02-03-17-36/log,02-03-17-36-45,02-03-17-33-93,7.811692,,1,45,7,CE:A6:1F:F8:95:15,8d34c9fb-f4f5-4fb0-8a07-9cefdbe0ff11,2021-02-04 01:36:28,30,2,45,41,169.254.76.1,out/02-03-17-36/bit0_samples45,-1,2021-02-04 01:37:22,58107369-788d-4878-8e2d-18a62bf01b27,-,-,Yes,DEFAULT,-,-
