Id,Sender,Receiver,Rate,Bits,Sent Data,Rcvd Data,Sender Erasures,Receiver Erasures,RErasures,SErasures,Errors,Error %,Ones,OneErrs,OneErr%,Zeroes,ZeroErrs,ZeroErr%,Byte Errors,Byte Errors %
1,100,98,100,500,01111010110000100111011111010010001111111011010000011001101011000011101010010100100100011110000111110010000010110111110000011010010001100101101010111011000111011011001000010100111011101010101101001101101011000000111011111000100100011100110111100110100100101110000111100001111000100011101011100010000010101110010001011101011110111100011010111110110100001110100000010011100111111111100111100011000011111101100000110101100001000110000000111101100001111111010111110111000001011101010111111100111110000100,11111010111010101111011111011010101111111011011010011011101011101011101010100110101010011110100111111010001010110111111000111011111011101001101010111011001111011011001000111100101011101010101111001111101011001010111011111000101000111000101111101110101100101110101111101001101000100011101010100010001010101010011011011101111110111110011010111110111100101010100010100010101011111111101111101011001011111101101000101101101011100110100010101111101011111111111111110111001010011011011111111110111110001010,,,0,30,91,18.2,262,19,7,238,72,30,52,82.53968253968254
4,85,51,100,500,10100000111001111011010111100010010010101001100001111110000111100101110010100101101110110110110110011010010111111110110110111111011101101110011001111101101011111001011101111001110111111010110100101011111011100111011111111101111011110011111100101011110000111011110111010111101100011001111010101111110101101111111110101000110001111110010111011111111111100110111111110101101111001111011101101111101011011101101111001011101010011110011111101111111111100010001111111010110011110111011110111111101110101110,00110100111001111111010111000110010011101101100101111110000111100101110011100101111111110111110110011011010111111110110110111111011101101110011001111101101011111001011101111101110111111011110100111111111111110111011111111101111011010111111101101011110001111011110111010111111101011101111111111111110101101111111110101100110101111111010111011111111111100110111111110101111111011111011101101111111011011101111111011011101011011110011111101111111111100110011111111010110011110111011110111111101110111110,,,2,12,42,8.4,336,3,0,164,39,23,31,49.20634920634921
5,74,50,100,500,11111110111010111010100110111110111001011011110101111110111101011111111110100110110101011111010001111011010011111011111001101101010101111101011110101111101111111101011101011101111011111001111010101011110111111110111111111110110011101111101100100111010110101111011110100011011110111100111011011101111101100011101011011101111011101111111110010110011101111010111110011100100110111110101101111011111111101011010111111111000100101111111111110110101011111101111110011101011111111111100110001111111101111111,11111110111011111110110110111110111001011111111101111110111101011111101110100111100101011111000111111011010111111011111001111101000101111001011110101111101111111101011101011101111011111001111110101111110111111110111111111111110011101001101100110111010111111111111111100011010111111100111011011101111101110011101111011101111011101111011110110000011101111110111110011100110111111110111111111011111111101010010111111111010101111111111111110100111111111101111111011101011111111011100111011111111101111111,,,2,17,49,9.8,361,14,3,139,35,25,34,53.96825396825397
6,72,28,100,500,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011101111111111111111111111111111111111111111111111111111111111111111111011111111111011111111111111111111111011111111011111111111111111111111111110111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,,,1,20,9,1.8,500,9,1,0,0,-,9,14.285714285714286
7,93,69,100,500,01100000000000110100100000000010011000010010100010011101111111010001010100010000000000101010001010101011011111000100100000000010011100110001000011111011000100101001110100100010101000001111111001000010111010010101001001100110010001000000000101010111101100010001111011100110000111010000001100000000100110100011100101011010100101011000000000000001001110000001100100101000000100001000001101001010000110100011000010100001000011010101000001111101011001001000000000001010001100001111100101000010100110110100,01100001010001110100100100010110011100010011110011011101111111010001010100010001010001111010011011111011011111000101100101000111011100110101010011111111000101101001110100110110111100011111111001010011111011010101001101100110010001000101000101011111101110110001111011100111000111010001011101000101100110110111110101011111100101011001000101000101001110000101110101101101000110011100011101011011010111100111000111100101000111010101000101111101011001001101000101001111001101001111100101000111100111110101,,,0,4,85,17.0,191,0,0,309,85,27,47,74.60317460317461
8,77,36,100,500,11101111011110011110111001111111111111111010011111111010111010111111110110110100111011011110111011111111110010011111011111101111111111011011111100111101101111111011111110101111111111111110111111001111111011011111110111011111011111100011011110011111111111101111111111111111111011111101011010111111111100111110111101110111111011011111110011010111111111101101100111011011111111011110010111111111111111111101101111110111110111001111011111101111111110111111011011101110011111010101111111111111001110111011,11111111011110011110111001111111111111111010011111111010011000111111110110110100111111011111011111111111110110011111111111101111111111011111111100111111111111111011111111101111111111111110111111101111111011011111110111111111011111010011010110011111011111111111111111101111111011111101011111111111111100111111011101110111111011011101110111010111111111101101110111011011111111011111010111111111111111111101101111110111110111011111111111011111111101111111011111111111011110010101110111111111101110111001,,,5,29,42,8.4,400,14,3,100,28,28,33,52.38095238095238
11,41,14,100,500,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111110111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111011111111101111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111,,,2,21,6,1.2,500,6,1,0,0,-,6,9.523809523809524
12,90,46,100,500,11110111110010011111111111100111111110100111101101110010101111101111110110110110111010010111111110110111111111011101101110011101111111101011111101011101111011110111111011110100111111111011101111111111111101111111110111111110111011111100111011110111110111111111011101111011101111110111101111111111101101110001111110010111111111111111110110111111111111111111111111111111101111111011011101111111011111101010011110011111101111111111111010001111111010110111111111011110111111101111111111101111110001111101,11111111111010011111111111100111111110100111101100110010101111101111101110111110111010110111111110110111111111001101101110011101111111101011101101111111111011101111111011111110101111111011101111111111111111111111111111111110111011111100111011110011101111111111111101111011101111110111101111111111101111111011111110010111111111111111111110111111111111111111111111111111101111111011011100111111011111101010010110111111101110111111111010101111111010110111111111011110111111101111111111101111110001111111,,,0,17,32,6.4,402,11,2,98,21,21,25,39.682539682539684
13,87,39,100,500,10000000010000011001000010010100000000011110000010000001100010100000010010000000000000000011000010010000000000001000000001010000000010000000000101010000000111010001110000011000000000100000000000000001000100010000001001000000001010010000010000010001000110000001000000011000100000100000001000000000001000011000001000000001001000010100001000000011000000111100000000000001000000000000000001001000000001101110001000110010000100000000000000000000000110000010101000000000011000001100001011000001000010100000,10101000111000111001101010110110100010111110100010001011101010101010110010100010001010001011001010011010001010001010001011011010001010001010001111011000101111110011110010111010100010100010100010100011100100011010001011001010001100011010011010011011001110001011001000111010100010100010101010110110101010111010101010100011101010011110001000101011100010111110100010100011100010100010100011001010000011101110001000110010000110101000101000101000101110100010101000101000111010101110101011100011100010100010,,,2,4,132,26.4,102,1,0,398,131,32,58,92.06349206349206
14,96,34,100,500,11011111001111111111111111101111101111110111111111111111111101111111101111110111110110111101101111110110111111111111101111111111111111111111111111111001111111111111111111101011101110011101011110101100111111111001111111111110111110101111111101101111111010110101111111111111111111101111011111111111111110111110001110111111111111111110111111111111111111111010111111111111111101101001111111111101111111111110111110111010111110111111111111111111111111111111111111111111011111111110111011111111111111111111,11011111001111111111111111111111111111110111111111111111111101111111111111110111110111111101111111110110111111111111111111111111111111111111111111111001111111111111111111111111101111011101011110111101111111111001111111111111111111101111111101111111111011110101111111111111111111101111011111111111111110111110011111111111111111111111111111111111111111111110111111111111111101101101111111111101111111111110111111111011111111111111111111111111111111111111111111111111011111111110111011111111111111111111,,,0,3,23,4.6,437,0,0,63,23,36,20,31.746031746031747
16,92,84,100,500,00100000000000000000000000010001000100000000000000000000000000000000010000000000000000010000000100000000111000000001000000000000000000000000101000001010001000000001000101000000000000000001010001000000111000000100010010000010000000000010000010000010000100000000000100000101000000000000000000101000000000000001000000000000000000010000000000000001000000000000000000100000000001000000000000000010010001000000000000000000000000000100000000010000000000000100000000100000000010001000000000000000000000000000,00101000101000101000100000110011100110100010100010100010000010100010110010100010100010111011001110001010111010001011001010001010001010001010101000001010001010000011001101101000101000101001110011100010111010100110110010100010100010100010100010100010100110100010100110100111001010001010001010101010001010001011001010001010001000011010001010001011000010001010001010101010001011001010001010001010011011001010001010001010001010001110000010011010001010001100101000101000101010101000101000101000101000101000,,,0,0,143,28.6,52,0,0,448,143,31,61,96.82539682539682
17,53,44,100,500,11111111111111111110010111110111111111011111111111111111101111111111111111111111111111111111110111011111011110111110111111011111111111111111111011111111111111111111111101111111111101111110111110101111111111111111001111111111011111111111111110111101111111110110111111111111111110111101110111111111111111111111011111111111111011011110111111111111111110011111101101111111110101110111111111111111111111111011111111111111111111111111111110111111111110111111111101111111101111111110011111110111011111111111,11111111111111111110011111110111111111011111111111111111101111111111111111111111111111111111110111011111111111111110111111011111111111111111111011111111111111111111111101111111111111111110111110101111111111111001101111111111111111111111111110111101111111111110111111111111111110111111111111111111111111111111111111111111111011111110111111101101111110111111101101111111111101110111111111111011111111111011111111111111111111111111111110111111111110111111111111111111101111111110011111110111011111111111,,,2,9,19,3.8,452,5,1,48,14,29,15,23.80952380952381
18,91,80,100,500,00000100000000000000000010001000000000000000001000000000000001000000000000000000000000000000001000000000000000000000000001000000000001010001001000000001000000000000010000000000000000010000000000001000000000100000001000000000000000010010010000000010001100001001000000000000000000000000001000100000000000000100010000000000000000000000000000001000001000000100000000000000000000010000000100000000000000100000000001000000000000000100000100000000000000000000000000000000000000010000000001010000000000000000,00101100110010100010100010101010100010100010101010100010100011100010100010100010100010100010101010100010100010100010100011100010100011011011001010001011001010001010011010001010001010011010001010001010001010101010001010001010001010011010011010001010001100001001101000001000101000101000001000101000101000101100111000101000101000101000101000101000101010100110100010100010000010110010100110000010100010100010100011001000101000101100101100101000101000101000101000101000101000111000101001010010100010100000,,,0,0,146,29.2,41,0,0,459,146,31,60,95.23809523809524
20,73,55,100,500,11011011011110011011110111111110110111110101101101111111011111011000111100111111110010011011010111111111100110011011111011110111101111101111111111110101111111011111111101110101111111110111111110111111110011110101101110101111111111111111011001111011111000101000011111010110111111100110110001010101100110111011111111111101101111111101110001111100111011111100010111110111100110011111111111110110111100011001001011001110111101111011010111110111110111010101110011101111001001111010111110110011101111111111,11111111011111011111110111111110110111110101101101111111011111011100111100110111110011011111010111111111110110011111111111110111001111111111111111110101111111011111111111110101111111110111111110111111110111110101101110011111111111111111011001111011111101101100011111011110111111100111110101011101110111111111111111111101111111011111110101111101111111111101010111110111100110011111111111110111111101011111011111011110111101111011010111110111110111010101110111111111001101111110111110110111111111111111,,,1,9,47,9.4,368,4,1,132,43,32,36,57.142857142857146
