Logs,Boot ID,MAC Address,Samples,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/04-21-15-14/log,4a69c27b-b875-4c64-a9b5-d1c9dcfcdc14,32:86:AD:9E:BF:C6,out/04-21-15-14/samples41,41,1,2020-04-21 22:13:51,2020-04-21 22:14:17,41,60f3b97a-9bc3-44f3-96ba-03c29d16793c,1,
out/04-21-15-14/log,6312f24b-2ae8-484a-94dd-45b6dab5b19c,06:AF:64:0B:9B:F7,out/04-21-15-14/samples11,11,1,2020-04-21 22:13:51,2020-04-21 22:14:17,11,9ae55c10-ddd6-466e-8b4f-2294ebeabf50,1,
out/04-21-15-14/log,ec5317c8-67f7-44f0-bcef-3a4c0421c79c,BE:8A:02:3A:8B:31,out/04-21-15-14/samples91,91,1,2020-04-21 22:13:51,2020-04-21 22:14:17,91,7445ffc5-6e64-4289-b90d-7fada202e579,1,
out/04-21-15-14/log,c071f34f-6ad0-4586-b531-724272315a49,AA:72:FB:35:0A:7D,out/04-21-15-14/samples1,1,1,2020-04-21 22:13:51,2020-04-21 22:14:17,1,b4c31b27-0b61-4e5c-b1d3-d1fc3e533634,1,
out/04-21-15-14/log,d490ebc1-c90b-44a2-88f6-3a69e7c7bc8a,5A:F3:42:D9:2B:BA,out/04-21-15-14/samples71,71,1,2020-04-21 22:13:51,2020-04-21 22:14:17,71,3bd33fe4-345f-448d-90c2-f4db3e143067,1,
out/04-21-15-14/log,141881c7-ce18-4256-8403-3511903c2da1,3E:DC:70:B3:23:27,out/04-21-15-14/samples81,81,1,2020-04-21 22:13:51,2020-04-21 22:14:17,81,7396e507-4145-4dcc-9514-f3efe7c95375,1,
out/04-21-15-14/log,40b58ba5-2f45-4a8d-b23e-02bbd2e2b624,2A:CF:C8:1E:FE:AF,out/04-21-15-14/samples21,21,1,2020-04-21 22:13:51,2020-04-21 22:14:17,21,f6e577c8-c2c9-4376-b8c5-5965cf4d9edb,1,
out/04-21-15-14/log,16d0d297-0179-4ddb-8eb5-487d9d6101c1,DA:0D:27:D8:99:E5,out/04-21-15-14/samples61,61,1,2020-04-21 22:13:51,2020-04-21 22:14:17,61,761238f3-eaa8-4108-9d83-8b8e846a2df4,1,
out/04-21-15-14/log,b3d0b678-57b6-4a54-8b7d-e92874c1e538,7E:38:A8:1C:C0:02,out/04-21-15-14/samples31,31,1,2020-04-21 22:13:51,2020-04-21 22:14:17,31,3a205672-8be2-4bb9-9072-384447d77cd3,1,
out/04-21-15-14/log,e15fa568-2354-4436-9a6a-46f0266a5d5b,0A:1E:32:6B:5F:30,out/04-21-15-14/samples51,51,1,2020-04-21 22:13:51,2020-04-21 22:14:17,51,ebdebaa8-dad7-440f-b00f-0cfeb8f7aa7f,1,
