Logs,Boot ID,MAC Address,Base Sample,Phase 1,Phases,Bit Sample,Start Time,End Time,Id,Request ID,Success,Error
out/05-07-15-21/log,55623d57-2204-4771-a050-351ba0d2b37d,AA:15:3C:4A:00:80,out/05-07-15-21/base_samples311,320,1,out/05-07-15-21/bit_samples311,2020-05-07 22:21:05,2020-05-07 22:21:19,311,a199d6a9-43f4-4a75-92c7-6a463e6e781a,1,
out/05-07-15-21/log,34a9424c-d4e1-4206-829c-7baa7629046e,52:1E:E8:FB:5E:D1,out/05-07-15-21/base_samples471,512,1,out/05-07-15-21/bit_samples471,2020-05-07 22:21:05,2020-05-07 22:21:19,471,f4e8b61b-62bb-493b-b194-a2fee6e14077,1,
out/05-07-15-21/log,37dbc725-fd38-4c45-a0c7-e06bf763c325,22:B3:C7:72:C2:C2,out/05-07-15-21/base_samples841,842,1,out/05-07-15-21/bit_samples841,2020-05-07 22:21:05,2020-05-07 22:21:19,841,05329bca-509f-451a-a671-74e73b88f01d,1,
out/05-07-15-21/log,8baff737-b03a-4ceb-ab65-e76b47a27143,FA:F1:35:5F:2B:61,out/05-07-15-21/base_samples691,691,1,out/05-07-15-21/bit_samples691,2020-05-07 22:21:05,2020-05-07 22:21:19,691,dc7c31fa-46c9-448b-ae93-4af22a3fb180,1,
out/05-07-15-21/log,4832de3c-865b-471e-8614-6bffaffe5e3c,7E:81:CE:C3:EE:45,out/05-07-15-21/base_samples281,282,1,out/05-07-15-21/bit_samples281,2020-05-07 22:21:05,2020-05-07 22:21:19,281,cb1b2d8c-ee12-40fd-afd4-6e8a6eea4998,1,
out/05-07-15-21/log,b9d2f4f9-4278-4a0b-afb7-b12ea21905fe,BE:A7:61:25:77:F2,out/05-07-15-21/base_samples1,516,1,out/05-07-15-21/bit_samples1,2020-05-07 22:21:04,2020-05-07 22:21:19,1,1ef21350-8625-4e32-b888-8b9d7767a440,1,
out/05-07-15-21/log,ffac8120-bb1b-4ebf-96ba-15580a8e434f,A6:F7:A2:A0:3A:CD,out/05-07-15-21/base_samples41,72,1,out/05-07-15-21/bit_samples41,2020-05-07 22:21:05,2020-05-07 22:21:19,41,d0bf9d49-6285-482a-9cca-49d8276c0721,1,
out/05-07-15-21/log,9c7086bd-4d84-41db-ba30-ad2fa60f1822,0A:C2:44:FA:6D:59,out/05-07-15-21/base_samples821,921,1,out/05-07-15-21/bit_samples821,2020-05-07 22:21:05,2020-05-07 22:21:19,821,adfed624-da8b-4751-926c-a536df84c740,1,
out/05-07-15-21/log,6f918930-a417-450d-a614-1a826e8b3b03,22:55:C7:09:78:8A,out/05-07-15-21/base_samples771,800,1,out/05-07-15-21/bit_samples771,2020-05-07 22:21:05,2020-05-07 22:21:19,771,7747b43e-e9f4-46d0-857b-6652ef973f7b,1,
out/05-07-15-21/log,211ee252-60b4-4737-b48e-8cb501a03217,E2:3F:49:D4:B4:6F,out/05-07-15-21/base_samples811,833,1,out/05-07-15-21/bit_samples811,2020-05-07 22:21:05,2020-05-07 22:21:19,811,14242039-42fb-4358-9801-1dc6bc14e30f,1,
