Logs,Boot ID,MAC Address,Base Sample,Phase 2,Phase 1,Phases,Bit Sample,Start Time,End Time,Id,Request ID,Success,Error
out/05-21-14-02/log,04fbaff4-5a52-40d1-97b1-e463c805a52e,82:16:70:07:10:9C,out/05-21-14-02/base_samples21,91,82,2,out/05-21-14-02/bit_samples21,2020-05-21 21:02:03,2020-05-21 21:02:28,21,b9613fbf-36dd-4760-a99a-fd3eade8a54c,1,
out/05-21-14-02/log,e51a31d2-29a7-48e2-b9ee-fb343705c5db,EA:21:E9:98:08:0C,out/05-21-14-02/base_samples51,51,51,2,out/05-21-14-02/bit_samples51,2020-05-21 21:02:03,2020-05-21 21:02:28,51,1ec7a3b8-4981-47fd-b66b-fce4c134f559,1,
out/05-21-14-02/log,1faef722-892d-4c5c-96e5-9cc1231a9736,C6:54:8E:71:94:44,out/05-21-14-02/base_samples1,1,1,2,out/05-21-14-02/bit_samples1,2020-05-21 21:02:03,2020-05-21 21:02:28,1,62c77cbf-14b3-481a-94d1-c5ca620493f9,1,
out/05-21-14-02/log,fd4ce57b-6042-4ba5-9b75-3342d68f6004,DE:CE:E2:36:32:E6,out/05-21-14-02/base_samples91,91,91,2,out/05-21-14-02/bit_samples91,2020-05-21 21:02:03,2020-05-21 21:02:28,91,c6983d15-a1d7-4457-a166-bd65321a2d9d,1,
out/05-21-14-02/log,91d0ef13-e9d8-495c-a632-4158c2f32fb0,76:95:0D:8A:40:D4,out/05-21-14-02/base_samples71,81,81,2,out/05-21-14-02/bit_samples71,2020-05-21 21:02:03,2020-05-21 21:02:28,71,f1aba06a-8c6e-4bee-a2ab-14d94edf0e04,1,
out/05-21-14-02/log,4d3a6119-8571-4461-8a0a-e98d1d5334e8,62:6E:84:D8:16:21,out/05-21-14-02/base_samples81,81,81,2,out/05-21-14-02/bit_samples81,2020-05-21 21:02:03,2020-05-21 21:02:28,81,164d5c90-435f-430d-919c-f94fa3bbe7ce,1,
out/05-21-14-02/log,e72fb0c8-7a5e-4eb3-9c02-505f5a314477,26:F8:69:D9:83:D5,out/05-21-14-02/base_samples61,61,61,2,out/05-21-14-02/bit_samples61,2020-05-21 21:02:03,2020-05-21 21:02:28,61,638540a4-534a-4002-a784-38c216d5587d,1,
out/05-21-14-02/log,211fb0f2-c9b7-47be-8fd8-651738bc0ca9,2A:4C:8F:D2:1C:13,out/05-21-14-02/base_samples31,89,91,2,out/05-21-14-02/bit_samples31,2020-05-21 21:02:03,2020-05-21 21:02:28,31,92f2134e-163e-46b8-97f4-ae265e55fd4a,1,
out/05-21-14-02/log,3fa11293-f8dd-4fbb-8fc0-d5f77dd4ad16,B2:EB:5A:56:C9:11,out/05-21-14-02/base_samples11,11,11,2,out/05-21-14-02/bit_samples11,2020-05-21 21:02:03,2020-05-21 21:02:28,11,6867cd30-8cb1-41f8-91b1-28d8c83783df,1,
out/05-21-14-02/log,d5f62b15-5300-4d97-b51b-0031c7455327,E6:FE:48:4A:C9:95,out/05-21-14-02/base_samples41,41,41,2,out/05-21-14-02/bit_samples41,2020-05-21 21:02:03,2020-05-21 21:02:28,41,66698319-c9eb-4179-bab2-b2bafb104dda,1,
