Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 5,Phase 1,Phases,Start Time,Phase 4,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/08-20-14-08/log,74f68b7d-10e0-479e-ae58-5b739b0ce2db,26:0C:CF:15:03:7C,119,119,119,119,5,2020-08-20 21:08:40,119,2020-08-20 21:10:29,118,76f807fd-0343-4172-8935-7860d3fd6128,1,,-,-
out/08-20-14-08/log,41816139-81ea-41f9-a57d-4aa00a6930fb,72:22:CC:A1:D3:80,422,422,422,422,5,2020-08-20 21:09:09,422,2020-08-20 21:10:29,422,59a9111f-c576-4210-bb1d-b0bb74678cde,1,,-,-
out/08-20-14-08/log,c6f84952-97da-477b-9c5b-ed6cdb0ed72b,C6:83:B8:05:3B:1A,959,899,896,419,5,2020-08-20 21:08:40,963,2020-08-20 21:10:30,309,d9d3f2ed-7d3f-4f7c-8719-c0761038b4e1,1,,-,-
out/08-20-14-08/log,35071767-735b-4d1e-9627-b2569d76010c,FA:F3:F4:46:2A:D4,988,916,726,980,5,2020-08-20 21:08:48,732,2020-08-20 21:10:29,726,b0fc0fb2-37b0-4c55-be75-8979cc36925e,1,,-,-
out/08-20-14-08/log,ac8644ab-96f6-4ae4-a96f-ee771aa8c893,FA:56:B8:A6:A4:53,857,983,889,857,5,2020-08-20 21:08:47,857,2020-08-20 21:10:30,857,0e13331a-95f8-47a2-8ba3-00032c447ae9,1,,-,-
out/08-20-14-08/log,a245c706-7a62-4df7-9fc8-a60ec5f740bc,2A:E5:49:B1:08:D6,1016,941,416,552,5,2020-08-20 21:08:40,428,2020-08-20 21:10:30,259,abb1b51c-476e-47cb-88b2-239db2d5cb77,1,,-,-
out/08-20-14-08/log,f780e6d4-0dc3-4e53-a3ac-ab2b26438416,76:96:9C:24:A7:EF,372,372,372,512,5,2020-08-20 21:08:41,372,2020-08-20 21:10:29,372,0525dc46-79ae-4a66-8d60-9b4f13b83a8a,1,,-,-
out/08-20-14-08/log,ff70845a-2c69-4539-bb87-5000f85228d3,B2:32:CC:4C:68:19,674,940,883,1010,5,2020-08-20 21:08:40,941,2020-08-20 21:10:30,93,9d0f9d16-3340-4085-adff-1e799cc200a0,1,,-,-
out/08-20-14-08/log,f7deb59d-4225-4c0a-bb4f-2ccabc92a5d6,EA:FD:5D:3C:D0:60,768,739,739,768,5,2020-08-20 21:08:46,752,2020-08-20 21:10:30,739,ffa51543-88af-40d0-a188-b204055075a4,1,,-,-
out/08-20-14-08/log,390f3eaa-cfc5-406a-a9e2-8aa026295977,C2:A1:41:96:0C:69,834,1003,846,1017,5,2020-08-20 21:08:50,974,2020-08-20 21:10:30,795,11d99692-4637-4ece-b264-2acb40d9ed92,1,,-,-
