Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/09-02-22-25/log,4e21dceb-1d81-45f8-9b31-fe88c37d1ce8,CE:28:22:12:D4:3D,-1,-1,-1,0,2020-09-03 05:25:42,2020-09-03 05:25:42,972,f15fe408-80ef-46d3-a57b-e4bb0259eb1d,0,INVALID_STIME,-,-
out/09-02-22-25/log,44685b47-9588-4ddb-a297-3a35e45b1c76,92:C0:DF:96:1E:9B,-1,-1,-1,0,2020-09-03 05:25:42,2020-09-03 05:25:42,891,0ede70de-406b-42a1-8ca3-3dabf1c9540e,0,INVALID_STIME,-,-
out/09-02-22-25/log,44685b47-9588-4ddb-a297-3a35e45b1c76,92:C0:DF:96:1E:9B,-1,-1,-1,0,2020-09-03 05:25:42,2020-09-03 05:25:42,517,5d6458c4-9b69-45a8-b4f4-02382c28e912,0,INVALID_STIME,-,-
out/09-02-22-25/log,b44a1e00-fdaa-453d-930c-02668c7729ee,8E:40:13:FA:7E:C7,-1,-1,-1,0,2020-09-03 05:25:42,2020-09-03 05:25:42,500,46224236-802b-4b15-b51c-9498d739e413,0,INVALID_STIME,-,-
out/09-02-22-25/log,44685b47-9588-4ddb-a297-3a35e45b1c76,92:C0:DF:96:1E:9B,-1,-1,-1,0,2020-09-03 05:25:45,2020-09-03 05:25:45,681,d9b9e311-3fb3-49ad-874d-75ec71889d64,0,INVALID_STIME,-,-
out/09-02-22-25/log,b44a1e00-fdaa-453d-930c-02668c7729ee,8E:40:13:FA:7E:C7,-1,-1,-1,0,2020-09-03 05:25:46,2020-09-03 05:25:46,925,75b02271-c241-46c7-a8d9-617bff48d8c5,0,INVALID_STIME,-,-
out/09-02-22-25/log,e13719c9-41e2-478b-81d5-9596e923df45,7E:64:3D:BA:80:FA,839,997,194,3,2020-09-03 05:25:13,2020-09-03 05:26:12,10,e057f46d-5e25-4ea0-8660-57b5b1b3d2df,1,,-,-
out/09-02-22-25/log,44685b47-9588-4ddb-a297-3a35e45b1c76,92:C0:DF:96:1E:9B,-1,-1,-1,0,2020-09-03 05:25:43,2020-09-03 05:25:43,912,873190da-2497-41ef-92d9-28b112b600b1,0,INVALID_STIME,-,-
out/09-02-22-25/log,dd614547-37a2-4848-b738-718ec06afdfb,36:FC:ED:4E:71:D0,513,529,549,3,2020-09-03 05:25:13,2020-09-03 05:26:12,92,7348fd0c-c6a6-41c9-83ba-23991010d387,1,,-,-
out/09-02-22-25/log,2e4d1cc2-7efc-4be8-b4cc-ba8bbffa38ac,7A:EB:F2:F7:30:D9,436,436,436,3,2020-09-03 05:25:14,2020-09-03 05:26:12,436,af81f92d-3ca1-454d-9679-d014fa24fae2,1,,-,-
out/09-02-22-25/log,44685b47-9588-4ddb-a297-3a35e45b1c76,92:C0:DF:96:1E:9B,-1,-1,-1,0,2020-09-03 05:25:47,2020-09-03 05:25:47,742,6f9780a2-28f8-4ed5-a7fb-ba8673024e3d,0,INVALID_STIME,-,-
